"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","tech_transfer_investment","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","tech_transfer_investmentNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","lesoleil.sn","lasnews.sn","ferloo.com","nouvelobs.com","sudquotidien.sn"
"2021-10-01","Senegal",3,2,123,4,10,6,3,68,27,7,1,4,6,4,20,2,0,4,5,20,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.00151285930408472,0.00100857286938981,0.0620272314674735,0.00201714573877963,0.00504286434694907,0.00302571860816944,0.00151285930408472,0.0342914775592537,0.0136157337367625,0.00353000504286435,0.000504286434694907,0.00201714573877963,0.00302571860816944,0.00201714573877963,0.0100857286938981,0.00100857286938981,0,0.00201714573877963,0.00252143217347453,0.0100857286938981,0,0,0,0,0,0,0,0.000504286434694907,0,0,0.000504286434694907,0.000504286434694907,0,0,0,0,26,16,7,0,32,19,1,1,2,6,8,0.0131114473020676,0.00806858295511851,0.00353000504286435,0,0.016137165910237,0.00958144225920323,0.000504286434694907,0.000504286434694907,0.00100857286938981,0.00302571860816944,0.00403429147755925,1983,1557,1,11.1050882246483,0,0.00151285930408472,1983,1,1,1,1,1
"2021-11-01","Senegal",6,2,99,5,6,5,1,29,34,14,0,4,7,4,17,5,0,3,2,6,0,1,0,0,1,2,1,5,1,2,0,3,1,0,1,0,0.00294550810014728,0.000981836033382425,0.04860088365243,0.00245459008345606,0.00294550810014728,0.00245459008345606,0.000490918016691213,0.0142366224840452,0.0166912125675012,0.00687285223367698,0,0.00196367206676485,0.00343642611683849,0.00196367206676485,0.00834560628375061,0.00245459008345606,0,0.00147275405007364,0.000981836033382425,0.00294550810014728,0,0.000490918016691213,0,0,0.000490918016691213,0.000981836033382425,0.000490918016691213,0.00245459008345606,0.000490918016691213,0.000981836033382425,0,0.00147275405007364,0.000490918016691213,0,0.000490918016691213,0,15,14,2,1,34,15,1,0,3,5,12,0.00736377025036819,0.00687285223367698,0.000981836033382425,0.000490918016691213,0.0166912125675012,0.00736377025036819,0.000490918016691213,0,0.00147275405007364,0.00245459008345606,0.00589101620029455,2037,1695,37,10.4042422090255,0.00147275405007364,0.00736377025036819,2037,1,1,1,1,1
"2021-12-01","Senegal",9,0,59,4,9,2,1,60,35,28,0,3,25,7,49,5,0,5,2,13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.00434992750120831,0,0.0285161913968101,0.00193330111164814,0.00434992750120831,0.00096665055582407,0.000483325277912035,0.0289995166747221,0.0169163847269212,0.013533107781537,0,0.0014499758337361,0.0120831319478009,0.00338327694538424,0.0236829386176897,0.00241662638956017,0,0.00241662638956017,0.00096665055582407,0.00628322861285645,0,0,0,0,0,0,0,0,0,0,0.000483325277912035,0,0.000483325277912035,0,0,0.000483325277912035,19,8,12,0,34,19,6,1,2,3,8,0.00918318028032866,0.00386660222329628,0.00579990333494442,0,0.0164330594490092,0.00918318028032866,0.00289995166747221,0.000483325277912035,0.00096665055582407,0.0014499758337361,0.00386660222329628,2069,1668,10,11.4974163200066,0.000483325277912035,0.00096665055582407,2069,1,1,1,1,1
"2022-01-01","Senegal",7,1,226,19,7,7,0,55,32,12,0,2,4,4,36,3,0,8,9,27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.00358790363915941,0.000512557662737058,0.115838031778575,0.0097385955920041,0.00358790363915941,0.00358790363915941,0,0.0281906714505382,0.0164018452075859,0.0061506919528447,0,0.00102511532547412,0.00205023065094823,0.00205023065094823,0.0184520758585341,0.00153767298821117,0,0.00410046130189646,0.00461301896463352,0.0138390568939006,0,0,0,0.000512557662737058,0,0.000512557662737058,0,0,0,0,0,0,0,0,0,0,13,8,5,0,14,15,1,1,1,8,14,0.00666324961558175,0.00410046130189646,0.00256278831368529,0,0.00717580727831881,0.00768836494105587,0.000512557662737058,0.000512557662737058,0.000512557662737058,0.00410046130189646,0.00717580727831881,1951,1418,4,12.1024904464503,0.000512557662737058,0.000512557662737058,1951,1,1,1,1,1
"2022-02-01","Senegal",1,0,59,8,8,4,0,46,10,2,1,8,5,1,37,4,0,6,5,6,0,0,0,1,0,2,0,2,0,0,0,1,0,0,1,0,0.000552486187845304,0,0.0325966850828729,0.00441988950276243,0.00441988950276243,0.00220994475138122,0,0.025414364640884,0.00552486187845304,0.00110497237569061,0.000552486187845304,0.00441988950276243,0.00276243093922652,0.000552486187845304,0.0204419889502762,0.00220994475138122,0,0.00331491712707182,0.00276243093922652,0.00331491712707182,0,0,0,0.000552486187845304,0,0.00110497237569061,0,0.00110497237569061,0,0,0,0.000552486187845304,0,0,0.000552486187845304,0,10,26,2,1,15,8,1,1,2,11,5,0.00552486187845304,0.0143646408839779,0.00110497237569061,0.000552486187845304,0.00828729281767956,0.00441988950276243,0.000552486187845304,0.000552486187845304,0.00110497237569061,0.00607734806629834,0.00276243093922652,1810,1521,7,10.2808847239997,0.00331491712707182,0.00220994475138122,1810,1,1,1,1,1
"2022-03-01","Senegal",2,5,72,7,8,3,0,57,38,9,2,10,7,5,15,9,0,7,9,21,0,1,0,1,7,0,0,1,0,0,0,1,1,0,2,0,0.00110314396028682,0.00275785990071704,0.0397131825703254,0.00386100386100386,0.00441257584114727,0.00165471594043023,0,0.0314396028681743,0.0209597352454495,0.00496414782129068,0.00110314396028682,0.00551571980143409,0.00386100386100386,0.00275785990071704,0.00827357970215113,0.00496414782129068,0,0.00386100386100386,0.00496414782129068,0.0115830115830116,0,0.000551571980143409,0,0.000551571980143409,0.00386100386100386,0,0,0.000551571980143409,0,0,0,0.000551571980143409,0.000551571980143409,0,0.00110314396028682,0,20,25,12,2,33,6,2,0,3,5,7,0.0110314396028682,0.0137892995035852,0.0066188637617209,0.00110314396028682,0.0182018753447325,0.00330943188086045,0.00110314396028682,0,0.00165471594043023,0.00275785990071704,0.00386100386100386,1813,1432,9,12.2151710992729,0.0066188637617209,0.00165471594043023,1813,1,1,1,1,1
"2022-04-01","Senegal",2,3,152,4,10,3,1,44,27,16,1,5,13,1,29,9,0,5,5,6,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0.00106439595529537,0.00159659393294305,0.0808940926024481,0.00212879191059074,0.00532197977647685,0.00159659393294305,0.000532197977647685,0.0234167110164981,0.0143693453964875,0.00851516764236296,0.000532197977647685,0.00266098988823842,0.0069185737094199,0.000532197977647685,0.0154337413517829,0.00478978179882916,0,0.00266098988823842,0.00266098988823842,0.00319318786588611,0,0,0,0.000532197977647685,0.000532197977647685,0,0,0.000532197977647685,0,0,0,0,0,0,0.00106439595529537,0,13,18,6,2,39,9,1,0,2,3,10,0.0069185737094199,0.00957956359765833,0.00319318786588611,0.00106439595529537,0.0207557211282597,0.00478978179882916,0.000532197977647685,0,0.00106439595529537,0.00159659393294305,0.00532197977647685,1879,1456,7,10.8653203467805,0.00212879191059074,0.000532197977647685,1879,1,1,1,1,1
"2022-05-01","Senegal",4,1,80,6,17,2,3,82,13,8,1,0,6,5,10,21,0,9,2,5,0,0,0,0,1,4,0,1,1,0,2,0,1,0,4,0,0.00215169445938677,0.000537923614846692,0.0430338891877353,0.00322754168908015,0.00914470145239376,0.00107584722969338,0.00161377084454008,0.0441097364174287,0.00699300699300699,0.00430338891877353,0.000537923614846692,0,0.00322754168908015,0.00268961807423346,0.00537923614846692,0.0112963959117805,0,0.00484131253362023,0.00107584722969338,0.00268961807423346,0,0,0,0,0.000537923614846692,0.00215169445938677,0,0.000537923614846692,0.000537923614846692,0,0.00107584722969338,0,0.000537923614846692,0,0.00215169445938677,0,30,23,3,1,38,14,3,0,5,15,5,0.0161377084454008,0.0123722431414739,0.00161377084454008,0.000537923614846692,0.0204410973641743,0.00753093060785368,0.00161377084454008,0,0.00268961807423346,0.00806885422270038,0.00268961807423346,1859,1455,9,10.0322576956218,0.0064550833781603,0.00107584722969338,1859,1,1,0,1,1
"2022-06-01","Senegal",25,5,96,18,27,8,2,43,51,14,6,6,8,6,77,7,2,8,21,5,0,0,0,0,4,5,1,1,0,0,0,1,0,0,5,0,0.01220703125,0.00244140625,0.046875,0.0087890625,0.01318359375,0.00390625,0.0009765625,0.02099609375,0.02490234375,0.0068359375,0.0029296875,0.0029296875,0.00390625,0.0029296875,0.03759765625,0.00341796875,0.0009765625,0.00390625,0.01025390625,0.00244140625,0,0,0,0,0.001953125,0.00244140625,0.00048828125,0.00048828125,0,0,0,0.00048828125,0,0,0.00244140625,0,33,23,5,1,43,11,0,2,5,11,11,0.01611328125,0.01123046875,0.00244140625,0.00048828125,0.02099609375,0.00537109375,0,0.0009765625,0.00244140625,0.00537109375,0.00537109375,2048,1481,10,14.9624938396044,0.00732421875,0.0009765625,2048,1,1,1,1,1
"2022-07-01","Senegal",6,0,182,12,11,5,1,81,10,16,0,1,3,7,10,8,0,4,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00346420323325635,0,0.105080831408776,0.0069284064665127,0.00635103926096998,0.00288683602771363,0.000577367205542725,0.0467667436489607,0.00577367205542725,0.0092378752886836,0,0.000577367205542725,0.00173210161662818,0.00404157043879908,0.00577367205542725,0.0046189376443418,0,0.0023094688221709,0.00288683602771363,0.0109699769053118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000577367205542725,0,0,21,13,5,1,28,23,2,0,2,9,7,0.0121247113163972,0.00750577367205543,0.00288683602771363,0.000577367205542725,0.0161662817551963,0.0132794457274827,0.00115473441108545,0,0.00115473441108545,0.00519630484988453,0.00404157043879908,1732,1245,1,11.0635862280781,0,0.000577367205542725,1732,1,1,1,1,1
"2022-08-01","Senegal",9,0,179,21,23,2,0,94,11,6,1,9,4,2,16,8,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522344747533372,0,0.10388856645386,0.012188044109112,0.0133488102147417,0.00116076610562972,0,0.0545560069645966,0.00638421358096344,0.00348229831688915,0.000580383052814858,0.00522344747533372,0.00232153221125943,0.00116076610562972,0.00928612884503772,0.00464306442251886,0,0.00290191526407429,0.000580383052814858,0.00290191526407429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,4,0,18,8,3,1,2,2,5,0.00928612884503772,0.0133488102147417,0.00232153221125943,0,0.0104468949506674,0.00464306442251886,0.00174114915844457,0.000580383052814858,0.00116076610562972,0.00116076610562972,0.00290191526407429,1723,1250,1,10.067482652623,0,0,1723,1,1,1,1,1
"2022-09-01","Senegal",4,0,62,3,14,4,2,74,25,18,1,4,9,7,28,22,0,5,0,4,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0.00217155266015201,0,0.0336590662323561,0.00162866449511401,0.00760043431053203,0.00217155266015201,0.001085776330076,0.0401737242128122,0.0135722041259501,0.00977198697068404,0.000542888165038002,0.00217155266015201,0.00488599348534202,0.00380021715526602,0.0152008686210641,0.011943539630836,0,0.00271444082519001,0,0.00217155266015201,0,0.000542888165038002,0,0,0.001085776330076,0,0.000542888165038002,0,0,0,0,0,0,0,0.000542888165038002,0,21,21,6,0,11,7,4,0,8,1,5,0.011400651465798,0.011400651465798,0.00325732899022801,0,0.00597176981541802,0.00380021715526602,0.00217155266015201,0,0.00434310532030402,0.000542888165038002,0.00271444082519001,1842,1484,3,10.6176150641847,0.001085776330076,0.00217155266015201,1842,1,1,0,1,1
"2022-10-01","Senegal",3,1,34,1,12,10,1,27,21,22,1,5,8,9,44,14,1,3,4,5,0,0,0,0,3,2,0,1,0,0,3,0,1,0,3,0,0.00176782557454331,0.000589275191514437,0.0200353565114909,0.000589275191514437,0.00707130229817325,0.00589275191514437,0.000589275191514437,0.0159104301708898,0.0123747790218032,0.0129640542133176,0.000589275191514437,0.00294637595757219,0.0047142015321155,0.00530347672362994,0.0259281084266352,0.00824985268120212,0.000589275191514437,0.00176782557454331,0.00235710076605775,0.00294637595757219,0,0,0,0,0.00176782557454331,0.00117855038302887,0,0.000589275191514437,0,0,0.00176782557454331,0,0.000589275191514437,0,0.00176782557454331,0,15,26,3,0,20,30,1,0,2,8,5,0.00883912787271656,0.0153211549793754,0.00176782557454331,0,0.0117855038302887,0.0176782557454331,0.000589275191514437,0,0.00117855038302887,0.0047142015321155,0.00294637595757219,1697,1370,5,12.2818717211543,0.00589275191514437,0.00235710076605775,1697,1,1,1,1,1
"2022-11-01","Senegal",36,6,27,0,14,5,0,5,61,18,0,0,6,5,41,5,1,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199445983379501,0.00332409972299169,0.0149584487534626,0,0.00775623268698061,0.00277008310249307,0,0.00277008310249307,0.0337950138504155,0.00997229916897507,0,0,0.00332409972299169,0.00277008310249307,0.0227146814404432,0.00277008310249307,0.000554016620498615,0.00221606648199446,0.00166204986149584,0.00443213296398892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,31,10,0,41,15,3,2,1,4,8,0.0210526315789474,0.0171745152354571,0.00554016620498615,0,0.0227146814404432,0.00831024930747922,0.00166204986149584,0.00110803324099723,0.000554016620498615,0.00221606648199446,0.00443213296398892,1805,1419,7,14.0267062674232,0.000554016620498615,0,1805,1,1,0,1,1
"2022-12-01","Senegal",32,5,36,1,8,10,2,9,67,10,0,1,37,6,36,13,1,3,4,27,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0161534578495709,0.00252397778899546,0.0181726400807673,0.000504795557799091,0.00403836446239273,0.00504795557799091,0.00100959111559818,0.00454316002019182,0.0338213023725391,0.00504795557799091,0,0.000504795557799091,0.0186774356385664,0.00302877334679455,0.0181726400807673,0.00656234225138819,0.000504795557799091,0.00151438667339727,0.00201918223119637,0.0136294800605755,0,0,0,0,0.000504795557799091,0,0,0,0.000504795557799091,0,0,0,0,0,0,0,20,31,8,2,24,17,0,0,4,11,10,0.0100959111559818,0.0156486622917718,0.00403836446239273,0.00100959111559818,0.0121150933871782,0.00858152448258455,0,0,0.00201918223119637,0.00555275113579,0.00504795557799091,1981,1588,0,14.129899764674,0.00100959111559818,0.000504795557799091,1981,1,1,1,1,1
"2023-01-01","Senegal",10,4,51,4,16,4,4,56,45,20,0,6,11,5,76,8,0,4,14,7,0,1,0,0,2,3,2,0,0,1,0,1,1,0,3,0,0.00473709142586452,0.00189483657034581,0.024159166271909,0.00189483657034581,0.00757934628138323,0.00189483657034581,0.00189483657034581,0.0265277119848413,0.0213169114163903,0.00947418285172904,0,0.00284225485551871,0.00521080056845097,0.00236854571293226,0.0360018948365703,0.00378967314069162,0,0.00189483657034581,0.00663192799621033,0.00331596399810516,0,0.000473709142586452,0,0,0.000947418285172904,0.00142112742775936,0.000947418285172904,0,0,0.000473709142586452,0,0.000473709142586452,0.000473709142586452,0,0.00142112742775936,0,33,26,6,2,48,31,0,0,7,11,10,0.0156324017053529,0.0123164377072477,0.00284225485551871,0.000947418285172904,0.0227380388441497,0.01468498342018,0,0,0.00331596399810516,0.00521080056845097,0.00473709142586452,2111,1612,2,13.0737722926234,0.00378967314069162,0.00378967314069162,2111,1,1,1,1,1
