"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","professional_cultural_exchange","security_cooperation","security_force_facility_presence","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","addisfortune.news","addisstandard.com","capitalethiopia.com","thereporterethiopia.com","ethiopianmonitor.com"
"2013-09-01","Ethiopia",2,0,1,0,5,0,0,1,2,0,0,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181818181818182,0,0.00909090909090909,0,0.0454545454545455,0,0,0.00909090909090909,0.0181818181818182,0,0,0,0.0272727272727273,0,0.0363636363636364,0,0,0,0,0.0272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.00909090909090909,0,0,0,0.00909090909090909,0,0,0,0.00909090909090909,0,110,89,110,4.90656306127417,0.00909090909090909,0,110,0,1,1,0,0
"2013-10-01","Ethiopia",2,0,1,0,5,0,0,2,3,2,0,1,1,2,3,0,0,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108695652173913,0,0.00543478260869565,0,0.0271739130434783,0,0,0.0108695652173913,0.016304347826087,0.0108695652173913,0,0.00543478260869565,0.00543478260869565,0.0108695652173913,0.016304347826087,0,0,0.00543478260869565,0.0380434782608696,0.0271739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,2,0,0,0,0,0,0,0.016304347826087,0.00543478260869565,0,0.0217391304347826,0.0108695652173913,0,0,0,0,0,184,141,184,4.54396650936924,0,0,184,0,1,1,0,0
"2013-11-01","Ethiopia",2,2,2,0,3,0,0,2,4,0,2,0,5,0,4,0,1,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141843971631206,0.0141843971631206,0.0141843971631206,0,0.0212765957446809,0,0,0.0141843971631206,0.0283687943262411,0,0.0141843971631206,0,0.0354609929078014,0,0.0283687943262411,0,0.00709219858156028,0,0.0283687943262411,0.0354609929078014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0,0,0,0,1,0,0.00709219858156028,0.00709219858156028,0.00709219858156028,0,0.0283687943262411,0,0,0,0,0.00709219858156028,0,141,102,141,7.21891990673518,0,0.00709219858156028,141,0,1,1,0,0
"2013-12-01","Ethiopia",3,2,0,0,31,0,0,2,7,2,0,1,5,1,3,1,0,0,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0164835164835165,0.010989010989011,0,0,0.17032967032967,0,0,0.010989010989011,0.0384615384615385,0.010989010989011,0,0.00549450549450549,0.0274725274725275,0.00549450549450549,0.0164835164835165,0.00549450549450549,0,0,0.010989010989011,0.0384615384615385,0,0,0,0,0,0,0,0.00549450549450549,0,0,0,0,0,0,0,2,1,0,3,3,1,0,0,1,1,0,0.010989010989011,0.00549450549450549,0,0.0164835164835165,0.0164835164835165,0.00549450549450549,0,0,0.00549450549450549,0.00549450549450549,182,109,181,5.82985957921544,0,0.010989010989011,182,0,1,1,0,0
"2014-01-01","Ethiopia",0,0,2,0,87,2,0,5,7,4,4,3,5,0,1,2,0,5,8,19,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0.00649350649350649,0,0.282467532467532,0.00649350649350649,0,0.0162337662337662,0.0227272727272727,0.012987012987013,0.012987012987013,0.00974025974025974,0.0162337662337662,0,0.00324675324675325,0.00649350649350649,0,0.0162337662337662,0.025974025974026,0.0616883116883117,0,0,0,0,0,0.00324675324675325,0,0.00649350649350649,0,0,0,0,0,0,2,3,0,0,1,3,0,0,0,0,0,0.00649350649350649,0.00974025974025974,0,0,0.00324675324675325,0.00974025974025974,0,0,0,0,0,308,150,305,6.19638797032726,0,0.0162337662337662,308,0,1,1,0,0
"2014-02-01","Ethiopia",2,1,3,0,15,0,0,0,9,5,0,2,5,0,1,2,0,3,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00943396226415094,0.00471698113207547,0.0141509433962264,0,0.0707547169811321,0,0,0,0.0424528301886792,0.0235849056603774,0,0.00943396226415094,0.0235849056603774,0,0.00471698113207547,0.00943396226415094,0,0.0141509433962264,0,0.0283018867924528,0,0,0,0,0,0,0,0.00471698113207547,0,0,0,0,0,0,2,2,0,0,1,2,0,0,1,1,0,0.00943396226415094,0.00943396226415094,0,0,0.00471698113207547,0.00943396226415094,0,0,0.00471698113207547,0.00471698113207547,0,212,154,211,5.77813635667817,0,0.00471698113207547,212,0,1,1,0,0
"2014-03-01","Ethiopia",2,0,5,0,8,1,0,2,5,2,0,7,5,0,1,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128205128205128,0,0.032051282051282,0,0.0512820512820513,0.00641025641025641,0,0.0128205128205128,0.032051282051282,0.0128205128205128,0,0.0448717948717949,0.032051282051282,0,0.00641025641025641,0.0192307692307692,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.0448717948717949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,156,109,156,8.2506409067299,0,0.0128205128205128,156,0,1,1,0,0
"2014-04-01","Ethiopia",6,0,0,0,9,0,0,1,4,0,0,0,2,0,2,0,0,2,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0437956204379562,0,0,0,0.0656934306569343,0,0,0.0072992700729927,0.0291970802919708,0,0,0,0.0145985401459854,0,0.0145985401459854,0,0,0.0145985401459854,0.0218978102189781,0.0145985401459854,0,0,0,0,0,0.0072992700729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,108,136,6.22881927168554,0,0.0072992700729927,137,0,1,1,0,0
"2014-05-01","Ethiopia",6,0,3,4,35,0,0,1,6,1,0,4,5,1,2,0,0,5,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0309278350515464,0,0.0154639175257732,0.0206185567010309,0.180412371134021,0,0,0.00515463917525773,0.0309278350515464,0.00515463917525773,0,0.0206185567010309,0.0257731958762887,0.00515463917525773,0.0103092783505155,0,0,0.0257731958762887,0.0206185567010309,0.0154639175257732,0,0,0,0,0,0.00515463917525773,0.00515463917525773,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0.00515463917525773,0.00515463917525773,0,0,0,0,0.00515463917525773,0,0,0,0.00515463917525773,194,113,192,7.15749058363438,0,0.0257731958762887,194,0,1,1,0,0
"2014-06-01","Ethiopia",1,1,2,0,8,0,0,5,1,2,1,0,2,0,2,1,0,1,3,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0.00699300699300699,0.00699300699300699,0.013986013986014,0,0.0559440559440559,0,0,0.034965034965035,0.00699300699300699,0.013986013986014,0.00699300699300699,0,0.013986013986014,0,0.013986013986014,0.00699300699300699,0,0.00699300699300699,0.020979020979021,0.020979020979021,0,0,0,0,0.013986013986014,0,0,0,0.00699300699300699,0,0,0,0,0,2,4,2,0,0,2,0,0,0,0,0,0.013986013986014,0.027972027972028,0.013986013986014,0,0,0.013986013986014,0,0,0,0,0,143,102,140,4.45743494983687,0.00699300699300699,0.013986013986014,143,0,1,1,0,0
