"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","rs.n1info.com","insajder.net"
2017-05-01,"Serbia",5,2,60,6,24,2,0,18,56,19,1,4,24,15,83,27,2,9,4,22,0,0,0,1,0,0,2,0,0,6,0,0,0,0,3,0,1,0,0,0,0,0.00196078431372549,0.000784313725490196,0.0235294117647059,0.00235294117647059,0.00941176470588235,0.000784313725490196,0,0.00705882352941176,0.0219607843137255,0.00745098039215686,0.000392156862745098,0.00156862745098039,0.00941176470588235,0.00588235294117647,0.0325490196078431,0.0105882352941176,0.000784313725490196,0.00352941176470588,0.00156862745098039,0.00862745098039216,0,0,0,0.000392156862745098,0,0,0.000784313725490196,0,0,0.00235294117647059,0,0,0,0,0.00117647058823529,0,0.000392156862745098,0,0,0,0,25,13,4,3,45,11,4,1,3,5,26,0.00980392156862745,0.00509803921568627,0.00156862745098039,0.00117647058823529,0.0176470588235294,0.00431372549019608,0.00156862745098039,0.000392156862745098,0.00117647058823529,0.00196078431372549,0.0101960784313725,2550,2048,2537,11.3915110365591,0.00431372549019608,0.00588235294117647,2550,1,1
2017-06-01,"Serbia",15,4,99,5,41,2,2,32,69,25,0,1,23,12,52,14,1,4,3,26,0,0,0,1,0,0,0,1,2,4,1,0,0,4,2,0,0,1,0,0,0,0.00540345821325648,0.00144092219020173,0.0356628242074928,0.00180115273775216,0.0147694524495677,0.000720461095100865,0.000720461095100865,0.0115273775216138,0.0248559077809798,0.00900576368876081,0,0.000360230547550432,0.00828530259365994,0.00432276657060519,0.0187319884726225,0.00504322766570605,0.000360230547550432,0.00144092219020173,0.0010806916426513,0.00936599423631124,0,0,0,0.000360230547550432,0,0,0,0.000360230547550432,0.000720461095100865,0.00144092219020173,0.000360230547550432,0,0,0.00144092219020173,0.000720461095100865,0,0,0.000360230547550432,0,0,0,20,14,7,2,42,23,5,3,2,7,17,0.00720461095100865,0.00504322766570605,0.00252161383285303,0.000720461095100865,0.0151296829971182,0.00828530259365994,0.00180115273775216,0.0010806916426513,0.000720461095100865,0.00252161383285303,0.00612391930835735,2776,2225,2760,11.0835366021021,0.00468299711815562,0.00360230547550432,2776,1,1
2017-07-01,"Serbia",11,5,49,1,75,4,0,47,64,15,1,8,31,9,102,21,5,5,3,20,1,0,0,2,0,2,1,0,1,4,0,0,1,1,3,0,0,0,1,1,0,0.00389518413597734,0.00177053824362606,0.0173512747875354,0.000354107648725212,0.0265580736543909,0.00141643059490085,0,0.016643059490085,0.0226628895184136,0.00531161473087819,0.000354107648725212,0.0028328611898017,0.0109773371104816,0.00318696883852691,0.0361189801699717,0.00743626062322946,0.00177053824362606,0.00177053824362606,0.00106232294617564,0.00708215297450425,0.000354107648725212,0,0,0.000708215297450425,0,0.000708215297450425,0.000354107648725212,0,0.000354107648725212,0.00141643059490085,0,0,0.000354107648725212,0.000354107648725212,0.00106232294617564,0,0,0,0.000354107648725212,0.000354107648725212,0,50,52,3,1,41,19,3,2,1,10,20,0.0177053824362606,0.018413597733711,0.00106232294617564,0.000354107648725212,0.0145184135977337,0.00672804532577904,0.00106232294617564,0.000708215297450425,0.000354107648725212,0.00354107648725212,0.00708215297450425,2824,2171,2806,11.7862995408485,0.00424929178470255,0.00389518413597734,2824,1,1
2017-08-01,"Serbia",13,3,16,4,59,1,0,62,61,23,4,3,14,1,52,16,4,8,3,20,1,0,0,1,2,1,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0.00498848810437452,0.00115118956254797,0.00613967766692249,0.00153491941673062,0.0226400613967767,0.000383729854182655,0,0.0237912509593246,0.023407521105142,0.00882578664620107,0.00153491941673062,0.00115118956254797,0.00537221795855718,0.000383729854182655,0.0199539524174981,0.00613967766692249,0.00153491941673062,0.00306983883346124,0.00115118956254797,0.00767459708365311,0.000383729854182655,0,0,0.000383729854182655,0.000767459708365311,0.000383729854182655,0,0,0,0.00115118956254797,0,0,0,0.000767459708365311,0.000383729854182655,0,0,0,0,0,0,28,31,6,0,34,55,3,4,0,4,16,0.0107444359171144,0.0118956254796623,0.00230237912509593,0,0.0130468150422103,0.021105141980046,0.00115118956254797,0.00153491941673062,0,0.00153491941673062,0.00613967766692249,2606,2075,2595,10.6225285527284,0.00422102839600921,0.00230237912509593,2606,1,1
2017-09-01,"Serbia",15,6,56,3,37,2,0,41,63,38,1,2,26,7,100,20,2,6,4,21,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,1,0,0,1,0,0.00475435816164818,0.00190174326465927,0.0177496038034865,0.000950871632329636,0.0117274167987322,0.00063391442155309,0,0.0129952456418384,0.0199683042789223,0.0120443740095087,0.000316957210776545,0.00063391442155309,0.00824088748019017,0.00221870047543582,0.0316957210776545,0.0063391442155309,0.00063391442155309,0.00190174326465927,0.00126782884310618,0.00665610142630745,0,0,0,0,0,0,0,0.000316957210776545,0,0.000316957210776545,0,0,0,0.00063391442155309,0.000316957210776545,0,0.000316957210776545,0,0,0.000316957210776545,0,29,25,18,1,56,57,9,2,3,13,13,0.00919175911251981,0.00792393026941363,0.00570522979397781,0.000316957210776545,0.0177496038034865,0.0180665610142631,0.00285261489698891,0.00063391442155309,0.000950871632329636,0.00412044374009509,0.00412044374009509,3155,2512,3148,10.7507970896609,0.00316957210776545,0.00221870047543582,3155,1,1
2017-10-01,"Serbia",17,10,84,7,62,3,2,21,71,43,1,3,24,11,67,18,2,2,4,13,4,0,0,2,0,2,1,1,0,3,0,0,0,1,0,1,1,0,1,1,0,0.00544174135723431,0.00320102432778489,0.0268886043533931,0.00224071702944942,0.0198463508322663,0.000960307298335467,0.000640204865556978,0.00672215108834827,0.0227272727272727,0.013764404609475,0.000320102432778489,0.000960307298335467,0.00768245838668374,0.00352112676056338,0.0214468629961588,0.0057618437900128,0.000640204865556978,0.000640204865556978,0.00128040973111396,0.00416133162612036,0.00128040973111396,0,0,0.000640204865556978,0,0.000640204865556978,0.000320102432778489,0.000320102432778489,0,0.000960307298335467,0,0,0,0.000320102432778489,0,0.000320102432778489,0.000320102432778489,0,0.000320102432778489,0.000320102432778489,0,39,14,17,0,47,36,4,2,8,8,10,0.0124839948783611,0.00448143405889885,0.00544174135723431,0,0.015044814340589,0.0115236875800256,0.00128040973111396,0.000640204865556978,0.00256081946222791,0.00256081946222791,0.00320102432778489,3124,2505,3106,11.1348654614451,0.00640204865556978,0.00160051216389245,3124,1,1
2017-11-01,"Serbia",24,3,96,22,66,1,4,31,116,40,4,1,35,12,52,27,6,13,5,18,0,1,0,2,2,2,2,0,0,4,0,0,1,2,1,0,0,1,0,2,0,0.0072463768115942,0.000905797101449275,0.0289855072463768,0.00664251207729469,0.0199275362318841,0.000301932367149758,0.00120772946859903,0.00935990338164251,0.035024154589372,0.0120772946859903,0.00120772946859903,0.000301932367149758,0.0105676328502415,0.0036231884057971,0.0157004830917874,0.00815217391304348,0.00181159420289855,0.00392512077294686,0.00150966183574879,0.00543478260869565,0,0.000301932367149758,0,0.000603864734299517,0.000603864734299517,0.000603864734299517,0.000603864734299517,0,0,0.00120772946859903,0,0,0.000301932367149758,0.000603864734299517,0.000301932367149758,0,0,0.000301932367149758,0,0.000603864734299517,0,36,23,9,1,74,41,7,1,4,5,27,0.0108695652173913,0.00694444444444444,0.00271739130434783,0.000301932367149758,0.0223429951690821,0.0123792270531401,0.00211352657004831,0.000301932367149758,0.00120772946859903,0.00150966183574879,0.00815217391304348,3312,2544,3292,12.5177443502743,0.00573671497584541,0.00392512077294686,3312,1,1
2017-12-01,"Serbia",33,5,103,24,53,1,2,39,97,40,7,4,51,9,40,13,4,13,2,26,3,0,0,1,0,2,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0.00991288675277861,0.00150195253829979,0.0309402222889757,0.00720937218383899,0.0159206969059778,0.000300390507659958,0.000600781015319916,0.0117152297987384,0.0291378792430159,0.0120156203063983,0.00210273355361971,0.00120156203063983,0.0153199158906579,0.00270351456893962,0.0120156203063983,0.00390507659957945,0.00120156203063983,0.00390507659957945,0.000600781015319916,0.00781015319915891,0.000901171522979874,0,0,0.000300390507659958,0,0.000600781015319916,0.000300390507659958,0,0,0.000300390507659958,0,0,0,0.000300390507659958,0.000300390507659958,0,0,0.000300390507659958,0.000300390507659958,0.000300390507659958,0,51,18,16,0,54,27,3,3,7,12,22,0.0153199158906579,0.00540702913787924,0.00480624812255933,0,0.0162210874136377,0.00811054370681887,0.000901171522979874,0.000901171522979874,0.00210273355361971,0.0036046860919195,0.00660859116851908,3329,2606,3316,12.5861018124036,0.00660859116851908,0.000300390507659958,3329,1,1
2018-01-01,"Serbia",7,4,142,11,66,1,5,43,68,28,0,4,35,2,31,15,1,13,14,11,0,0,0,4,0,1,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0.00237771739130435,0.00135869565217391,0.0482336956521739,0.00373641304347826,0.0224184782608696,0.000339673913043478,0.00169836956521739,0.0146059782608696,0.0230978260869565,0.00951086956521739,0,0.00135869565217391,0.0118885869565217,0.000679347826086957,0.0105298913043478,0.00509510869565217,0.000339673913043478,0.00441576086956522,0.0047554347826087,0.00373641304347826,0,0,0,0.00135869565217391,0,0.000339673913043478,0.000339673913043478,0,0,0.00135869565217391,0.000339673913043478,0,0,0.000339673913043478,0,0,0,0,0,0,0,26,19,6,6,68,18,5,3,1,7,16,0.00883152173913043,0.00645380434782609,0.00203804347826087,0.00203804347826087,0.0230978260869565,0.00611413043478261,0.00169836956521739,0.00101902173913043,0.000339673913043478,0.00237771739130435,0.00543478260869565,2944,2301,2932,10.8609354485718,0.0030570652173913,0.00271739130434783,2944,1,1
2018-02-01,"Serbia",18,14,127,11,83,0,0,33,70,47,0,5,35,13,48,35,1,17,6,32,0,2,0,0,0,2,0,0,0,1,2,0,1,5,0,0,0,1,1,4,0,0.00533807829181495,0.00415183867141162,0.0376631079478055,0.00326215895610913,0.0246144721233689,0,0,0.0097864768683274,0.0207591933570581,0.013938315539739,0,0.00148279952550415,0.0103795966785291,0.00385527876631079,0.0142348754448399,0.0103795966785291,0.00029655990510083,0.00504151838671412,0.00177935943060498,0.00948991696322657,0,0.000593119810201661,0,0,0,0.000593119810201661,0,0,0,0.00029655990510083,0.000593119810201661,0,0.00029655990510083,0.00148279952550415,0,0,0,0.00029655990510083,0.00029655990510083,0.00118623962040332,0,51,21,15,2,41,20,3,2,2,6,23,0.0151245551601423,0.00622775800711744,0.00444839857651246,0.000593119810201661,0.012158956109134,0.00593119810201661,0.000889679715302491,0.000593119810201661,0.000593119810201661,0.00177935943060498,0.0068208778173191,3372,2631,3353,12.2882251031899,0.00563463819691578,0.00148279952550415,3372,1,1
2018-03-01,"Serbia",35,5,166,31,64,3,4,96,104,70,6,10,43,11,34,63,1,13,1,15,0,0,2,1,2,2,2,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0.00960219478737997,0.00137174211248285,0.0455418381344307,0.00850480109739369,0.0175582990397805,0.000823045267489712,0.00109739368998628,0.0263374485596708,0.0285322359396433,0.0192043895747599,0.00164609053497942,0.00274348422496571,0.0117969821673525,0.00301783264746228,0.0093278463648834,0.0172839506172839,0.000274348422496571,0.00356652949245542,0.000274348422496571,0.00411522633744856,0,0,0.000548696844993141,0.000274348422496571,0.000548696844993141,0.000548696844993141,0.000548696844993141,0,0,0.000548696844993141,0,0,0,0.000274348422496571,0.000274348422496571,0,0.000274348422496571,0,0,0.000274348422496571,0,34,20,8,0,36,27,3,2,4,7,25,0.0093278463648834,0.00548696844993141,0.00219478737997257,0,0.00987654320987654,0.00740740740740741,0.000823045267489712,0.000548696844993141,0.00109739368998628,0.00192043895747599,0.00685871056241427,3645,2745,3630,11.9960370759653,0.00411522633744856,0.00192043895747599,3645,1,1
2018-04-01,"Serbia",15,5,44,3,50,3,3,34,52,40,1,1,19,7,51,32,1,11,2,27,1,0,0,0,0,1,0,0,0,5,0,1,0,1,1,0,0,2,0,3,0,0.00482005141388175,0.00160668380462725,0.0141388174807198,0.00096401028277635,0.0160668380462725,0.00096401028277635,0.00096401028277635,0.0109254498714653,0.0167095115681234,0.012853470437018,0.00032133676092545,0.00032133676092545,0.00610539845758355,0.00224935732647815,0.0163881748071979,0.0102827763496144,0.00032133676092545,0.00353470437017995,0.0006426735218509,0.00867609254498715,0.00032133676092545,0,0,0,0,0.00032133676092545,0,0,0,0.00160668380462725,0,0.00032133676092545,0,0.00032133676092545,0.00032133676092545,0,0,0.0006426735218509,0,0.00096401028277635,0,37,24,8,0,37,33,3,2,3,7,31,0.0118894601542416,0.0077120822622108,0.0025706940874036,0,0.0118894601542416,0.0106041131105398,0.00096401028277635,0.0006426735218509,0.00096401028277635,0.00224935732647815,0.00996143958868895,3112,2549,3097,10.7069692910285,0.0032133676092545,0.0032133676092545,3112,1,1
2018-05-01,"Serbia",20,13,49,5,67,3,1,34,50,27,1,7,39,5,76,36,2,9,6,22,0,0,0,1,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0.00620347394540943,0.00403225806451613,0.0151985111662531,0.00155086848635236,0.0207816377171216,0.000930521091811414,0.000310173697270471,0.010545905707196,0.0155086848635236,0.00837468982630273,0.000310173697270471,0.0021712158808933,0.0120967741935484,0.00155086848635236,0.0235732009925558,0.011166253101737,0.000620347394540943,0.00279156327543424,0.00186104218362283,0.00682382133995037,0,0,0,0.000310173697270471,0,0.000930521091811414,0,0,0,0.00124069478908189,0,0,0,0.000310173697270471,0,0,0,0,0,0,0,54,30,10,1,38,25,3,3,3,4,8,0.0167493796526055,0.00930521091811414,0.00310173697270471,0.000310173697270471,0.0117866004962779,0.00775434243176179,0.000930521091811414,0.000930521091811414,0.000930521091811414,0.00124069478908189,0.00248138957816377,3224,2609,3215,11.7576541154284,0.0043424317617866,0.00186104218362283,3224,1,1
