"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","professional_cultural_exchange","security_cooperation","security_force_facility_presence","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","sudantribune.com","paanluelwel.com","onecitizendaily.com","eyeradio.org"
"2016-12-01","South Sudan",23,4,6,2,57,3,0,22,18,10,3,19,8,9,9,20,6,9,52,51,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0.0267131242740999,0.00464576074332172,0.00696864111498258,0.00232288037166086,0.0662020905923345,0.00348432055749129,0,0.0255516840882695,0.0209059233449477,0.0116144018583043,0.00348432055749129,0.0220673635307782,0.00929152148664344,0.0104529616724739,0.0104529616724739,0.0232288037166086,0.00696864111498258,0.0104529616724739,0.0603948896631823,0.0592334494773519,0,0,0,0,0,0,0,0.00116144018583043,0,0,0.00348432055749129,0,0,0,8,7,4,0,8,6,1,2,0,6,9,0.00929152148664344,0.00813008130081301,0.00464576074332172,0,0.00929152148664344,0.00696864111498258,0.00116144018583043,0.00232288037166086,0,0.00696864111498258,0.0104529616724739,861,492,857,7.29924718385715,0,0.00813008130081301,861,1,1,0,1
"2017-01-01","South Sudan",13,3,4,0,56,8,0,18,26,8,1,16,10,12,4,47,2,8,47,57,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0152941176470588,0.00352941176470588,0.00470588235294118,0,0.0658823529411765,0.00941176470588235,0,0.0211764705882353,0.0305882352941176,0.00941176470588235,0.00117647058823529,0.0188235294117647,0.0117647058823529,0.0141176470588235,0.00470588235294118,0.0552941176470588,0.00235294117647059,0.00941176470588235,0.0552941176470588,0.0670588235294118,0,0,0,0,0,0,0,0.00352941176470588,0,0,0,0,0,0,14,6,0,0,5,3,1,2,1,7,1,0.0164705882352941,0.00705882352941176,0,0,0.00588235294117647,0.00352941176470588,0.00117647058823529,0.00235294117647059,0.00117647058823529,0.00823529411764706,0.00117647058823529,850,476,846,7.94024678193611,0.00117647058823529,0.00470588235294118,850,1,1,0,1
"2017-02-01","South Sudan",11,5,3,0,43,0,0,99,26,6,3,4,13,5,2,40,0,5,33,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135802469135802,0.00617283950617284,0.0037037037037037,0,0.0530864197530864,0,0,0.122222222222222,0.0320987654320988,0.00740740740740741,0.0037037037037037,0.00493827160493827,0.0160493827160494,0.00617283950617284,0.00246913580246914,0.0493827160493827,0,0.00617283950617284,0.0407407407407407,0.0592592592592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,0,7,1,1,0,3,6,3,0.00864197530864197,0.00493827160493827,0.00123456790123457,0,0.00864197530864197,0.00123456790123457,0.00123456790123457,0,0.0037037037037037,0.00740740740740741,0.0037037037037037,810,444,810,7.47964258747507,0,0.00246913580246914,810,1,1,0,1
"2017-03-01","South Sudan",11,1,1,0,61,2,0,92,20,15,1,12,12,10,4,25,1,11,60,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0113168724279835,0.00102880658436214,0.00102880658436214,0,0.0627572016460905,0.00205761316872428,0,0.0946502057613169,0.0205761316872428,0.0154320987654321,0.00102880658436214,0.0123456790123457,0.0123456790123457,0.0102880658436214,0.00411522633744856,0.0257201646090535,0.00102880658436214,0.0113168724279835,0.0617283950617284,0.058641975308642,0,0,0,0,0,0,0.00102880658436214,0,0,0,0,0,0,0,9,6,0,0,1,7,1,3,2,11,3,0.00925925925925926,0.00617283950617284,0,0,0.00102880658436214,0.00720164609053498,0.00102880658436214,0.00308641975308642,0.00205761316872428,0.0113168724279835,0.00308641975308642,972,542,971,6.26789688921352,0,0.00617283950617284,972,1,1,0,1
"2017-04-01","South Sudan",10,5,1,0,49,2,0,56,14,12,1,25,7,9,8,14,0,6,77,73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0119904076738609,0.00599520383693046,0.00119904076738609,0,0.0587529976019185,0.00239808153477218,0,0.0671462829736211,0.0167865707434053,0.0143884892086331,0.00119904076738609,0.0299760191846523,0.00839328537170264,0.0107913669064748,0.00959232613908873,0.0167865707434053,0,0.00719424460431655,0.092326139088729,0.0875299760191846,0,0,0,0,0,0,0,0,0,0,0.00119904076738609,0,0,0,14,10,3,0,3,2,2,0,0,6,7,0.0167865707434053,0.0119904076738609,0.00359712230215827,0,0.00359712230215827,0.00239808153477218,0.00239808153477218,0,0,0.00719424460431655,0.00839328537170264,834,428,833,6.25251443673289,0,0.00359712230215827,834,1,1,0,1
"2017-05-01","South Sudan",17,5,2,0,94,10,0,52,26,9,3,25,9,4,15,43,0,6,47,60,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0.0193181818181818,0.00568181818181818,0.00227272727272727,0,0.106818181818182,0.0113636363636364,0,0.0590909090909091,0.0295454545454545,0.0102272727272727,0.00340909090909091,0.0284090909090909,0.0102272727272727,0.00454545454545455,0.0170454545454545,0.0488636363636364,0,0.00681818181818182,0.0534090909090909,0.0681818181818182,0,0,0,0,0,0,0,0.00227272727272727,0,0.00113636363636364,0,0,0,0.00113636363636364,6,4,0,0,1,1,2,0,1,5,3,0.00681818181818182,0.00454545454545455,0,0,0.00113636363636364,0.00113636363636364,0.00227272727272727,0,0.00113636363636364,0.00568181818181818,0.00340909090909091,880,436,876,8.57929499650773,0.00227272727272727,0.00454545454545455,880,1,1,0,1
"2017-06-01","South Sudan",11,15,6,1,77,2,0,61,25,10,2,13,9,11,4,17,2,3,46,36,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0.012987012987013,0.0177095631641086,0.00708382526564345,0.00118063754427391,0.0909090909090909,0.00236127508854782,0,0.0720188902007084,0.0295159386068477,0.0118063754427391,0.00236127508854782,0.0153482880755608,0.0106257378984652,0.012987012987013,0.00472255017709563,0.0200708382526564,0.00236127508854782,0.00354191263282172,0.0543093270365998,0.0425029515938607,0,0,0,0,0,0,0.00590318772136954,0.00118063754427391,0,0,0,0,0,0,6,8,1,0,6,3,1,1,0,11,6,0.00708382526564345,0.00944510035419126,0.00118063754427391,0,0.00708382526564345,0.00354191263282172,0.00118063754427391,0.00118063754427391,0,0.012987012987013,0.00708382526564345,847,458,840,6.948393688543,0,0.0118063754427391,847,1,1,0,1
"2017-07-01","South Sudan",14,23,2,2,60,2,0,25,14,8,13,23,9,4,3,41,2,11,34,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0181347150259067,0.0297927461139896,0.00259067357512953,0.00259067357512953,0.077720207253886,0.00259067357512953,0,0.0323834196891192,0.0181347150259067,0.0103626943005181,0.016839378238342,0.0297927461139896,0.0116580310880829,0.00518134715025907,0.0038860103626943,0.0531088082901554,0.00259067357512953,0.0142487046632124,0.0440414507772021,0.0906735751295337,0,0,0,0,0,0,0.00129533678756477,0,0,0,0,0,0,0,5,3,1,0,10,1,3,1,6,10,3,0.00647668393782383,0.0038860103626943,0.00129533678756477,0,0.0129533678756477,0.00129533678756477,0.0038860103626943,0.00129533678756477,0.0077720207253886,0.0129533678756477,0.0038860103626943,772,377,771,9.4039939013798,0.00129533678756477,0.00129533678756477,772,1,1,0,1
"2017-08-01","South Sudan",16,6,21,3,58,4,0,57,25,7,1,16,5,7,3,6,0,6,37,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0212765957446809,0.00797872340425532,0.0279255319148936,0.00398936170212766,0.0771276595744681,0.00531914893617021,0,0.0757978723404255,0.0332446808510638,0.00930851063829787,0.00132978723404255,0.0212765957446809,0.00664893617021277,0.00930851063829787,0.00398936170212766,0.00797872340425532,0,0.00797872340425532,0.0492021276595745,0.0558510638297872,0,0,0,0,0,0,0.00132978723404255,0,0,0,0,0,0,0,5,3,1,0,6,2,0,1,0,7,9,0.00664893617021277,0.00398936170212766,0.00132978723404255,0,0.00797872340425532,0.00265957446808511,0,0.00132978723404255,0,0.00930851063829787,0.011968085106383,752,405,751,6.55110332228047,0.00265957446808511,0.00265957446808511,752,1,1,0,1
"2017-09-01","South Sudan",11,2,10,8,55,4,1,28,23,9,0,7,17,7,5,24,0,13,33,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0153203342618384,0.00278551532033426,0.0139275766016713,0.011142061281337,0.0766016713091922,0.00557103064066852,0.00139275766016713,0.0389972144846797,0.032033426183844,0.0125348189415042,0,0.00974930362116992,0.0236768802228412,0.00974930362116992,0.00696378830083565,0.0334261838440111,0,0.0181058495821727,0.0459610027855153,0.0445682451253482,0,0,0,0,0,0,0,0,0.00139275766016713,0,0,0,0,0,8,6,0,0,5,2,0,1,1,9,2,0.011142061281337,0.00835654596100279,0,0,0.00696378830083565,0.00278551532033426,0,0.00139275766016713,0.00139275766016713,0.0125348189415042,0.00278551532033426,718,410,717,7.73264949955619,0.00139275766016713,0.00974930362116992,718,1,1,0,1
"2017-10-01","South Sudan",8,4,7,2,64,1,0,17,10,9,0,8,6,9,9,14,1,5,32,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0119225037257824,0.00596125186289121,0.0104321907600596,0.0029806259314456,0.0953800298062593,0.0014903129657228,0,0.0253353204172876,0.014903129657228,0.0134128166915052,0,0.0119225037257824,0.00894187779433681,0.0134128166915052,0.0134128166915052,0.0208643815201192,0.0014903129657228,0.00745156482861401,0.0476900149031297,0.0611028315946349,0,0,0,0,0,0,0,0,0,0,0.0014903129657228,0,0,0,11,10,0,0,2,4,0,1,1,6,6,0.0163934426229508,0.014903129657228,0,0,0.0029806259314456,0.00596125186289121,0,0.0014903129657228,0.0014903129657228,0.00894187779433681,0.00894187779433681,671,388,669,6.20108186898596,0,0.0029806259314456,671,1,1,0,1
"2017-11-01","South Sudan",14,3,1,0,62,3,0,10,17,11,2,12,7,5,2,17,2,14,47,34,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0213414634146341,0.00457317073170732,0.00152439024390244,0,0.0945121951219512,0.00457317073170732,0,0.0152439024390244,0.0259146341463415,0.0167682926829268,0.00304878048780488,0.0182926829268293,0.0106707317073171,0.00762195121951219,0.00304878048780488,0.0259146341463415,0.00304878048780488,0.0213414634146341,0.0716463414634146,0.0518292682926829,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609756097560976,8,10,0,0,3,2,1,0,1,7,7,0.0121951219512195,0.0152439024390244,0,0,0.00457317073170732,0.00304878048780488,0.00152439024390244,0,0.00152439024390244,0.0106707317073171,0.0106707317073171,656,360,652,7.31742763837614,0.00762195121951219,0.00457317073170732,656,1,1,0,1
"2017-12-01","South Sudan",13,1,5,2,67,3,0,10,21,8,12,14,16,6,10,18,7,12,67,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0162094763092269,0.00124688279301746,0.00623441396508728,0.00249376558603491,0.0835411471321696,0.00374064837905237,0,0.0124688279301746,0.0261845386533666,0.00997506234413965,0.0149625935162095,0.0174563591022444,0.0199501246882793,0.00748129675810474,0.0124688279301746,0.0224438902743142,0.00872817955112219,0.0149625935162095,0.0835411471321696,0.0473815461346633,0,0,0,0,0.00124688279301746,0,0,0,0,0,0,0,0,0,16,4,1,0,6,1,0,0,0,10,3,0.0199501246882793,0.00498753117206983,0.00124688279301746,0,0.00748129675810474,0.00124688279301746,0,0,0,0.0124688279301746,0.00374064837905237,802,446,801,7.59515993129925,0,0.00498753117206983,802,1,1,0,1
"2018-01-01","South Sudan",26,3,9,0,40,7,0,12,20,9,1,6,4,8,8,20,0,33,23,39,0,0,1,4,0,0,2,3,1,0,2,0,1,0,0.0340314136125654,0.00392670157068063,0.0117801047120419,0,0.0523560209424084,0.00916230366492147,0,0.0157068062827225,0.0261780104712042,0.0117801047120419,0.00130890052356021,0.00785340314136126,0.00523560209424084,0.0104712041884817,0.0104712041884817,0.0261780104712042,0,0.0431937172774869,0.0301047120418848,0.0510471204188482,0,0,0.00130890052356021,0.00523560209424084,0,0,0.00261780104712042,0.00392670157068063,0.00130890052356021,0,0.00261780104712042,0,0.00130890052356021,0,14,5,2,0,4,3,1,0,2,10,4,0.0183246073298429,0.00654450261780105,0.00261780104712042,0,0.00523560209424084,0.00392670157068063,0.00130890052356021,0,0.00261780104712042,0.0130890052356021,0.00523560209424084,764,455,750,7.91660260788487,0.00785340314136126,0.0143979057591623,764,1,1,0,1
"2018-02-01","South Sudan",12,9,2,0,87,8,0,25,57,14,9,6,24,3,17,33,0,19,36,35,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0141176470588235,0.0105882352941176,0.00235294117647059,0,0.102352941176471,0.00941176470588235,0,0.0294117647058824,0.0670588235294118,0.0164705882352941,0.0105882352941176,0.00705882352941176,0.0282352941176471,0.00352941176470588,0.02,0.0388235294117647,0,0.0223529411764706,0.0423529411764706,0.0411764705882353,0,0,0.00117647058823529,0,0,0,0,0,0,0.00117647058823529,0,0,0,0,5,6,1,0,8,5,2,1,0,8,1,0.00588235294117647,0.00705882352941176,0.00117647058823529,0,0.00941176470588235,0.00588235294117647,0.00235294117647059,0.00117647058823529,0,0.00941176470588235,0.00117647058823529,850,445,848,10.6870404657487,0.00352941176470588,0.00352941176470588,850,1,1,0,1
"2018-03-01","South Sudan",12,9,4,0,53,3,0,20,23,8,2,4,18,13,8,21,3,21,29,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0156862745098039,0.0117647058823529,0.00522875816993464,0,0.069281045751634,0.00392156862745098,0,0.0261437908496732,0.0300653594771242,0.0104575163398693,0.00261437908496732,0.00522875816993464,0.0235294117647059,0.0169934640522876,0.0104575163398693,0.0274509803921569,0.00392156862745098,0.0274509803921569,0.0379084967320261,0.0274509803921569,0,0,0,0,0,0,0.00130718954248366,0,0,0,0,0,0,0,10,8,3,0,10,2,3,2,0,7,0,0.0130718954248366,0.0104575163398693,0.00392156862745098,0,0.0130718954248366,0.00261437908496732,0.00392156862745098,0.00261437908496732,0,0.00915032679738562,0,765,467,764,8.24660364041872,0,0.0065359477124183,765,1,1,0,1
