"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","diaspora_activation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","professional_cultural_exchange","security_cooperation","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","diaspora_activationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","professional_cultural_exchangeNorm","security_cooperationNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","therwandan.com","umuseke.rw"
"2013-11-01","Rwanda",5,0,8,1,35,2,1,9,18,13,0,2,8,2,1,1,0,0,6,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0.00419463087248322,0,0.00671140939597315,0.000838926174496644,0.0293624161073825,0.00167785234899329,0.000838926174496644,0.0075503355704698,0.0151006711409396,0.0109060402684564,0,0.00167785234899329,0.00671140939597315,0.00167785234899329,0.000838926174496644,0.000838926174496644,0,0,0.00503355704697987,0.00503355704697987,0,0,0,0,0.000838926174496644,0.000838926174496644,0,0,0,0,0,0,0,11,14,2,0,9,9,2,0,1,7,2,0.00922818791946309,0.011744966442953,0.00167785234899329,0,0.0075503355704698,0.0075503355704698,0.00167785234899329,0,0.000838926174496644,0.00587248322147651,0.00167785234899329,1192,1028,1190,4.86489402238995,0.00167785234899329,0.00251677852348993,1192,1,0
"2013-12-01","Rwanda",1,0,6,1,12,0,0,10,16,6,0,5,9,2,1,2,0,1,5,7,0,0,0,0,0,0,0,1,3,0,0,0,0,0.0009000900090009,0,0.0054005400540054,0.0009000900090009,0.0108010801080108,0,0,0.009000900090009,0.0144014401440144,0.0054005400540054,0,0.0045004500450045,0.0081008100810081,0.0018001800180018,0.0009000900090009,0.0018001800180018,0,0.0009000900090009,0.0045004500450045,0.0063006300630063,0,0,0,0,0,0,0,0.0009000900090009,0.0027002700270027,0,0,0,0,8,17,1,0,9,11,1,1,1,4,2,0.0072007200720072,0.0153015301530153,0.0009000900090009,0,0.0081008100810081,0.0099009900990099,0.0009000900090009,0.0009000900090009,0.0009000900090009,0.0036003600360036,0.0018001800180018,1111,978,1106,5.47125888250326,0,0.0081008100810081,1111,1,0
"2014-01-01","Rwanda",3,0,7,0,15,0,0,9,15,7,0,11,9,2,3,8,1,6,17,7,0,0,0,0,3,1,1,0,1,0,0,0,0,0.00238473767885533,0,0.00556438791732909,0,0.0119236883942766,0,0,0.00715421303656598,0.0119236883942766,0.00556438791732909,0,0.00874403815580286,0.00715421303656598,0.00158982511923688,0.00238473767885533,0.00635930047694754,0.000794912559618442,0.00476947535771065,0.0135135135135135,0.00556438791732909,0,0,0,0,0.00238473767885533,0.000794912559618442,0.000794912559618442,0,0.000794912559618442,0,0,0,0,11,16,0,0,11,4,0,0,0,6,8,0.00874403815580286,0.0127186009538951,0,0,0.00874403815580286,0.00317965023847377,0,0,0,0.00476947535771065,0.00635930047694754,1258,1087,1249,8.02532410022644,0.00317965023847377,0.00715421303656598,1258,1,0
"2014-02-01","Rwanda",4,0,5,0,12,3,0,7,48,10,0,5,13,5,1,2,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0.00336700336700337,0,0.00420875420875421,0,0.0101010101010101,0.00252525252525253,0,0.00589225589225589,0.0404040404040404,0.00841750841750842,0,0.00420875420875421,0.0109427609427609,0.00420875420875421,0.000841750841750842,0.00168350168350168,0,0.00168350168350168,0.00336700336700337,0.00336700336700337,0,0,0,0,0,0,0,0,0,0,0,0,0.00168350168350168,12,19,1,0,11,11,2,1,0,8,5,0.0101010101010101,0.015993265993266,0.000841750841750842,0,0.00925925925925926,0.00925925925925926,0.00168350168350168,0.000841750841750842,0,0.00673400673400673,0.00420875420875421,1188,1007,1186,5.11209766281559,0,0.00252525252525253,1188,1,0
"2014-03-01","Rwanda",4,0,1,0,23,1,1,7,20,6,0,6,7,6,2,14,0,1,3,8,0,0,0,0,0,1,2,0,1,0,0,1,1,0.0031055900621118,0,0.00077639751552795,0,0.0178571428571429,0.00077639751552795,0.00077639751552795,0.00543478260869565,0.015527950310559,0.0046583850931677,0,0.0046583850931677,0.00543478260869565,0.0046583850931677,0.0015527950310559,0.0108695652173913,0,0.00077639751552795,0.00232919254658385,0.0062111801242236,0,0,0,0,0,0.00077639751552795,0.0015527950310559,0,0.00077639751552795,0,0,0.00077639751552795,0.00077639751552795,14,19,0,0,4,8,1,1,3,3,3,0.0108695652173913,0.0147515527950311,0,0,0.0031055900621118,0.0062111801242236,0.00077639751552795,0.00077639751552795,0.00232919254658385,0.00232919254658385,0.00232919254658385,1288,1131,1281,5.89041291915369,0,0.00698757763975155,1288,1,0
"2014-04-01","Rwanda",6,1,0,0,9,3,0,5,16,9,0,2,5,6,3,3,0,2,3,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0.00446760982874162,0.000744601638123604,0,0,0.00670141474311243,0.00223380491437081,0,0.00372300819061802,0.0119136262099777,0.00670141474311243,0,0.00148920327624721,0.00372300819061802,0.00446760982874162,0.00223380491437081,0.00223380491437081,0,0.00148920327624721,0.00223380491437081,0.000744601638123604,0,0,0,0,0,0,0.000744601638123604,0.00148920327624721,0.000744601638123604,0,0,0,0,14,15,3,0,10,4,4,0,3,6,4,0.0104244229337305,0.0111690245718541,0.00223380491437081,0,0.00744601638123604,0.00297840655249442,0.00297840655249442,0,0.00223380491437081,0.00446760982874162,0.00297840655249442,1343,1216,1339,5.31598321734758,0.00148920327624721,0.00819061801935964,1343,1,0
"2014-05-01","Rwanda",8,0,3,0,13,3,0,4,15,7,0,2,6,6,2,2,0,0,5,2,0,0,0,0,0,0,0,5,1,0,0,0,1,0.00687285223367698,0,0.00257731958762887,0,0.0111683848797251,0.00257731958762887,0,0.00343642611683849,0.0128865979381443,0.00601374570446735,0,0.00171821305841924,0.00515463917525773,0.00515463917525773,0.00171821305841924,0.00171821305841924,0,0,0.00429553264604811,0.00171821305841924,0,0,0,0,0,0,0,0.00429553264604811,0.000859106529209622,0,0,0,0.000859106529209622,14,22,3,0,10,6,0,0,0,3,1,0.0120274914089347,0.0189003436426117,0.00257731958762887,0,0.00859106529209622,0.00515463917525773,0,0,0,0.00257731958762887,0.000859106529209622,1164,1038,1157,4.89136816807352,0,0.0103092783505155,1164,1,0
"2014-06-01","Rwanda",1,1,2,0,9,1,0,15,13,7,0,8,4,7,1,4,0,6,8,12,0,0,0,0,0,1,0,0,2,0,1,1,0,0.000871080139372822,0.000871080139372822,0.00174216027874564,0,0.0078397212543554,0.000871080139372822,0,0.0130662020905923,0.0113240418118467,0.00609756097560976,0,0.00696864111498258,0.00348432055749129,0.00609756097560976,0.000871080139372822,0.00348432055749129,0,0.00522648083623693,0.00696864111498258,0.0104529616724739,0,0,0,0,0,0.000871080139372822,0,0,0.00174216027874564,0,0.000871080139372822,0.000871080139372822,0,6,26,0,0,4,8,2,2,0,6,2,0.00522648083623693,0.0226480836236934,0,0,0.00348432055749129,0.00696864111498258,0.00174216027874564,0.00174216027874564,0,0.00522648083623693,0.00174216027874564,1148,997,1142,7.50470494171352,0.00174216027874564,0.00609756097560976,1148,1,0
"2014-07-01","Rwanda",2,0,2,0,14,0,0,24,17,7,1,3,5,2,1,4,0,0,1,2,0,0,0,0,1,0,0,3,3,1,0,0,0,0.00170212765957447,0,0.00170212765957447,0,0.0119148936170213,0,0,0.0204255319148936,0.014468085106383,0.00595744680851064,0.000851063829787234,0.0025531914893617,0.00425531914893617,0.00170212765957447,0.000851063829787234,0.00340425531914894,0,0,0.000851063829787234,0.00170212765957447,0,0,0,0,0.000851063829787234,0,0,0.0025531914893617,0.0025531914893617,0.000851063829787234,0,0,0,7,17,0,0,4,13,3,0,1,3,1,0.00595744680851064,0.014468085106383,0,0,0.00340425531914894,0.011063829787234,0.0025531914893617,0,0.000851063829787234,0.0025531914893617,0.000851063829787234,1175,1046,1167,4.75736070343119,0.000851063829787234,0.0102127659574468,1175,1,0
"2014-08-01","Rwanda",13,3,4,0,18,0,1,17,21,4,1,4,12,5,1,2,1,1,4,1,0,0,0,0,0,0,0,2,2,1,0,1,1,0.0109060402684564,0.00251677852348993,0.00335570469798658,0,0.0151006711409396,0,0.000838926174496644,0.014261744966443,0.0176174496644295,0.00335570469798658,0.000838926174496644,0.00335570469798658,0.0100671140939597,0.00419463087248322,0.000838926174496644,0.00167785234899329,0.000838926174496644,0.000838926174496644,0.00335570469798658,0.000838926174496644,0,0,0,0,0,0,0,0.00167785234899329,0.00167785234899329,0.000838926174496644,0,0.000838926174496644,0.000838926174496644,10,15,1,0,6,2,0,1,0,3,2,0.00838926174496644,0.0125838926174497,0.000838926174496644,0,0.00503355704697987,0.00167785234899329,0,0.000838926174496644,0,0.00251677852348993,0.00167785234899329,1192,1052,1185,5.01445236020385,0,0.0075503355704698,1192,1,0
"2014-09-01","Rwanda",9,2,2,0,3,1,1,11,14,5,1,3,9,3,0,3,0,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.00816696914700544,0.00181488203266788,0.00181488203266788,0,0.00272232304900181,0.000907441016333938,0.000907441016333938,0.00998185117967332,0.0127041742286751,0.00453720508166969,0.000907441016333938,0.00272232304900181,0.00816696914700544,0.00272232304900181,0,0.00272232304900181,0,0.00362976406533575,0.00181488203266788,0.000907441016333938,0,0,0,0,0,0,0,0,0.000907441016333938,0,0,0,0.000907441016333938,16,22,3,0,9,7,1,1,1,6,6,0.014519056261343,0.0199637023593466,0.00272232304900181,0,0.00816696914700544,0.00635208711433757,0.000907441016333938,0.000907441016333938,0.000907441016333938,0.00544464609800363,0.00544464609800363,1102,967,1100,5.40378545192464,0,0.00362976406533575,1102,1,0
"2014-10-01","Rwanda",7,6,6,0,9,2,2,16,18,5,0,4,10,5,8,4,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00576131687242798,0.00493827160493827,0.00493827160493827,0,0.00740740740740741,0.00164609053497942,0.00164609053497942,0.0131687242798354,0.0148148148148148,0.00411522633744856,0,0.00329218106995885,0.00823045267489712,0.00411522633744856,0.0065843621399177,0.00329218106995885,0.000823045267489712,0.000823045267489712,0.00329218106995885,0.00164609053497942,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,5,0,9,16,0,1,1,6,8,0.00823045267489712,0.0123456790123457,0.00411522633744856,0,0.00740740740740741,0.0131687242798354,0,0.000823045267489712,0.000823045267489712,0.00493827160493827,0.0065843621399177,1215,1048,1215,6.51336570813607,0.000823045267489712,0.00246913580246914,1215,1,0
"2014-11-01","Rwanda",6,2,3,0,11,3,2,4,19,5,0,7,8,2,5,5,0,0,4,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0.00508905852417303,0.00169635284139101,0.00254452926208651,0,0.00932994062765055,0.00254452926208651,0.00169635284139101,0.00339270568278202,0.0161153519932146,0.00424088210347752,0,0.00593723494486853,0.00678541136556404,0.00169635284139101,0.00424088210347752,0.00424088210347752,0,0,0.00339270568278202,0.00254452926208651,0.000848176420695505,0,0,0,0,0,0,0,0.000848176420695505,0,0.000848176420695505,0,0,18,18,2,0,6,11,2,0,0,4,3,0.0152671755725191,0.0152671755725191,0.00169635284139101,0,0.00508905852417303,0.00932994062765055,0.00169635284139101,0,0,0.00339270568278202,0.00254452926208651,1179,1038,1176,5.88599678588601,0,0.00593723494486853,1179,1,0
"2014-12-01","Rwanda",8,0,4,1,11,2,0,5,12,5,0,1,16,4,1,4,0,2,3,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0.00691443388072602,0,0.00345721694036301,0.000864304235090752,0.00950734658599827,0.0017286084701815,0,0.00432152117545376,0.010371650821089,0.00432152117545376,0,0.000864304235090752,0.013828867761452,0.00345721694036301,0.000864304235090752,0.00345721694036301,0,0.0017286084701815,0.00259291270527226,0.0017286084701815,0,0,0.000864304235090752,0,0,0,0,0,0,0,0.000864304235090752,0,0,5,18,4,0,12,13,1,0,0,9,2,0.00432152117545376,0.0155574762316335,0.00345721694036301,0,0.010371650821089,0.0112359550561798,0.000864304235090752,0,0,0.00777873811581677,0.0017286084701815,1157,1025,1155,4.77054907522825,0,0.0017286084701815,1157,1,0
"2015-01-01","Rwanda",11,1,4,0,7,0,0,6,14,6,0,7,13,3,1,4,1,1,5,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0102611940298507,0.000932835820895522,0.00373134328358209,0,0.00652985074626866,0,0,0.00559701492537313,0.0130597014925373,0.00559701492537313,0,0.00652985074626866,0.0121268656716418,0.00279850746268657,0.000932835820895522,0.00373134328358209,0.000932835820895522,0.000932835820895522,0.00466417910447761,0.00373134328358209,0,0,0,0,0.000932835820895522,0,0,0,0.000932835820895522,0,0,0,0,18,14,3,0,11,20,1,0,0,3,4,0.0167910447761194,0.0130597014925373,0.00279850746268657,0,0.0102611940298507,0.0186567164179104,0.000932835820895522,0,0,0.00279850746268657,0.00373134328358209,1072,925,1069,5.59412357083334,0.00186567164179104,0.000932835820895522,1072,1,0
"2015-02-01","Rwanda",13,0,4,0,10,1,0,13,14,3,0,3,21,3,0,4,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0121155638397018,0,0.00372786579683131,0,0.00931966449207828,0.000931966449207828,0,0.0121155638397018,0.0130475302889096,0.00279589934762349,0,0.00279589934762349,0.0195712954333644,0.00279589934762349,0,0.00372786579683131,0,0,0.00279589934762349,0.00186393289841566,0,0,0,0,0,0,0,0,0.000931966449207828,0,0,0,0,9,13,1,0,8,10,2,0,0,3,7,0.00838769804287046,0.0121155638397018,0.000931966449207828,0,0.00745573159366263,0.00931966449207828,0.00186393289841566,0,0,0.00279589934762349,0.0065237651444548,1073,947,1072,4.11309904974824,0.00186393289841566,0.00186393289841566,1073,1,0
"2015-03-01","Rwanda",7,1,3,0,15,2,0,6,8,5,0,3,16,6,2,3,0,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00603968938740293,0.000862812769628991,0.00258843830888697,0,0.0129421915444349,0.00172562553925798,0,0.00517687661777394,0.00690250215703192,0.00431406384814495,0,0.00258843830888697,0.0138050043140638,0.00517687661777394,0.00172562553925798,0.00258843830888697,0,0.000862812769628991,0.00258843830888697,0.00258843830888697,0,0,0,0,0,0,0,0,0,0,0.000862812769628991,0,0,11,16,0,0,7,18,0,0,2,5,3,0.0094909404659189,0.0138050043140638,0,0,0.00603968938740293,0.0155306298533218,0,0,0.00172562553925798,0.00431406384814495,0.00258843830888697,1159,1023,1158,5.00287847803874,0.00172562553925798,0.00431406384814495,1159,1,0
"2015-04-01","Rwanda",8,0,6,1,9,0,0,7,16,7,0,4,13,5,7,2,0,0,5,7,0,0,0,1,0,0,0,1,0,1,0,0,1,0.00657354149548069,0,0.00493015612161052,0.000821692686935086,0.00739523418241578,0,0,0.0057518488085456,0.0131470829909614,0.0057518488085456,0,0.00328677074774034,0.0106820049301561,0.00410846343467543,0.0057518488085456,0.00164338537387017,0,0,0.00410846343467543,0.0057518488085456,0,0,0,0.000821692686935086,0,0,0,0.000821692686935086,0,0.000821692686935086,0,0,0.000821692686935086,19,9,3,0,7,11,1,1,0,5,5,0.0156121610517666,0.00739523418241578,0.00246507806080526,0,0.0057518488085456,0.00903861955628595,0.000821692686935086,0.000821692686935086,0,0.00410846343467543,0.00410846343467543,1217,1072,1213,5.632365679242,0.00328677074774034,0.00246507806080526,1217,1,0
"2015-05-01","Rwanda",7,0,10,4,10,9,0,16,8,8,1,0,7,11,7,3,0,0,6,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0.00593220338983051,0,0.00847457627118644,0.00338983050847458,0.00847457627118644,0.0076271186440678,0,0.0135593220338983,0.00677966101694915,0.00677966101694915,0.000847457627118644,0,0.00593220338983051,0.00932203389830509,0.00593220338983051,0.00254237288135593,0,0,0.00508474576271186,0.00423728813559322,0,0,0,0,0,0.000847457627118644,0,0.000847457627118644,0,0,0,0,0,15,19,3,0,11,8,3,1,1,8,1,0.0127118644067797,0.0161016949152542,0.00254237288135593,0,0.00932203389830509,0.00677966101694915,0.00254237288135593,0.000847457627118644,0.000847457627118644,0.00677966101694915,0.000847457627118644,1180,1007,1178,5.83966032979565,0.00169491525423729,0.00338983050847458,1180,1,0
