"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","prishtinainsight.com","botasot.info"
"2019-04-01","Kosovo",16,1,51,8,59,1,2,20,90,18,0,11,43,2,35,11,2,7,8,25,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.00581184162731566,0.000363240101707228,0.0185252451870687,0.00290592081365783,0.0214311660007265,0.000363240101707228,0.000726480203414457,0.00726480203414457,0.0326916091536506,0.00653832183073011,0,0.00399564111877951,0.0156193243734108,0.000726480203414457,0.012713403559753,0.00399564111877951,0.000726480203414457,0.0025426807119506,0.00290592081365783,0.00908100254268071,0,0,0.000363240101707228,0,0.000363240101707228,0,0,0,0,0,0,0.000363240101707228,0.000363240101707228,0,0,0,0,0,0,71,13,19,1,67,17,4,2,3,49,53,0.0257900472212132,0.00472212132219397,0.00690156193243734,0.000363240101707228,0.0243370868143843,0.00617508172902288,0.00145296040682891,0.000726480203414457,0.00108972030512169,0.0177987649836542,0.0192517253904831,2753,2078,2749,4.32577956627659,0.00181620050853614,0.00108972030512169,2753,1,0
"2019-05-01","Kosovo",31,3,72,4,45,6,0,20,83,24,0,25,44,2,34,12,8,13,3,26,0,0,0,4,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0,0.0113345521023766,0.00109689213893967,0.0263254113345521,0.00146252285191956,0.0164533820840951,0.00219378427787934,0,0.00731261425959781,0.0303473491773309,0.00877513711151737,0,0.00914076782449726,0.0160877513711152,0.000731261425959781,0.0124314442413163,0.00438756855575868,0.00292504570383912,0.00475319926873857,0.00109689213893967,0.00950639853747715,0,0,0,0.00146252285191956,0,0.00036563071297989,0,0.00036563071297989,0,0,0.000731261425959781,0,0,0.000731261425959781,0,0,0,0,0,132,9,19,0,69,11,1,3,6,26,60,0.0482632541133455,0.00329067641681901,0.00694698354661792,0,0.0252285191956124,0.00402193784277879,0.00036563071297989,0.00109689213893967,0.00219378427787934,0.00950639853747715,0.0219378427787934,2735,1984,2725,6.29577085985125,0.00438756855575868,0.00036563071297989,2735,1,0
"2019-06-01","Kosovo",17,3,36,4,68,3,0,25,98,15,0,6,44,6,20,27,2,19,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0.00699876492383697,0.00123507616303005,0.0148209139563606,0.0016467682173734,0.0279950596953479,0.00123507616303005,0,0.0102923013585838,0.0403458213256484,0.00617538081515027,0,0.00247015232606011,0.0181144503911075,0.00247015232606011,0.00823384108686702,0.0111156854672705,0.000823384108686702,0.00782214903252367,0.00205846027171676,0.00782214903252367,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000823384108686702,0.000823384108686702,0,0,0,0.000411692054343351,66,8,15,0,60,15,1,1,5,16,48,0.0271716755866612,0.00329353643474681,0.00617538081515027,0,0.0247015232606011,0.00617538081515027,0.000411692054343351,0.000411692054343351,0.00205846027171676,0.00658707286949362,0.0197612186084809,2429,1819,2424,5.59501292325453,0.00247015232606011,0.000411692054343351,2429,1,0
"2019-07-01","Kosovo",18,1,59,7,66,2,0,17,82,8,0,5,23,2,36,68,1,9,9,11,0,0,1,0,3,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0.00863723608445298,0.000479846449136276,0.0283109404990403,0.00335892514395393,0.0316698656429942,0.000959692898272553,0,0.0081573896353167,0.0393474088291747,0.00383877159309021,0,0.00239923224568138,0.0110364683301344,0.000959692898272553,0.017274472168906,0.0326295585412668,0.000479846449136276,0.00431861804222649,0.00431861804222649,0.00527831094049904,0,0,0.000479846449136276,0,0.00143953934740883,0,0,0,0,0,0,0,0.000479846449136276,0,0.000479846449136276,0.000959692898272553,0,0,0,93,6,14,0,42,8,0,5,1,10,53,0.0446257197696737,0.00287907869481766,0.00671785028790787,0,0.0201535508637236,0.00383877159309021,0,0.00239923224568138,0.000479846449136276,0.00479846449136276,0.0254318618042227,2084,1452,2076,4.66850341293599,0.00479846449136276,0,2084,1,0
"2019-08-01","Kosovo",14,1,139,11,82,0,0,23,55,7,0,7,24,1,21,16,2,6,9,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00642496558054153,0.000458926112895824,0.0637907296925195,0.00504818724185406,0.0376319412574576,0,0,0.0105553005966039,0.0252409362092703,0.00321248279027077,0,0.00321248279027077,0.0110142267094998,0.000458926112895824,0.0096374483708123,0.00734281780633318,0.000917852225791648,0.00275355667737494,0.00413033501606241,0.00734281780633318,0,0,0,0,0.000458926112895824,0,0,0,0,0,0,0.000458926112895824,0,0,0,0,0,0,0,78,11,11,0,45,8,6,4,5,26,42,0.0357962368058743,0.00504818724185406,0.00504818724185406,0,0.0206516750803121,0.00367140890316659,0.00275355667737494,0.0018357044515833,0.00229463056447912,0.0119320789352914,0.0192748967416246,2179,1534,2177,3.6678630013136,0.000917852225791648,0,2179,1,0
"2019-09-01","Kosovo",20,1,177,19,57,4,1,35,69,19,0,10,42,7,15,10,2,13,12,17,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0.00798722044728434,0.000399361022364217,0.0706869009584665,0.00758785942492013,0.0227635782747604,0.00159744408945687,0.000399361022364217,0.0139776357827476,0.027555910543131,0.00758785942492013,0,0.00399361022364217,0.0167731629392971,0.00279552715654952,0.00599041533546326,0.00399361022364217,0.000798722044728434,0.00519169329073482,0.00479233226837061,0.00678913738019169,0,0,0,0,0,0.000399361022364217,0,0.000399361022364217,0.000798722044728434,0,0,0,0,0,0,0,0,0,0,76,11,15,0,52,15,3,4,5,36,66,0.0303514376996805,0.00439297124600639,0.00599041533546326,0,0.0207667731629393,0.00599041533546326,0.00119808306709265,0.00159744408945687,0.00199680511182109,0.0143769968051118,0.0263578274760383,2504,1729,2500,4.77674575407724,0.0023961661341853,0.000399361022364217,2504,1,0
"2019-10-01","Kosovo",28,3,381,43,66,1,1,26,99,8,0,11,20,9,19,10,3,11,7,12,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0.0108864696734059,0.00116640746500778,0.148133748055988,0.0167185069984448,0.0256609642301711,0.000388802488335925,0.000388802488335925,0.0101088646967341,0.0384914463452566,0.0031104199066874,0,0.00427682737169518,0.00777604976671851,0.00349922239502333,0.00738724727838258,0.00388802488335925,0.00116640746500778,0.00427682737169518,0.00272161741835148,0.0046656298600311,0,0,0.000388802488335925,0,0.000777604976671851,0,0,0,0,0,0,0.000388802488335925,0,0.000777604976671851,0,0,0,0,0,87,22,14,0,75,3,4,3,1,25,46,0.0338258164852255,0.00855365474339036,0.00544323483670296,0,0.0291601866251944,0.00116640746500778,0.0015552099533437,0.00116640746500778,0.000388802488335925,0.00972006220839813,0.0178849144634526,2572,1561,2566,4.83828890357258,0.00272161741835148,0.000388802488335925,2572,1,0
"2019-11-01","Kosovo",10,0,94,12,48,0,2,65,77,13,1,2,21,4,18,7,0,11,3,15,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0.00473709142586452,0,0.0445286594031265,0.00568450971103742,0.0227380388441497,0,0.000947418285172904,0.0307910942681194,0.0364756039791568,0.00615821885362387,0.000473709142586452,0.000947418285172904,0.00994789199431549,0.00189483657034581,0.00852676456655613,0.00331596399810516,0,0.00521080056845097,0.00142112742775936,0.00710563713879678,0,0,0,0,0,0,0,0.00189483657034581,0,0,0,0,0.000473709142586452,0,0,0,0,0,0,67,14,16,0,64,9,4,5,3,28,54,0.0317385125532923,0.00663192799621033,0.00757934628138323,0,0.0303173851255329,0.00426338228327807,0.00189483657034581,0.00236854571293226,0.00142112742775936,0.0132638559924207,0.0255802936996684,2111,1476,2106,3.60876661794017,0.00284225485551871,0,2111,1,0
"2019-12-01","Kosovo",13,0,45,3,73,3,0,28,96,10,0,3,15,4,29,4,0,6,5,18,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00643245917862444,0,0.0222662048490846,0.00148441365660564,0.0361207323107373,0.00148441365660564,0,0.0138545274616526,0.0475012370113805,0.0049480455220188,0,0.00148441365660564,0.0074220682830282,0.00197921820880752,0.0143493320138545,0.00197921820880752,0,0.00296882731321128,0.0024740227610094,0.00890648193963384,0,0,0,0,0.00049480455220188,0,0,0,0,0,0,0,0.00049480455220188,0,0,0,0,0,0,87,14,7,0,60,8,5,0,4,41,52,0.0430479960415636,0.00692726373082632,0.00346363186541316,0,0.0296882731321128,0.00395843641761504,0.0024740227610094,0,0.00197921820880752,0.0202869866402771,0.0257298367144978,2021,1404,2018,4.25155006612048,0.00197921820880752,0.00148441365660564,2021,1,0
"2020-01-01","Kosovo",16,0,24,3,80,6,2,29,79,5,0,3,19,7,10,6,1,10,12,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00831600831600832,0,0.0124740124740125,0.00155925155925156,0.0415800415800416,0.00311850311850312,0.00103950103950104,0.0150727650727651,0.0410602910602911,0.0025987525987526,0,0.00155925155925156,0.00987525987525988,0.00363825363825364,0.0051975051975052,0.00311850311850312,0.00051975051975052,0.0051975051975052,0.00623700623700624,0.0077962577962578,0,0,0,0,0,0.00051975051975052,0,0,0,0,0,0,0,0,0,0,0,0,0,48,21,19,0,46,2,1,1,8,40,41,0.0249480249480249,0.0109147609147609,0.00987525987525988,0,0.0239085239085239,0.00103950103950104,0.00051975051975052,0.00051975051975052,0.00415800415800416,0.0207900207900208,0.0213097713097713,1924,1400,1923,4.62124935202682,0.00051975051975052,0,1924,1,0
"2020-02-01","Kosovo",12,0,63,3,100,1,0,38,49,16,0,2,27,5,12,31,0,8,13,11,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00528867342441604,0,0.0277655354781842,0.00132216835610401,0.0440722785368004,0.000440722785368004,0,0.0167474658439841,0.0215954164830322,0.00705156456588806,0,0.000881445570736007,0.0118995152049361,0.00220361392684002,0.00528867342441604,0.0136624063464081,0,0.00352578228294403,0.00572939620978405,0.00484795063904804,0.000440722785368004,0,0,0,0.000440722785368004,0,0,0,0,0,0,0,0,0.000440722785368004,0,0,0,0,0,56,23,10,0,39,15,5,2,2,34,34,0.0246804759806082,0.0101366240634641,0.00440722785368004,0,0.0171881886293521,0.00661084178052005,0.00220361392684002,0.000881445570736007,0.000881445570736007,0.0149845747025121,0.0149845747025121,2269,1681,2266,3.2541467577737,0.00132216835610401,0.000440722785368004,2269,1,0
"2020-03-01","Kosovo",12,0,39,7,61,15,1,186,36,27,27,6,20,4,18,33,1,9,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00497925311203319,0,0.0161825726141079,0.0029045643153527,0.0253112033195021,0.00622406639004149,0.0004149377593361,0.0771784232365145,0.0149377593360996,0.0112033195020747,0.0112033195020747,0.0024896265560166,0.00829875518672199,0.0016597510373444,0.00746887966804979,0.0136929460580913,0.0004149377593361,0.0037344398340249,0.0012448132780083,0.0045643153526971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,10,9,0,31,22,3,0,5,9,26,0.0219917012448133,0.004149377593361,0.0037344398340249,0,0.0128630705394191,0.00912863070539419,0.0012448132780083,0,0.0020746887966805,0.0037344398340249,0.0107883817427386,2410,1743,2410,2.83830198499968,0.0004149377593361,0,2410,1,0
"2020-04-01","Kosovo",13,1,40,2,62,9,0,249,35,24,26,6,28,3,4,12,2,12,4,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00615821885362387,0.000473709142586452,0.0189483657034581,0.000947418285172904,0.02936996684036,0.00426338228327807,0,0.117953576504027,0.0165798199905258,0.0113690194220748,0.0123164377072477,0.00284225485551871,0.0132638559924207,0.00142112742775936,0.00189483657034581,0.00568450971103742,0.000947418285172904,0.00568450971103742,0.00189483657034581,0.00521080056845097,0,0.000473709142586452,0,0,0,0.000473709142586452,0,0,0,0,0,0,0,0,0,0,0,0,0,56,22,6,0,25,21,6,2,3,13,26,0.0265277119848413,0.0104216011369019,0.00284225485551871,0,0.0118427285646613,0.00994789199431549,0.00284225485551871,0.000947418285172904,0.00142112742775936,0.00615821885362387,0.0123164377072477,2111,1404,2109,3.36436461669191,0.000473709142586452,0.000473709142586452,2111,1,0
"2020-05-01","Kosovo",13,0,32,6,33,4,0,151,31,29,12,6,19,10,29,9,1,13,2,9,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0.00717439293598234,0,0.0176600441501104,0.0033112582781457,0.0182119205298013,0.0022075055187638,0,0.0833333333333333,0.0171081677704194,0.0160044150110375,0.00662251655629139,0.0033112582781457,0.010485651214128,0.00551876379690949,0.0160044150110375,0.00496688741721854,0.000551876379690949,0.00717439293598234,0.0011037527593819,0.00496688741721854,0,0,0,0,0,0.000551876379690949,0,0,0.0011037527593819,0,0,0,0.000551876379690949,0.000551876379690949,0,0.000551876379690949,0,0,0,38,10,7,0,28,6,3,0,4,19,19,0.0209713024282561,0.00551876379690949,0.00386313465783664,0,0.0154525386313466,0.0033112582781457,0.00165562913907285,0,0.0022075055187638,0.010485651214128,0.010485651214128,1812,1283,1806,4.35084439541381,0.00275938189845475,0.00165562913907285,1812,1,0
"2020-06-01","Kosovo",11,0,41,7,62,1,6,111,82,13,7,3,19,5,15,16,2,7,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00661057692307692,0,0.0246394230769231,0.00420673076923077,0.0372596153846154,0.000600961538461538,0.00360576923076923,0.0667067307692308,0.0492788461538462,0.0078125,0.00420673076923077,0.00180288461538462,0.0114182692307692,0.00300480769230769,0.00901442307692308,0.00961538461538462,0.00120192307692308,0.00420673076923077,0.00360576923076923,0.00240384615384615,0,0,0,0,0,0,0,0.000600961538461538,0,0,0,0,0,0,0,0,0,0,0,28,17,8,1,35,12,2,3,4,10,19,0.0168269230769231,0.0102163461538462,0.00480769230769231,0.000600961538461538,0.0210336538461538,0.00721153846153846,0.00120192307692308,0.00180288461538462,0.00240384615384615,0.00600961538461538,0.0114182692307692,1664,1133,1663,4.21014434437912,0.00180288461538462,0,1664,1,0
"2020-07-01","Kosovo",6,0,18,1,43,0,6,58,52,18,7,4,12,3,16,4,1,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00548446069469835,0,0.0164533820840951,0.000914076782449726,0.0393053016453382,0,0.00548446069469835,0.0530164533820841,0.0475319926873857,0.0164533820840951,0.00639853747714808,0.0036563071297989,0.0109689213893967,0.00274223034734918,0.0146252285191956,0.0036563071297989,0.000914076782449726,0.00548446069469835,0.00274223034734918,0.00639853747714808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,5,1,0,27,20,0,1,3,20,22,0.0374771480804388,0.00457038391224863,0.000914076782449726,0,0.0246800731261426,0.0182815356489945,0,0.000914076782449726,0.00274223034734918,0.0182815356489945,0.020109689213894,1094,706,1094,4.77991280062759,0,0,1094,1,0
