"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","jawapos.com","kompas.com","mediaindonesia.com","hariansib.com"
2022-03-01,"Indonesia",122,2,234,277,61,0,1,1037,272,57,17,58,346,35,34,99,3,6,52,40,0,0,0,0,4,2,12,0,0,4,0,2,0,2,3,1,1,0,0,18,1,0.00428115240200723,7.01828262624136e-05,0.00821139067270239,0.00972032143734428,0.00214057620100361,0,3.50914131312068e-05,0.0363897954170614,0.00954486437168825,0.00200021054847879,0.000596554023230516,0.00203530196160999,0.0121416289433976,0.00122819945959224,0.00119310804646103,0.00347404989998947,0.00010527423939362,0.000210548478787241,0.00182475348282275,0.00140365652524827,0,0,0,0,0.000140365652524827,7.01828262624136e-05,0.000421096957574482,0,0,0.000140365652524827,0,7.01828262624136e-05,0,7.01828262624136e-05,0.00010527423939362,3.50914131312068e-05,3.50914131312068e-05,0,0,0.000631645436361722,3.50914131312068e-05,418,110,242,6,363,160,29,36,6,125,103,0.0146682106888444,0.00386005544443275,0.00849212197775204,0.000210548478787241,0.0127381829666281,0.00561462610099309,0.001017650980805,0.00126329087272344,0.000210548478787241,0.00438642664140085,0.0036144155525143,28497,24563,28447,6.50446636901494,0.0015440221777731,0.000772011088886549,28497,1,1,1,1
2022-04-01,"Indonesia",96,4,220,70,66,2,1,775,220,90,9,77,310,45,94,38,0,3,33,35,2,0,0,0,0,1,7,0,0,2,0,0,0,3,1,1,0,1,0,12,0,0.00339486526628474,0.000141452719428531,0.00777989956856921,0.00247542258999929,0.00233396987057076,7.07263597142655e-05,3.53631798571328e-05,0.0274064643892779,0.00777989956856921,0.00318268618714195,0.000318268618714195,0.00272296484899922,0.0109625857557112,0.00159134309357097,0.00332413890657048,0.00134380083457104,0,0.000106089539571398,0.00116698493528538,0.00123771129499965,7.07263597142655e-05,0,0,0,0,3.53631798571328e-05,0.000247542258999929,0,0,7.07263597142655e-05,0,0,0,0.000106089539571398,3.53631798571328e-05,3.53631798571328e-05,0,3.53631798571328e-05,0,0.000424358158285593,0,449,72,190,0,288,295,32,25,8,129,101,0.0158780677558526,0.00254614894971356,0.00671900417285522,0,0.0101845957988542,0.0104321380578542,0.00113162175542825,0.000884079496428319,0.000282905438857062,0.00456185020157013,0.00357168116557041,28278,24867,28248,6.42101131195458,0.00120234811514251,0.000282905438857062,28278,1,1,1,1
2022-05-01,"Indonesia",62,1,160,3,70,2,1,978,212,36,12,35,265,31,44,21,3,9,9,26,0,0,0,0,1,1,1,0,0,2,0,0,0,2,1,1,0,0,0,8,0,0.00266060163927391,4.29129296657083e-05,0.00686606874651332,0.000128738788997125,0.00300390507659958,8.58258593314166e-05,4.29129296657083e-05,0.0419688452130627,0.00909754108913016,0.0015448654679655,0.000514955155988499,0.00150195253829979,0.0113719263614127,0.00133030081963696,0.00188816890529116,0.000901171522979874,0.000128738788997125,0.000386216366991375,0.000386216366991375,0.00111573617130842,0,0,0,0,4.29129296657083e-05,4.29129296657083e-05,4.29129296657083e-05,0,0,8.58258593314166e-05,0,0,0,8.58258593314166e-05,4.29129296657083e-05,4.29129296657083e-05,0,0,0,0.000343303437325666,0,276,89,113,0,176,158,17,21,2,102,77,0.0118439685877355,0.00381925074024804,0.00484916105222504,0,0.00755267562116466,0.00678024288718191,0.000729519804317041,0.000901171522979874,8.58258593314166e-05,0.00437711882590224,0.00330429558425954,23303,20581,23286,5.57921613006995,0.000729519804317041,0.000429129296657083,23303,1,1,1,1
2022-06-01,"Indonesia",83,3,246,5,124,1,1,668,311,54,8,33,413,23,39,151,9,0,18,28,2,0,1,1,2,1,18,0,0,1,0,0,0,10,5,3,0,2,0,5,1,0.00333695171471073,0.000120612712579906,0.00989024243155229,0.000201021187633177,0.00498532545330278,4.02042375266353e-05,4.02042375266353e-05,0.0268564306677924,0.0125035178707836,0.00217102882643831,0.000321633900213082,0.00132673983837897,0.0166043500985004,0.000924697463112612,0.00156796526353878,0.00607083986652193,0.000361838137739718,0,0.000723676275479436,0.00112571865074579,8.04084750532706e-05,0,4.02042375266353e-05,4.02042375266353e-05,8.04084750532706e-05,4.02042375266353e-05,0.000723676275479436,0,0,4.02042375266353e-05,0,0,0,0.000402042375266353,0.000201021187633177,0.000120612712579906,0,8.04084750532706e-05,0,0.000201021187633177,4.02042375266353e-05,319,129,125,3,276,199,36,27,2,133,100,0.0128251517709967,0.00518634664093596,0.00502552969082941,0.000120612712579906,0.0110963695573513,0.00800064326780043,0.00144735255095887,0.00108551441321915,8.04084750532706e-05,0.0053471635910425,0.00402042375266353,24873,21715,24821,6.70189564937194,0.00217102882643831,0.000924697463112612,24873,1,1,1,1
2022-07-01,"Indonesia",97,4,158,3,132,3,1,724,294,72,8,36,343,36,33,43,5,12,64,22,1,0,0,0,4,22,45,1,0,11,0,0,0,5,9,3,1,0,3,14,0,0.00380765456329735,0.000157016683022571,0.00620215897939156,0.000117762512266928,0.00518155053974485,0.000117762512266928,3.92541707556428e-05,0.0284200196270854,0.011540726202159,0.00282630029440628,0.000314033366045142,0.00141315014720314,0.0134641805691855,0.00141315014720314,0.00129538763493621,0.00168792934249264,0.000196270853778214,0.000471050049067713,0.00251226692836114,0.000863591756624141,3.92541707556428e-05,0,0,0,0.000157016683022571,0.000863591756624141,0.00176643768400393,3.92541707556428e-05,0,0.000431795878312071,0,0,0,0.000196270853778214,0.000353287536800785,0.000117762512266928,3.92541707556428e-05,0,0.000117762512266928,0.000549558390578999,0,409,106,144,2,310,224,24,28,3,164,95,0.0160549558390579,0.00416094210009814,0.00565260058881256,7.85083415112856e-05,0.0121687929342493,0.00879293424926398,0.000942100098135427,0.001099116781158,0.000117762512266928,0.00643768400392542,0.00372914622178606,25475,22252,25356,6.83938459340689,0.00333660451422964,0.00337585868498528,25475,1,1,1,1
2022-08-01,"Indonesia",98,3,303,4,83,3,0,619,356,54,3,49,396,51,39,72,4,5,40,27,2,0,1,0,3,2,6,0,1,13,7,0,0,3,2,1,0,2,2,9,1,0.00359567051917079,0.000110071546505228,0.0111172261970281,0.000146762062006971,0.00304531278664465,0.000110071546505228,0,0.0227114290955788,0.0130618235186204,0.00198128783709411,0.000110071546505228,0.0017978352595854,0.0145294441386901,0.00187121629058888,0.00143093010456797,0.00264171711612548,0.000146762062006971,0.000183452577508714,0.00146762062006971,0.000990643918547056,7.33810310034856e-05,0,3.66905155017428e-05,0,0.000110071546505228,7.33810310034856e-05,0.000220143093010457,0,3.66905155017428e-05,0.000476976701522656,0.0002568336085122,0,0,0.000110071546505228,7.33810310034856e-05,3.66905155017428e-05,0,7.33810310034856e-05,7.33810310034856e-05,0.000330214639515685,3.66905155017428e-05,502,113,145,0,355,148,39,32,7,97,111,0.0184186387818749,0.00414602825169694,0.00532012474775271,0,0.0130251330031187,0.00543019629425793,0.00143093010456797,0.00117409649605577,0.0002568336085122,0.00355898000366905,0.00407264722069345,27255,23897,27200,6.533581824911,0.000953953403045313,0.00216474041460283,27255,1,1,1,1
2022-09-01,"Indonesia",69,1,189,12,73,2,1,541,463,103,7,36,472,32,73,75,2,3,22,16,0,0,0,0,2,0,3,0,0,3,0,1,0,6,2,0,0,8,1,8,1,0.00276110444177671,4.0016006402561e-05,0.00756302521008403,0.000480192076830732,0.00292116846738695,8.0032012805122e-05,4.0016006402561e-05,0.0216486594637855,0.0185274109643858,0.00412164865946379,0.000280112044817927,0.0014405762304922,0.0188875550220088,0.00128051220488195,0.00292116846738695,0.00300120048019208,8.0032012805122e-05,0.000120048019207683,0.000880352140856343,0.000640256102440976,0,0,0,0,8.0032012805122e-05,0,0.000120048019207683,0,0,0.000120048019207683,0,4.0016006402561e-05,0,0.000240096038415366,8.0032012805122e-05,0,0,0.000320128051220488,4.0016006402561e-05,0.000320128051220488,4.0016006402561e-05,279,145,100,1,254,206,50,18,2,101,88,0.0111644657863145,0.00580232092837135,0.0040016006402561,4.0016006402561e-05,0.0101640656262505,0.00824329731892757,0.00200080032012805,0.000720288115246098,8.0032012805122e-05,0.00404161664665866,0.00352140856342537,24990,21986,24955,6.7799149018184,0.000640256102440976,0.00168067226890756,24990,1,1,1,1
2022-10-01,"Indonesia",71,2,179,3,80,5,0,913,309,50,5,43,258,60,50,73,1,7,56,38,0,0,2,0,2,3,7,0,0,9,0,0,0,1,9,1,0,3,0,3,0,0.00267510643909423,7.53551109604009e-05,0.00674428243095588,0.000113032666440601,0.00301420443841604,0.000188387777401002,0,0.034399608153423,0.0116423646433819,0.00188387777401002,0.000188387777401002,0.00162013488564862,0.00972080931389172,0.00226065332881203,0.00188387777401002,0.00275046155005463,3.76775554802004e-05,0.000263742888361403,0.00210994310689123,0.00143174710824762,0,0,7.53551109604009e-05,0,7.53551109604009e-05,0.000113032666440601,0.000263742888361403,0,0,0.000339097999321804,0,0,0,3.76775554802004e-05,0.000339097999321804,3.76775554802004e-05,0,0.000113032666440601,0,0.000113032666440601,0,334,132,91,0,364,102,26,27,8,118,71,0.0125843035303869,0.00497343732338646,0.00342865754869824,0,0.013714630194793,0.00384311065898045,0.000979616442485212,0.00101729399796541,0.000301420443841604,0.00444595154666365,0.00267510643909423,26541,23330,26501,6.30466592027497,0.00105497155344561,0.00109264910892581,26541,1,1,1,1
2022-11-01,"Indonesia",35,4,174,4,160,0,0,1224,274,59,1,39,315,65,39,21,0,5,31,26,3,1,2,1,6,51,56,0,1,14,5,0,0,3,27,4,1,6,5,15,0,0.00144431147608633,0.00016506416869558,0.00718029133825775,0.00016506416869558,0.00660256674782322,0,0,0.0505096356208476,0.0113068955556473,0.00243469648825981,4.12660421738951e-05,0.00160937564478191,0.012998803284777,0.00268229274130318,0.00160937564478191,0.000866586885651797,0,0.000206330210869476,0.00127924730739075,0.00107291709652127,0.000123798126521685,4.12660421738951e-05,8.25320843477902e-05,4.12660421738951e-05,0.000247596253043371,0.00210456815086865,0.00231089836173813,0,4.12660421738951e-05,0.000577724590434531,0.000206330210869476,0,0,0.000123798126521685,0.00111418313869517,0.00016506416869558,4.12660421738951e-05,0.000247596253043371,0.000206330210869476,0.000618990632608427,0,236,123,106,2,257,133,16,18,2,140,84,0.00973878595303924,0.0050757231873891,0.00437420047043288,8.25320843477902e-05,0.010605372838691,0.00548838360912805,0.000660256674782322,0.000742788759130112,8.25320843477902e-05,0.00577724590434531,0.00346634754260719,24233,20948,24032,5.66301913016109,0.00491065901869352,0.00986258407956093,24233,1,1,1,1
2022-12-01,"Indonesia",83,3,313,28,44,0,0,880,287,100,8,73,406,55,16,85,2,2,52,37,0,0,1,2,1,4,3,0,0,5,0,0,0,3,2,3,0,0,0,3,0,0.00347106055536969,0.000125460020073603,0.0130896620943459,0.00117096018735363,0.00184008029441285,0,0,0.0368016058882569,0.0120023419203747,0.00418200066912011,0.000334560053529609,0.00305286048845768,0.0169789227166276,0.00230010036801606,0.000669120107059217,0.00355470056875209,8.36400133824021e-05,8.36400133824021e-05,0.00217464034794246,0.00154734024757444,0,0,4.18200066912011e-05,8.36400133824021e-05,4.18200066912011e-05,0.000167280026764804,0.000125460020073603,0,0,0.000209100033456005,0,0,0,0.000125460020073603,8.36400133824021e-05,0.000125460020073603,0,0,0,0.000125460020073603,0,254,81,107,1,264,167,21,19,3,143,86,0.0106222816995651,0.00338742054198729,0.00447474071595851,4.18200066912011e-05,0.0110404817664771,0.00698394111743058,0.000878220140515222,0.00079458012713282,0.000125460020073603,0.00598026095684175,0.00359652057544329,23912,20632,23883,7.20057944962012,0.000418200066912011,0.00108732017397123,23912,1,1,1,1
2023-01-01,"Indonesia",148,3,299,44,76,1,0,800,380,57,4,55,416,58,45,127,5,3,33,21,0,1,1,0,1,4,2,0,0,11,3,0,0,8,6,3,0,1,0,8,0,0.00584195152759138,0.000118417936370096,0.0118023209915529,0.00173679640009473,0.00299992105470909,3.94726454566985e-05,0,0.0315781163653588,0.0149996052735454,0.00224994079103181,0.000157890581826794,0.00217099550011842,0.0164206205099866,0.00228941343648851,0.00177626904555143,0.00501302597300071,0.000197363227283493,0.000118417936370096,0.00130259730007105,0.000828925554590669,0,3.94726454566985e-05,3.94726454566985e-05,0,3.94726454566985e-05,0.000157890581826794,7.8945290913397e-05,0,0,0.000434199100023684,0.000118417936370096,0,0,0.000315781163653588,0.000236835872740191,0.000118417936370096,0,3.94726454566985e-05,0,0.000315781163653588,0,511,91,155,1,479,126,35,21,7,207,94,0.0201705218283729,0.00359201073655956,0.00611826004578827,3.94726454566985e-05,0.0189073971737586,0.00497355332754401,0.00138154259098445,0.000828925554590669,0.00027630851819689,0.00817083760953659,0.00371042867292966,25334,21467,25285,7.35564029341607,0.000315781163653588,0.00248677666377201,25334,1,1,1,1
