"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","diapazon.kz","kaztag.kz"
"2014-03-01","Kazakhstan",14,1,5,0,21,0,0,39,20,10,1,2,19,4,7,4,0,2,2,11,0,1,1,0,1,7,3,5,0,0,2,1,1,0,1,11,4,0,2,1,3,1,0.00957592339261286,0.000683994528043776,0.00341997264021888,0,0.0143638850889193,0,0,0.0266757865937072,0.0136798905608755,0.00683994528043776,0.000683994528043776,0.00136798905608755,0.0129958960328317,0.0027359781121751,0.00478796169630643,0.0027359781121751,0,0.00136798905608755,0.00136798905608755,0.00752393980848153,0,0.000683994528043776,0.000683994528043776,0,0.000683994528043776,0.00478796169630643,0.00205198358413133,0.00341997264021888,0,0,0.00136798905608755,0.000683994528043776,0.000683994528043776,0,0.000683994528043776,0.00752393980848153,0.0027359781121751,0,0.00136798905608755,0.000683994528043776,0.00205198358413133,0.000683994528043776,23,9,9,0,30,14,2,0,0,12,14,0.0157318741450068,0.00615595075239398,0.00615595075239398,0,0.0205198358413133,0.00957592339261286,0.00136798905608755,0,0,0.00820793433652531,0.00957592339261286,1462,1209,1417,17.3957923464816,0.039671682626539,0.00957592339261286,1462,0,1
"2014-04-01","Kazakhstan",13,3,4,0,15,0,1,78,21,21,0,6,16,1,16,8,0,1,8,8,1,0,0,0,1,5,8,2,1,1,4,4,1,1,7,6,1,0,0,1,7,1,0.00706137968495383,0.00162954915806627,0.00217273221075502,0,0.00814774579033134,0,0.000543183052688756,0.042368278109723,0.0114068441064639,0.0114068441064639,0,0.00325909831613254,0.0086909288430201,0.000543183052688756,0.0086909288430201,0.00434546442151005,0,0.000543183052688756,0.00434546442151005,0.00434546442151005,0.000543183052688756,0,0,0,0.000543183052688756,0.00271591526344378,0.00434546442151005,0.00108636610537751,0.000543183052688756,0.000543183052688756,0.00217273221075502,0.00217273221075502,0.000543183052688756,0.000543183052688756,0.00380228136882129,0.00325909831613254,0.000543183052688756,0,0,0.000543183052688756,0.00380228136882129,0.000543183052688756,29,12,10,0,47,18,1,1,3,15,18,0.0157523085279739,0.00651819663226507,0.00543183052688756,0,0.0255296034763715,0.00977729494839761,0.000543183052688756,0.000543183052688756,0.00162954915806627,0.00814774579033134,0.00977729494839761,1841,1489,1789,17.4534788417581,0.0380228136882129,0.00325909831613254,1841,0,1
"2014-05-01","Kazakhstan",17,3,11,0,25,1,1,60,25,7,4,2,23,6,9,5,2,5,5,4,1,0,0,0,2,0,1,3,2,0,11,1,2,0,11,7,0,0,3,3,7,0,0.00833333333333333,0.00147058823529412,0.0053921568627451,0,0.0122549019607843,0.000490196078431373,0.000490196078431373,0.0294117647058824,0.0122549019607843,0.00343137254901961,0.00196078431372549,0.000980392156862745,0.0112745098039216,0.00294117647058824,0.00441176470588235,0.00245098039215686,0.000980392156862745,0.00245098039215686,0.00245098039215686,0.00196078431372549,0.000490196078431373,0,0,0,0.000980392156862745,0,0.000490196078431373,0.00147058823529412,0.000980392156862745,0,0.0053921568627451,0.000490196078431373,0.000980392156862745,0,0.0053921568627451,0.00343137254901961,0,0,0.00147058823529412,0.00147058823529412,0.00343137254901961,0,23,15,9,0,29,14,0,1,0,10,23,0.0112745098039216,0.00735294117647059,0.00441176470588235,0,0.0142156862745098,0.00686274509803922,0,0.000490196078431373,0,0.00490196078431373,0.0112745098039216,2040,1721,1986,17.3753876909788,0.0259803921568627,0.0147058823529412,2040,0,1
"2014-06-01","Kazakhstan",9,2,5,0,23,1,0,32,14,27,2,2,8,4,8,1,1,1,4,7,1,0,1,0,1,2,3,0,1,0,2,2,0,1,8,5,1,1,4,1,6,0,0.0048780487804878,0.0010840108401084,0.002710027100271,0,0.0124661246612466,0.000542005420054201,0,0.0173441734417344,0.00758807588075881,0.0146341463414634,0.0010840108401084,0.0010840108401084,0.0043360433604336,0.0021680216802168,0.0043360433604336,0.000542005420054201,0.000542005420054201,0.000542005420054201,0.0021680216802168,0.0037940379403794,0.000542005420054201,0,0.000542005420054201,0,0.000542005420054201,0.0010840108401084,0.0016260162601626,0,0.000542005420054201,0,0.0010840108401084,0.0010840108401084,0,0.000542005420054201,0.0043360433604336,0.002710027100271,0.000542005420054201,0.000542005420054201,0.0021680216802168,0.000542005420054201,0.0032520325203252,0,22,22,4,0,19,21,1,1,0,11,20,0.0119241192411924,0.0119241192411924,0.0021680216802168,0,0.0102981029810298,0.0113821138211382,0.000542005420054201,0.000542005420054201,0,0.00596205962059621,0.010840108401084,1845,1582,1805,16.3845427644886,0.0227642276422764,0.010840108401084,1845,0,1
"2014-07-01","Kazakhstan",10,4,2,1,14,2,0,51,32,7,0,5,17,3,11,7,1,0,0,6,0,0,0,1,0,3,2,0,0,0,4,1,5,2,4,2,1,0,2,1,5,3,0.00552181115405853,0.00220872446162341,0.00110436223081171,0.000552181115405853,0.00773053561568194,0.00110436223081171,0,0.0281612368856985,0.0176697956929873,0.00386526780784097,0,0.00276090557702927,0.0093870789618995,0.00165654334621756,0.00607399226946438,0.00386526780784097,0.000552181115405853,0,0,0.00331308669243512,0,0,0,0.000552181115405853,0,0.00165654334621756,0.00110436223081171,0,0,0,0.00220872446162341,0.000552181115405853,0.00276090557702927,0.00110436223081171,0.00220872446162341,0.00110436223081171,0.000552181115405853,0,0.00110436223081171,0.000552181115405853,0.00276090557702927,0.00165654334621756,30,4,13,0,38,16,3,5,0,9,14,0.0165654334621756,0.00220872446162341,0.00717835450027609,0,0.0209828823854224,0.00883489784649365,0.00165654334621756,0.00276090557702927,0,0.00496963003865268,0.00773053561568194,1811,1530,1775,17.2058834210919,0.0220872446162341,0.0115958034235229,1811,0,1
"2014-08-01","Kazakhstan",7,0,13,0,36,1,0,51,21,3,1,2,11,4,21,8,0,1,3,11,1,0,1,0,1,3,6,3,1,2,7,0,1,0,12,7,0,1,0,1,29,1,0.00380228136882129,0,0.00706137968495383,0,0.0195545898967952,0.000543183052688756,0,0.0277023356871266,0.0114068441064639,0.00162954915806627,0.000543183052688756,0.00108636610537751,0.00597501357957632,0.00217273221075502,0.0114068441064639,0.00434546442151005,0,0.000543183052688756,0.00162954915806627,0.00597501357957632,0.000543183052688756,0,0.000543183052688756,0,0.000543183052688756,0.00162954915806627,0.00325909831613254,0.00162954915806627,0.000543183052688756,0.00108636610537751,0.00380228136882129,0,0.000543183052688756,0,0.00651819663226507,0.00380228136882129,0,0.000543183052688756,0,0.000543183052688756,0.0157523085279739,0.000543183052688756,32,12,6,0,27,9,3,3,1,7,22,0.0173818576860402,0.00651819663226507,0.00325909831613254,0,0.0146659424225964,0.0048886474741988,0.00162954915806627,0.00162954915806627,0.000543183052688756,0.00380228136882129,0.0119500271591526,1841,1538,1764,16.9772464340978,0.0412819120043455,0.0086909288430201,1841,0,1
"2014-09-01","Kazakhstan",14,2,8,0,28,1,0,50,16,14,0,8,17,6,7,1,0,3,5,5,0,1,1,0,2,6,5,2,1,1,14,2,1,0,7,10,2,0,1,1,7,1,0.00703517587939699,0.00100502512562814,0.00402010050251256,0,0.014070351758794,0.00050251256281407,0,0.0251256281407035,0.00804020100502513,0.00703517587939699,0,0.00402010050251256,0.0085427135678392,0.00301507537688442,0.00351758793969849,0.00050251256281407,0,0.00150753768844221,0.00251256281407035,0.00251256281407035,0,0.00050251256281407,0.00050251256281407,0,0.00100502512562814,0.00301507537688442,0.00251256281407035,0.00100502512562814,0.00050251256281407,0.00050251256281407,0.00703517587939699,0.00100502512562814,0.00050251256281407,0,0.00351758793969849,0.0050251256281407,0.00100502512562814,0,0.00050251256281407,0.00050251256281407,0.00351758793969849,0.00050251256281407,37,19,6,0,21,11,1,2,0,15,21,0.0185929648241206,0.00954773869346734,0.00301507537688442,0,0.0105527638190955,0.00552763819095477,0.00050251256281407,0.00100502512562814,0,0.00753768844221105,0.0105527638190955,1990,1685,1925,16.94914476653,0.0341708542713568,0.0110552763819095,1990,0,1
"2014-10-01","Kazakhstan",12,3,20,0,29,1,0,47,33,15,2,6,18,5,4,4,0,2,4,6,0,2,1,1,0,6,8,5,4,0,5,3,1,1,15,10,1,1,3,0,10,3,0.0041522491349481,0.00103806228373702,0.0069204152249135,0,0.0100346020761246,0.000346020761245675,0,0.0162629757785467,0.0114186851211073,0.00519031141868512,0.000692041522491349,0.00207612456747405,0.00622837370242215,0.00173010380622837,0.0013840830449827,0.0013840830449827,0,0.000692041522491349,0.0013840830449827,0.00207612456747405,0,0.000692041522491349,0.000346020761245675,0.000346020761245675,0,0.00207612456747405,0.0027681660899654,0.00173010380622837,0.0013840830449827,0,0.00173010380622837,0.00103806228373702,0.000346020761245675,0.000346020761245675,0.00519031141868512,0.00346020761245675,0.000346020761245675,0.000346020761245675,0.00103806228373702,0,0.00346020761245675,0.00103806228373702,40,28,20,0,47,24,1,2,0,23,33,0.013840830449827,0.00968858131487889,0.0069204152249135,0,0.0162629757785467,0.00830449826989619,0.000346020761245675,0.000692041522491349,0,0.00795847750865052,0.0114186851211073,2890,2488,2810,15.8372992792389,0.029757785467128,0.00934256055363322,2890,0,1
"2014-11-01","Kazakhstan",16,7,5,0,44,1,0,58,34,11,2,3,25,0,6,7,1,0,8,11,2,0,1,0,1,4,4,4,1,0,5,1,4,0,8,10,0,0,1,4,5,2,0.0056657223796034,0.00247875354107649,0.00177053824362606,0,0.0155807365439093,0.000354107648725212,0,0.0205382436260623,0.0120396600566572,0.00389518413597734,0.000708215297450425,0.00106232294617564,0.00885269121813031,0,0.00212464589235127,0.00247875354107649,0.000354107648725212,0,0.0028328611898017,0.00389518413597734,0.000708215297450425,0,0.000354107648725212,0,0.000354107648725212,0.00141643059490085,0.00141643059490085,0.00141643059490085,0.000354107648725212,0,0.00177053824362606,0.000354107648725212,0.00141643059490085,0,0.0028328611898017,0.00354107648725212,0,0,0.000354107648725212,0.00141643059490085,0.00177053824362606,0.000708215297450425,40,24,26,0,65,18,2,1,2,19,28,0.0141643059490085,0.0084985835694051,0.00920679886685552,0,0.0230169971671388,0.00637393767705382,0.000708215297450425,0.000354107648725212,0.000708215297450425,0.00672804532577904,0.00991501416430595,2824,2394,2767,16.2401537970256,0.0244334277620397,0.00708215297450425,2824,0,1
"2014-12-01","Kazakhstan",7,5,6,0,70,0,0,72,19,27,0,6,14,7,7,0,2,3,4,2,0,2,0,1,2,7,7,9,0,1,14,0,3,0,9,16,3,0,1,5,9,3,0.0025811209439528,0.00184365781710914,0.00221238938053097,0,0.025811209439528,0,0,0.0265486725663717,0.00700589970501475,0.00995575221238938,0,0.00221238938053097,0.0051622418879056,0.0025811209439528,0.0025811209439528,0,0.000737463126843658,0.00110619469026549,0.00147492625368732,0.000737463126843658,0,0.000737463126843658,0,0.000368731563421829,0.000737463126843658,0.0025811209439528,0.0025811209439528,0.00331858407079646,0,0.000368731563421829,0.0051622418879056,0,0.00110619469026549,0,0.00331858407079646,0.00589970501474926,0.00110619469026549,0,0.000368731563421829,0.00184365781710914,0.00331858407079646,0.00110619469026549,25,27,7,0,35,40,1,0,1,14,20,0.00921828908554572,0.00995575221238938,0.0025811209439528,0,0.012905604719764,0.0147492625368732,0.000368731563421829,0,0.000368731563421829,0.0051622418879056,0.00737463126843658,2712,2301,2620,15.7712478422773,0.0475663716814159,0.0158554572271386,2712,0,1
"2015-01-01","Kazakhstan",10,5,10,0,64,0,0,73,36,28,1,3,17,4,10,6,0,3,17,21,4,1,0,0,2,7,1,5,0,1,16,0,0,0,8,5,2,0,4,5,14,3,0.00375657400450789,0.00187828700225394,0.00375657400450789,0,0.0240420736288505,0,0,0.0274229902329076,0.0135236664162284,0.0105184072126221,0.000375657400450789,0.00112697220135237,0.00638617580766341,0.00150262960180316,0.00375657400450789,0.00225394440270473,0,0.00112697220135237,0.00638617580766341,0.00788880540946657,0.00150262960180316,0.000375657400450789,0,0,0.000751314800901578,0.00262960180315552,0.000375657400450789,0.00187828700225394,0,0.000375657400450789,0.00601051840721262,0,0,0,0.00300525920360631,0.00187828700225394,0.000751314800901578,0,0.00150262960180316,0.00187828700225394,0.00525920360631104,0.00112697220135237,48,14,14,0,61,44,1,1,6,12,26,0.0180315552216379,0.00525920360631104,0.00525920360631104,0,0.0229151014274981,0.0165289256198347,0.000375657400450789,0.000375657400450789,0.00225394440270473,0.00450788880540947,0.00976709241172051,2662,2154,2584,17.2118121177483,0.0293012772351615,0.0138993238166792,2662,0,1
