"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","diken.com.tr","sozcu.com.tr","posta.com.tr"
"2018-10-01","Turkey",379,18,372,3,348,38,8,969,633,81,30,118,62,34,130,86,34,80,313,233,6,2,1,1,4,10,19,15,0,3,10,9,5,0,18,11,9,2,0,2,11,1,0.0102236249359337,0.000485554746297645,0.0100347980901513,8.09257910496075e-05,0.00938739176175447,0.0010250600199617,0.00021580210946562,0.0261390305090232,0.0170753419114672,0.0021849963583394,0.000809257910496075,0.0031830811146179,0.00167246634835856,0.000917158965228885,0.00350678427881633,0.00231987267675542,0.000917158965228885,0.0021580210946562,0.00844325753284238,0.00628523643818618,0.000161851582099215,5.3950527366405e-05,2.69752636832025e-05,2.69752636832025e-05,0.00010790105473281,0.000269752636832025,0.000512530009980848,0.000404628955248038,0,8.09257910496075e-05,0.000269752636832025,0.000242777373148823,0.000134876318416013,0,0.000485554746297645,0.000296727900515228,0.000242777373148823,5.3950527366405e-05,0,5.3950527366405e-05,0.000296727900515228,2.69752636832025e-05,1315,131,90,4,429,95,36,64,27,485,670,0.0354724717434113,0.00353375954249953,0.00242777373148823,0.00010790105473281,0.0115723881200939,0.00256265004990424,0.00097110949259529,0.00172641687572496,0.000728332119446468,0.0130830028863532,0.0180734266677457,37071,29886,36932,8.63744576215877,0.00410024007984678,0.00202314477624019,37071,1,1,1
"2018-11-01","Turkey",422,19,546,8,306,49,7,1164,421,54,26,108,75,39,114,114,24,45,252,242,4,1,1,0,2,7,15,17,3,1,12,6,0,1,16,16,5,0,4,0,13,2,0.0120344493241316,0.000541835396110192,0.0155706382250613,0.000228141219414818,0.00872640164261678,0.00139736496891576,0.000199623566987966,0.033194547424856,0.0120059316717048,0.00153995323105002,0.000741458963098158,0.00307990646210004,0.00213882393201392,0.00111218844464724,0.00325101237666115,0.00325101237666115,0.000684423658244453,0.00128329435920835,0.00718644841156676,0.00690127188729824,0.000114070609707409,2.85176524268522e-05,2.85176524268522e-05,0,5.70353048537044e-05,0.000199623566987966,0.000427764786402783,0.000484800091256488,8.55529572805567e-05,2.85176524268522e-05,0.000342211829122227,0.000171105914561113,0,2.85176524268522e-05,0.000456282438829636,0.000456282438829636,0.000142588262134261,0,0.000114070609707409,0,0.000370729481549079,5.70353048537044e-05,1343,131,81,11,515,97,40,67,17,521,632,0.0382992072092625,0.00373581246791764,0.00230992984657503,0.000313694176695374,0.0146865909998289,0.00276621228540467,0.00114070609707409,0.0019106827125991,0.000484800091256488,0.01485769691439,0.0180231563337706,35066,27706,34940,7.95501523594957,0.00370729481549079,0.00173957679803799,35066,1,1,1
"2018-12-01","Turkey",369,23,505,11,300,43,15,1309,408,48,37,200,58,38,139,87,19,49,172,257,10,1,2,4,1,7,27,16,0,1,16,10,0,2,21,17,9,2,4,1,16,0,0.0107386066003143,0.000669344042838019,0.0146964670275304,0.000320121063966009,0.00873057447180024,0.00125138234095804,0.000436528723590012,0.0380944066119551,0.0118735812816483,0.00139689191548804,0.00107677085152203,0.00582038298120016,0.00168791106454805,0.00110587276642803,0.00404516617193411,0.00253186659682207,0.000552936383214015,0.00142599383039404,0.00500552936383214,0.00747919213084221,0.000291019149060008,2.91019149060008e-05,5.82038298120016e-05,0.000116407659624003,2.91019149060008e-05,0.000203713404342006,0.000785751702462022,0.000465630638496013,0,2.91019149060008e-05,0.000465630638496013,0.000291019149060008,0,5.82038298120016e-05,0.000611140213026017,0.000494732553402014,0.000261917234154007,5.82038298120016e-05,0.000116407659624003,2.91019149060008e-05,0.000465630638496013,0,1298,130,70,5,510,117,21,59,20,596,616,0.0377742855479891,0.00378324893778011,0.00203713404342006,0.000145509574530004,0.0148419766020604,0.0034049240440021,0.000611140213026017,0.00171701297945405,0.000582038298120016,0.0173447412839765,0.0179267795820965,34362,26956,34195,8.29542535880362,0.00468540829986613,0.00218264361795006,34362,1,1,1
"2019-01-01","Turkey",274,23,641,50,302,53,15,1302,321,43,20,93,40,24,102,144,10,61,107,174,4,0,12,1,4,8,20,12,3,0,7,4,0,0,5,7,11,1,1,2,6,0,0.00895015352453126,0.000751290259358463,0.0209381328803815,0.00163323969425753,0.00986476775331548,0.00173123407591298,0.000489971908277259,0.0425295616384661,0.0104853988371333,0.00140458613706148,0.000653295877703012,0.003037825831319,0.00130659175540602,0.000783955053243614,0.00333180897628536,0.00470373031946168,0.000326647938851506,0.00199255242699419,0.00349513294571111,0.0056836741360162,0.000130659175540602,0,0.000391977526621807,3.26647938851506e-05,0.000130659175540602,0.000261318351081205,0.000653295877703012,0.000391977526621807,9.79943816554518e-05,0,0.000228653557196054,0.000130659175540602,0,0,0.000163323969425753,0.000228653557196054,0.000359312732736656,3.26647938851506e-05,3.26647938851506e-05,6.53295877703012e-05,0.000195988763310904,0,1004,109,78,2,418,94,37,56,26,501,545,0.0327954530606912,0.00356046253348141,0.00254785392304175,6.53295877703012e-05,0.0136538838439929,0.00307049062520415,0.00120859737375057,0.00182922845756843,0.000849284641013915,0.0163650617364604,0.0178023126674071,30614,24054,30506,7.48909638031131,0.00365845691513687,0.00176389886979813,30614,1,1,1
"2019-02-01","Turkey",180,23,464,15,173,36,7,634,213,35,11,72,43,15,66,108,9,26,62,113,15,0,1,0,0,8,11,14,0,0,8,0,0,1,2,6,5,0,0,0,2,0,0.00921187308085977,0.00117707267144319,0.0237461617195496,0.000767656090071648,0.00885363357215967,0.00184237461617195,0.000358239508700102,0.032446264073695,0.0109007164790174,0.00179119754350051,0.000562947799385875,0.00368474923234391,0.00220061412487206,0.000767656090071648,0.00337768679631525,0.00552712384851587,0.000460593654042989,0.00133060388945752,0.00317297850562948,0.00578300921187308,0.000767656090071648,0,5.11770726714432e-05,0,0,0.000409416581371546,0.000562947799385875,0.000716479017400205,0,0,0.000409416581371546,0,0,5.11770726714432e-05,0.000102354145342886,0.000307062436028659,0.000255885363357216,0,0,0,0.000102354145342886,0,591,64,37,4,240,42,17,29,13,282,297,0.0302456499488229,0.00327533265097236,0.0018935516888434,0.000204708290685773,0.0122824974411464,0.00214943705220061,0.000870010235414534,0.00148413510747185,0.000665301944728762,0.014431934493347,0.0151995905834186,19540,15690,19467,7.6983326355893,0.00496417604912999,0.00138178096212897,19540,1,1,1
"2019-03-01","Turkey",285,33,1391,31,199,32,10,936,291,52,23,98,53,33,124,75,18,42,122,246,30,0,0,0,1,5,5,4,0,1,5,4,0,0,6,12,10,0,2,0,12,1,0.00921256788207913,0.001066718386346,0.0449637962244634,0.00100206878717352,0.00643263511766227,0.00103439358675976,0.000323247995862426,0.030256012412723,0.00940651667959659,0.00168088957848461,0.000743470390483579,0.00316783035945177,0.00171321437807086,0.001066718386346,0.00400827514869408,0.00242435996896819,0.000581846392552366,0.00135764158262219,0.00394362554952159,0.00795190069821567,0.000969743987587277,0,0,0,3.23247995862426e-05,0.000161623997931213,0.000161623997931213,0.00012929919834497,0,3.23247995862426e-05,0.000161623997931213,0.00012929919834497,0,0,0.000193948797517455,0.000387897595034911,0.000323247995862426,0,6.46495991724851e-05,0,0.000387897595034911,3.23247995862426e-05,1033,169,63,2,354,63,24,54,25,467,443,0.0333915179725886,0.00546289113007499,0.00203646237393328,6.46495991724851e-05,0.0114429790535299,0.00203646237393328,0.000775795190069822,0.0017455391776571,0.000808119989656064,0.0150956814067753,0.0143198862167055,30936,24230,30838,7.42828467035965,0.00336177915696923,0.000840444789242307,30936,1,1,1
"2019-04-01","Turkey",245,14,1375,269,195,34,10,702,266,54,22,42,60,24,96,63,12,41,131,196,41,0,0,1,1,2,18,3,1,3,11,3,0,1,12,12,2,0,1,0,13,0,0.00850812612862898,0.000486178635921656,0.0477496874565912,0.00934157521878039,0.00677177385748021,0.00118071954438116,0.000347270454229754,0.0243783858869287,0.00923739408251146,0.00187526045284067,0.000763994999305459,0.00145853590776497,0.00208362272537852,0.00083344909015141,0.00333379636060564,0.00218780386164745,0.000416724545075705,0.00142380886234199,0.00454924295040978,0.00680650090290318,0.00142380886234199,0,0,3.47270454229754e-05,3.47270454229754e-05,6.94540908459508e-05,0.000625086817613557,0.000104181136268926,3.47270454229754e-05,0.000104181136268926,0.00038199749965273,0.000104181136268926,0,3.47270454229754e-05,0.000416724545075705,0.000416724545075705,6.94540908459508e-05,0,3.47270454229754e-05,0,0.00045145159049868,0,985,104,48,3,325,56,15,31,17,450,461,0.0342061397416308,0.00361161272398944,0.00166689818030282,0.000104181136268926,0.011286289762467,0.00194471454368662,0.000520905681344631,0.00107653840811224,0.000590359772190582,0.0156271704403389,0.0160091679399917,28796,22537,28671,6.80698371928638,0.00545214613140714,0.00107653840811224,28796,1,1,1
"2019-05-01","Turkey",272,21,532,177,191,59,8,713,291,91,15,78,57,31,107,72,10,31,221,234,27,0,0,1,2,1,10,3,1,1,2,0,0,0,8,7,15,0,0,1,8,0,0.00995789859051803,0.000768808347062054,0.019476478125572,0.00647995606809445,0.00699249496613582,0.00215998535603148,0.000292879370309354,0.0261028738788212,0.0106534870950027,0.0033315028372689,0.000549148819330038,0.0028555738605162,0.00208676551345415,0.00113490755994875,0.00391726157788761,0.00263591433278418,0.000366099212886692,0.00113490755994875,0.0080907926047959,0.0085667215815486,0.000988467874794069,0,0,3.66099212886692e-05,7.32198425773385e-05,3.66099212886692e-05,0.000366099212886692,0.000109829763866008,3.66099212886692e-05,3.66099212886692e-05,7.32198425773385e-05,0,0,0,0.000292879370309354,0.000256269449020685,0.000549148819330038,0,0,3.66099212886692e-05,0.000292879370309354,0,930,113,52,4,389,92,22,49,19,376,529,0.0340472267984624,0.00413692110561962,0.0019037159070108,0.000146439685154677,0.0142412593812923,0.00336811275855757,0.000805418268350723,0.00179388614314479,0.000695588504484715,0.0137653304045396,0.019366648361706,27315,21615,27228,7.85394109316031,0.00442980047592898,0.00120812740252608,27315,1,1,1
"2019-06-01","Turkey",175,12,728,40,139,41,6,931,236,76,23,79,44,21,64,46,4,62,245,180,63,0,0,4,0,2,23,3,0,0,5,3,0,0,9,11,4,0,2,2,9,1,0.00672844015533085,0.000461378753508401,0.0279903110461763,0.00153792917836134,0.00534430389480564,0.00157637740782037,0.0002306893767542,0.0357953016263601,0.00907378215233189,0.00292206543888654,0.000884309277557768,0.00303741012726364,0.00169172209619747,0.000807412818639702,0.00246068668537814,0.00176861855511554,0.000153792917836134,0.00238379022646007,0.00941981621746319,0.00692068130262601,0.0024222384559191,0,0,0.000153792917836134,0,7.68964589180668e-05,0.000884309277557768,0.0001153446883771,0,0,0.000192241147295167,0.0001153446883771,0,0,0.000346034065131301,0.000422930524049368,0.000153792917836134,0,7.68964589180668e-05,7.68964589180668e-05,0.000346034065131301,3.84482294590334e-05,718,71,36,1,273,87,22,43,9,406,463,0.027605828751586,0.00272982429159137,0.0013841362605252,3.84482294590334e-05,0.0104963666423161,0.00334499596293591,0.000845861048098735,0.00165327386673844,0.000346034065131301,0.0156099811603676,0.0178015302395325,26009,20786,25868,7.18236523641198,0.00695912953208505,0.000845861048098735,26009,1,1,1
"2019-07-01","Turkey",219,19,117,8,185,45,4,1115,232,82,21,74,50,31,85,119,7,74,264,196,127,1,0,0,0,2,17,3,0,0,6,6,1,0,2,11,2,1,0,2,11,0,0.00774535809018568,0.000671971706454465,0.00413793103448276,0.000282935455349248,0.00654288240495137,0.00159151193633952,0.000141467727674624,0.0394341290893015,0.00820512820512821,0.0029000884173298,0.000742705570291777,0.00261715296198055,0.0017683465959328,0.00109637488947834,0.00300618921308577,0.00420866489832007,0.000247568523430592,0.00261715296198055,0.0093368700265252,0.00693191865605659,0.00449160035366932,3.53669319186561e-05,0,0,0,7.07338638373121e-05,0.000601237842617153,0.000106100795755968,0,0,0.000212201591511936,0.000212201591511936,3.53669319186561e-05,0,7.07338638373121e-05,0.000389036251105217,7.07338638373121e-05,3.53669319186561e-05,0,7.07338638373121e-05,0.000389036251105217,0,1027,89,67,2,378,84,24,70,14,491,530,0.0363218390804598,0.00314765694076039,0.00236958443854996,7.07338638373121e-05,0.013368700265252,0.00297082228116711,0.000848806366047745,0.00247568523430592,0.000495137046861185,0.0173651635720601,0.0187444739168877,28275,22631,28083,7.47248967035786,0.00841732979664014,0.000954907161803714,28275,1,1,1
