"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","investment","professional_cultural_exchange","security_cooperation","security_force_facility_presence","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","investmentNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles"
"2021-02-01","Morocco",6,0,30,3,12,0,0,101,23,16,8,1,21,5,9,5,1,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0.00206043956043956,0,0.0103021978021978,0.00103021978021978,0.00412087912087912,0,0,0.0346840659340659,0.00789835164835165,0.00549450549450549,0.00274725274725275,0.000343406593406593,0.00721153846153846,0.00171703296703297,0.00309065934065934,0.00171703296703297,0.000343406593406593,0.000686813186813187,0.00137362637362637,0.00137362637362637,0,0,0,0,0,0,0,0,0,0,0,66,44,16,0,55,26,5,1,1,11,10,0.0226648351648352,0.0151098901098901,0.00549450549450549,0,0.0188873626373626,0.00892857142857143,0.00171703296703297,0.000343406593406593,0.000343406593406593,0.00377747252747253,0.00343406593406593,2912,2454,2912,2.26768085958647,0.000686813186813187,0.000343406593406593,2912
"2021-03-01","Morocco",12,2,32,0,11,3,0,76,23,34,9,1,18,3,18,2,0,4,1,10,0,0,0,0,0,0,0,0,0,0,0,0.00368890255149093,0.000614817091915155,0.00983707347064248,0,0.00338149400553335,0.000922225637872733,0,0.0233630494927759,0.00707039655702429,0.0104518905625576,0.0027666769136182,0.000307408545957578,0.0055333538272364,0.000922225637872733,0.0055333538272364,0.000614817091915155,0,0.00122963418383031,0.000307408545957578,0.00307408545957578,0,0,0,0,0,0,0,0,0,0,0,69,43,14,0,46,40,3,4,3,12,14,0.0212111896710729,0.0132185674761758,0.00430371964340609,0,0.0141407931140486,0.0122963418383031,0.000922225637872733,0.00122963418383031,0.000922225637872733,0.00368890255149093,0.00430371964340609,3253,2770,3253,3.14695562729198,0.000614817091915155,0,3253
"2021-04-01","Morocco",9,1,18,1,11,0,0,89,14,19,13,0,15,7,12,5,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0.00302826379542396,0.000336473755047106,0.00605652759084791,0.000336473755047106,0.00370121130551817,0,0,0.0299461641991925,0.00471063257065949,0.00639300134589502,0.00437415881561238,0,0.00504710632570659,0.00235531628532974,0.00403768506056528,0.00168236877523553,0,0,0.000672947510094213,0.00134589502018843,0,0,0,0,0,0.000336473755047106,0,0,0,0,0,67,43,14,0,31,42,4,1,0,8,15,0.0225437415881561,0.0144683714670256,0.00471063257065949,0,0.0104306864064603,0.0141318977119785,0.00134589502018843,0.000336473755047106,0,0.00269179004037685,0.00504710632570659,2972,2550,2971,1.587987129506,0,0.000336473755047106,2972
"2021-05-01","Morocco",7,0,36,0,21,5,0,76,34,9,12,20,17,6,20,13,0,5,4,12,1,0,0,0,0,1,0,0,0,0,0,0.00197461212976023,0,0.0101551480959097,0,0.00592383638928068,0.00141043723554302,0,0.0214386459802539,0.00959097320169252,0.00253878702397743,0.00338504936530324,0.00564174894217207,0.00479548660084626,0.00169252468265162,0.00564174894217207,0.00366713681241185,0,0.00141043723554302,0.00112834978843441,0.00338504936530324,0.000282087447108604,0,0,0,0,0.000282087447108604,0,0,0,0,0,76,49,14,0,36,39,4,3,2,18,15,0.0214386459802539,0.0138222849083216,0.00394922425952045,0,0.0101551480959097,0.0110014104372355,0.00112834978843441,0.000846262341325811,0.000564174894217207,0.00507757404795487,0.00423131170662906,3545,3018,3543,3.6814393737801,0.000282087447108604,0.00112834978843441,3545
"2021-06-01","Morocco",15,2,49,3,24,2,2,69,37,23,2,4,14,5,15,4,0,0,1,8,0,1,0,0,1,0,0,0,0,0,0,0.00429430289149728,0.000572573718866304,0.0140280561122244,0.000858860578299456,0.00687088462639565,0.000572573718866304,0.000572573718866304,0.0197537933008875,0.0105926137990266,0.0065845977669625,0.000572573718866304,0.00114514743773261,0.00400801603206413,0.00143143429716576,0.00429430289149728,0.00114514743773261,0,0,0.000286286859433152,0.00229029487546522,0,0.000286286859433152,0,0,0.000286286859433152,0,0,0,0,0,0,68,51,14,1,38,39,2,1,0,13,12,0.0194675064414543,0.0146006298310908,0.00400801603206413,0.000286286859433152,0.0108789006584598,0.0111651875178929,0.000572573718866304,0.000286286859433152,0,0.00372172917263098,0.00343544231319782,3493,2998,3491,2.78920999064485,0.000572573718866304,0.000858860578299456,3493
"2021-07-01","Morocco",13,2,39,6,18,2,10,131,70,22,16,2,23,6,9,13,1,1,2,9,0,0,1,0,0,0,0,0,0,0,0,0.00373993095512083,0.000575373993095512,0.0112197928653625,0.00172612197928654,0.00517836593785961,0.000575373993095512,0.00287686996547756,0.037686996547756,0.0201380897583429,0.00632911392405063,0.0046029919447641,0.000575373993095512,0.00661680092059839,0.00172612197928654,0.0025891829689298,0.00373993095512083,0.000287686996547756,0.000287686996547756,0.000575373993095512,0.0025891829689298,0,0,0.000287686996547756,0,0,0,0,0,0,0,0,62,32,16,3,52,41,2,1,2,5,20,0.0178365937859609,0.00920598388952819,0.0046029919447641,0.000863060989643268,0.0149597238204833,0.011795166858458,0.000575373993095512,0.000287686996547756,0.000575373993095512,0.00143843498273878,0.00575373993095512,3476,2887,3474,2.18006371939011,0.000575373993095512,0.00143843498273878,3476
"2021-08-01","Morocco",5,0,101,5,31,0,0,129,18,6,14,5,14,6,6,4,2,0,0,9,0,0,0,0,1,0,0,1,0,0,0,0.00147405660377359,0,0.0297759433962264,0.00147405660377359,0.00913915094339623,0,0,0.0380306603773585,0.00530660377358491,0.0017688679245283,0.00412735849056604,0.00147405660377359,0.00412735849056604,0.0017688679245283,0.0017688679245283,0.00117924528301887,0.000589622641509434,0,0,0.00265330188679245,0,0,0,0,0.000294811320754717,0,0,0.000294811320754717,0,0,0,68,17,13,0,42,31,2,1,1,17,16,0.0200471698113208,0.00501179245283019,0.00383254716981132,0,0.0123820754716981,0.00913915094339623,0.000589622641509434,0.000294811320754717,0.000294811320754717,0.00501179245283019,0.00471698113207547,3392,2848,3390,1.08532158831184,0.000589622641509434,0.000294811320754717,3392
"2021-09-01","Morocco",18,0,329,11,41,7,0,100,31,12,4,2,19,4,8,10,1,5,10,10,0,0,0,0,1,0,0,0,0,0,0,0.00474433315761729,0,0.0867158671586716,0.00289931470743279,0.0108065366367949,0.0018450184501845,0,0.0263574064312072,0.00817079599367422,0.00316288877174486,0.00105429625724829,0.000527148128624143,0.00500790722192936,0.00105429625724829,0.00210859251449657,0.00263574064312072,0.000263574064312072,0.00131787032156036,0.00263574064312072,0.00263574064312072,0,0,0,0,0.000263574064312072,0,0,0,0,0,0,79,27,18,1,49,29,2,1,1,14,7,0.0208223510806537,0.00711649973642594,0.00474433315761729,0.000263574064312072,0.0129151291512915,0.00764364786505008,0.000527148128624143,0.000263574064312072,0.000263574064312072,0.003690036900369,0.0018450184501845,3794,2972,3792,3.47516909339924,0.000527148128624143,0.000527148128624143,3794
"2021-10-01","Morocco",15,1,82,2,19,2,0,87,17,7,6,8,20,1,9,3,0,2,7,11,0,1,0,0,0,0,0,0,0,0,0,0.00424328147100424,0.000282885431400283,0.0231966053748232,0.000565770862800566,0.00537482319660538,0.000565770862800566,0,0.0246110325318246,0.00480905233380481,0.00198019801980198,0.0016973125884017,0.00226308345120226,0.00565770862800566,0.000282885431400283,0.00254596888260255,0.000848656294200849,0,0.000565770862800566,0.00198019801980198,0.00311173974540311,0,0.000282885431400283,0,0,0,0,0,0,0,0,0,70,32,17,2,32,34,3,2,3,8,10,0.0198019801980198,0.00905233380480905,0.00480905233380481,0.000565770862800566,0.00905233380480905,0.00961810466760962,0.000848656294200849,0.000565770862800566,0.000848656294200849,0.00226308345120226,0.00282885431400283,3535,3050,3534,2.57086774451439,0.000565770862800566,0.000282885431400283,3535
"2021-11-01","Morocco",5,0,39,1,31,2,1,83,22,18,4,4,16,3,25,3,0,1,7,11,0,0,0,0,0,0,0,0,0,0,0,0.00140805406927626,0,0.0109828217403548,0.000281610813855252,0.00872993522951281,0.000563221627710504,0.000281610813855252,0.0233736975499859,0.00619543790481555,0.00506899464939454,0.00112644325542101,0.00112644325542101,0.00450577302168403,0.000844832441565756,0.0070402703463813,0.000844832441565756,0,0.000281610813855252,0.00197127569698676,0.00309771895240777,0,0,0,0,0,0,0,0,0,0,0,67,34,12,2,41,44,1,0,0,15,13,0.0188679245283019,0.00957476767107857,0.00337932976626302,0.000563221627710504,0.0115460433680653,0.0123908758096311,0.000281610813855252,0,0,0.00422416220782878,0.00366094058011828,3551,3070,3551,2.52819989569007,0,0,3551
"2021-12-01","Morocco",11,0,33,0,20,1,0,104,26,12,16,7,28,2,27,1,0,1,3,10,0,1,0,0,0,0,0,0,0,0,0,0.00292397660818713,0,0.0087719298245614,0,0.00531632110579479,0.00026581605528974,0,0.0276448697501329,0.00691121743753323,0.00318979266347687,0.00425305688463583,0.00186071238702818,0.00744284954811271,0.000531632110579479,0.00717703349282297,0.00026581605528974,0,0.00026581605528974,0.000797448165869219,0.0026581605528974,0,0.00026581605528974,0,0,0,0,0,0,0,0,0,63,35,28,0,43,43,3,1,5,9,11,0.0167464114832536,0.00930356193514088,0.00744284954811271,0,0.0114300903774588,0.0114300903774588,0.000797448165869219,0.00026581605528974,0.0013290802764487,0.00239234449760766,0.00292397660818713,3762,3255,3761,1.9266370510513,0.00026581605528974,0.000531632110579479,3762
"2022-01-01","Morocco",7,0,20,1,11,0,1,87,20,2,2,2,12,1,21,2,0,2,3,7,0,0,0,0,4,2,0,0,0,1,1,0.00225660863958736,0,0.00644745325596389,0.000322372662798195,0.00354609929078014,0,0.000322372662798195,0.0280464216634429,0.00644745325596389,0.000644745325596389,0.000644745325596389,0.000644745325596389,0.00386847195357834,0.000322372662798195,0.00676982591876209,0.000644745325596389,0,0.000644745325596389,0.000967117988394584,0.00225660863958736,0,0,0,0,0.00128949065119278,0.000644745325596389,0,0,0,0.000322372662798195,0.000322372662798195,69,31,18,1,52,26,3,6,2,17,14,0.0222437137330754,0.00999355254674404,0.00580270793036751,0.000322372662798195,0.0167633784655061,0.00838168923275306,0.000967117988394584,0.00193423597678917,0.000644745325596389,0.00548033526756931,0.00451321727917473,3102,2682,3094,1.74613008605316,0.00193423597678917,0.00225660863958736,3102
"2022-02-01","Morocco",9,0,16,0,23,1,0,98,20,4,5,3,13,1,24,4,0,2,0,3,0,0,1,0,0,0,0,1,0,0,0,0.00301406563965171,0,0.00535833891493637,0,0.00770261219022103,0.000334896182183523,0,0.0328198258539853,0.00669792364367046,0.00133958472873409,0.00167448091091762,0.00100468854655057,0.0043536503683858,0.000334896182183523,0.00803750837240455,0.00133958472873409,0,0.000669792364367046,0,0.00100468854655057,0,0,0.000334896182183523,0,0,0,0,0.000334896182183523,0,0,0,56,38,15,1,25,26,3,3,0,18,19,0.0187541862022773,0.0127260549229739,0.00502344273275285,0.000334896182183523,0.00837240455458808,0.0087073007367716,0.00100468854655057,0.00100468854655057,0,0.00602813127930342,0.00636302746148694,2986,2579,2984,1.766019414031,0.00234427327528466,0.000669792364367046,2986
"2022-03-01","Morocco",16,0,29,1,35,2,1,80,24,10,2,5,18,4,31,4,0,4,1,3,0,0,1,0,0,1,0,0,0,0,0,0.00496740142812791,0,0.00900341508848184,0.000310462589257994,0.0108661906240298,0.000620925178515989,0.000310462589257994,0.0248370071406396,0.00745110214219187,0.00310462589257994,0.000620925178515989,0.00155231294628997,0.0055883266066439,0.00124185035703198,0.00962434026699783,0.00124185035703198,0,0.00124185035703198,0.000310462589257994,0.000931387767773983,0,0,0.000310462589257994,0,0,0.000310462589257994,0,0,0,0,0,62,35,18,1,32,30,0,2,0,10,19,0.0192486805339957,0.0108661906240298,0.0055883266066439,0.000310462589257994,0.00993480285625582,0.00931387767773983,0,0.000620925178515989,0,0.00310462589257994,0.00589878919590189,3221,2774,3219,2.94243580141139,0.00155231294628997,0.00124185035703198,3221
"2022-04-01","Morocco",5,0,28,0,18,2,0,78,16,10,2,5,14,2,22,6,1,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0.00170706725844998,0,0.0095595766473199,0,0.00614544213041994,0.000682826903379993,0,0.0266302492318197,0.00546261522703995,0.00341413451689997,0.000682826903379993,0.00170706725844998,0.00477978832365995,0.000682826903379993,0.00751109593717992,0.00204848071013998,0.000341413451689997,0.000341413451689997,0.000682826903379993,0.00546261522703995,0,0,0,0,0,0,0,0,0,0,0,85,19,20,3,34,31,2,0,9,6,12,0.0290201433936497,0.00648685558210994,0.00682826903379993,0.00102424035506999,0.0116080573574599,0.0105838170023899,0.000682826903379993,0,0.00307272106520997,0.00204848071013998,0.00409696142027996,2929,2505,2929,3.23441952470971,0.000341413451689997,0,2929
"2022-05-01","Morocco",10,0,20,1,27,2,0,91,19,13,2,5,23,5,8,5,0,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0.00352112676056338,0,0.00704225352112676,0.000352112676056338,0.00950704225352113,0.000704225352112676,0,0.0320422535211268,0.00669014084507042,0.00457746478873239,0.000704225352112676,0.00176056338028169,0.00809859154929577,0.00176056338028169,0.0028169014084507,0.00176056338028169,0,0.000352112676056338,0.000704225352112676,0.00140845070422535,0,0,0,0,0.000352112676056338,0,0,0,0,0,0,54,32,11,1,29,21,1,4,1,7,13,0.0190140845070423,0.0112676056338028,0.00387323943661972,0.000352112676056338,0.0102112676056338,0.0073943661971831,0.000352112676056338,0.00140845070422535,0.000352112676056338,0.00246478873239437,0.00457746478873239,2840,2454,2839,2.69130373713116,0.00105633802816901,0.000704225352112676,2840
"2022-06-01","Morocco",6,3,27,0,15,2,0,81,19,8,2,3,21,7,19,3,0,4,14,10,0,1,2,0,0,0,2,0,0,0,0,0.00187090739008419,0.000935453695042095,0.00841908325537886,0,0.00467726847521048,0.00062363579669473,0,0.0252572497661366,0.00592454006859994,0.00249454318677892,0.00062363579669473,0.000935453695042095,0.00654817586529467,0.00218272528843156,0.00592454006859994,0.000935453695042095,0,0.00124727159338946,0.00436545057686311,0.00311817898347365,0,0.000311817898347365,0.00062363579669473,0,0,0,0.00062363579669473,0,0,0,0,66,33,15,1,30,29,1,1,2,11,10,0.0205799812909261,0.010289990645463,0.00467726847521048,0.000311817898347365,0.00935453695042095,0.00904271905207359,0.000311817898347365,0.000311817898347365,0.00062363579669473,0.00342999688182102,0.00311817898347365,3207,2787,3200,3.73868459556084,0.00530090427190521,0.00187090739008419,3207
"2022-07-01","Morocco",4,1,21,4,21,0,0,176,23,7,4,4,16,3,15,4,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0.00139616055846422,0.000349040139616056,0.00732984293193717,0.00139616055846422,0.00732984293193717,0,0,0.0614310645724258,0.00802792321116928,0.00244328097731239,0.00139616055846422,0.00139616055846422,0.00558464223385689,0.00104712041884817,0.00523560209424084,0.00139616055846422,0,0,0.00104712041884817,0.00244328097731239,0,0,0,0,0,0,0,0,0,0,0,36,28,13,0,24,30,1,1,3,12,5,0.012565445026178,0.00977312390924956,0.00453752181500873,0,0.00837696335078534,0.0104712041884817,0.000349040139616056,0.000349040139616056,0.00104712041884817,0.00418848167539267,0.00174520069808028,2865,2418,2865,2.16301964171372,0.00139616055846422,0.00104712041884817,2865
"2022-08-01","Morocco",3,2,11,3,8,4,0,106,24,8,0,3,17,2,8,11,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0.00114986584898429,0.00076657723265619,0.00421617477960905,0.00114986584898429,0.00306630893062476,0.00153315446531238,0,0.0406285933307781,0.00919892679187428,0.00306630893062476,0,0.00114986584898429,0.00651590647757762,0.00076657723265619,0.00306630893062476,0.00421617477960905,0,0,0.00076657723265619,0.00153315446531238,0.00076657723265619,0,0,0,0,0,0,0,0,0,0,64,10,11,0,27,16,3,0,3,13,13,0.0245304714449981,0.00383288616328095,0.00421617477960905,0,0.0103487926408586,0.00613261786124952,0.00114986584898429,0,0.00114986584898429,0.00498275201226524,0.00498275201226524,2609,2249,2607,2.81945886975582,0.00114986584898429,0.00114986584898429,2609
