"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","investment","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","investmentNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","lanacion.com.py"
"2019-11-01","Paraguay",29.1409574468085,3.69015957446809,91.3523936170213,28.4507978723404,16.6901595744681,1,4.69015957446809,100.281914893617,254.916223404255,47.4507978723404,1,11.6901595744681,159.634308510638,13.0704787234043,129.563829787234,43.1409574468085,15.0704787234043,9.69015957446808,11.3803191489362,41.5212765957447,0,0,0,0,0,0,0,0,0,0,0,0,0.00520746201694219,0.000659428086931395,0.0163245878515049,0.00508413114230529,0.00298251600687421,0.000178699070764832,0.000838127157696227,0.0179202850060073,0.0455532922452207,0.0084794134868371,0.000178699070764832,0.00208902065305005,0.0285265025930376,0.00233568240232385,0.0231529359877116,0.00770924900764984,0.00269308054385351,0.00173162251152039,0.00203365245692212,0.00741981354462914,0,0,0,0,0,0,0,0,0,0,0,0,115.113031914894,27.0704787234043,30.7606382978723,0,113.972074468085,65.5212765957447,5.69015957446809,15.0704787234043,4,84.3523936170213,82.9720744680851,0.0205705918361139,0.0048374693930315,0.00549689747996289,0,0.020366703800587,0.0117085912429851,0.00101682622846106,0.00269308054385351,0.000714796283059328,0.015073694356151,0.0148270326068773,5596,4198.9960106383,8.69015957446809,7.23900782676333,0,0,5596,1
"2019-12-01","Paraguay",34.7979924717691,1,55.3989962358846,11.5997490589711,23.7992471769134,4.59974905897114,0,96.7954830614806,232.190715181932,63.3977415307403,5.59974905897114,20.9987452948557,97.7967377666248,13.1994981179423,43.3977415307403,43.7979924717691,4.59974905897114,2,28.5984943538269,27.5984943538269,0,0,0,0,0,0,0,0,0,0,0,3,0.00600586684013965,0.000172592336900242,0.00956144222227901,0.00200202779754421,0.00410756768672997,0.000793881439242517,0,0.0167061586229687,0.0400743381397881,0.010941964364988,0.000966473776142758,0.0036242225224121,0.0168789675123619,0.002278132226086,0.00749011762698313,0.00755919787224182,0.000793881439242517,0.000345184673800483,0.00493588097235534,0.0047632886354551,0,0,0,0,0,0,0,0,0,0,0,0.000517777010700725,113.395232120452,22.3989962358846,31.9987452948557,0,193.992471769134,52.7979924717691,2,9.19949811794228,0,68.5972396486826,62.3977415307403,0.0195711481050141,0.00386589510457103,0.00552273822831476,0,0.033481614043689,0.009112528904344,0.000345184673800483,0.00158776287848503,0,0.011839357895872,0.0107693720280877,5794,4534.65119196989,17.5997490589711,5.84429309662248,0.000517777010700725,0,5794,1
"2020-01-01","Paraguay",42.8875154511743,0,25.7218788627936,3,32.4437577255871,8.72187886279357,0,256.325092707046,197.1891223733,55.9703337453646,27.1656365883807,16.4437577255871,91.4140914709518,5,24.8046971569839,46.8875154511743,5.36093943139679,8.36093943139679,19.7218788627936,39.2484548825711,3.36093943139679,0,1,0,0,0,0,0,0,0,0,0,0.00780482537782972,0,0.00468096066656844,0.000545950864422202,0.0059042325251296,0.00158723910150929,0,0.0466469686455042,0.0358851906047862,0.0101856840300937,0.00494370092600195,0.00299249458154452,0.0166358674196455,0.000909918107370337,0.00451404861819544,0.00853275986372599,0.000975603172228714,0.00152155403665092,0.00358905893772404,0.00714257595679182,0.00061163592928058,0,0.000181983621474067,0,0,0,0,0,0,0,0,0,111.857849196539,22.3609394313968,22.8046971569839,0,155.745364647713,47.4437577255871,6.36093943139679,25.1656365883807,6.36093943139679,60.6093943139679,102.301606922126,0.0203562964870862,0.00406932473728786,0.0041500813752473,0,0.02834310548639,0.00863398684724061,0.00115758679370278,0.00457973368305381,0.00115758679370278,0.0110299170726056,0.018617216910305,5495,4102.01359703337,19.4437577255871,6.24263843847422,0.00061163592928058,0.000181983621474067,5495,1
"2020-02-01","Paraguay",27.0906862745098,0,64.9632352941177,0,35.0906862745098,6.43627450980392,11.6544117647059,149.671568627451,232.161764705882,85.4901960784314,0,4.21813725490196,68.6176470588235,15.6544117647059,62.8357843137255,25.8725490196078,13.8725490196078,7.43627450980392,29.5269607843137,19.6544117647059,0,0,7.21813725490196,0,0,0,0,0,0,0,0,3.21813725490196,0.00511337981776327,0,0.012261841316368,0,0.00662338359277271,0.00121484985085012,0.00219977572002754,0.0282505792048794,0.0438206426398419,0.0161363148505911,0,0.000796175397301238,0.0129516132613861,0.00295477760753225,0.0118602839399255,0.00488345583609057,0.00261845017357641,0.0014036003227263,0.00557322778110867,0.00370977949503697,0,0,0.00136242681292978,0,0,0,0,0,0,0,0,0.000607424925425059,115.580882352941,34.6544117647059,25.0906862745098,0,162.107843137255,73.6176470588235,8.43627450980392,12.6544117647059,6.43627450980392,53.1813725490196,117.017156862745,0.0218159460839829,0.00654103657317967,0.00473587887401091,0,0.0305979318869866,0.013895365620767,0.00159235079460248,0.00238852619190371,0.00121484985085012,0.0100380091636504,0.0220870435754521,5298,3910.24754901961,8,6.94077171433179,0,0.00196985173835484,5298,1
"2020-03-01","Paraguay",49.0700280112045,1,30,57.8375350140056,41.3025210084034,8.76750700280112,2,486.862745098039,267.350140056022,74.8375350140056,111.90756302521,32.3025210084034,33.7675070028011,12,42.3025210084034,12,0,12.7675070028011,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0.00769967488015134,0.000156911972383493,0.00470735917150479,0.00907540169684695,0.00648086003583922,0.00137572681669561,0.000313823944766986,0.0763945936133751,0.0419504377931935,0.0117429052273663,0.0175596364389158,0.00506865228438779,0.00529852612628293,0.00188294366860191,0.00663777200822271,0.00188294366860191,0,0.00200337470622958,0.000156911972383493,0.00125529577906794,0,0,0,0,0,0,0,0,0,0.000156911972383493,0,0,136.140056022409,76.6050420168067,7,0,187.442577030812,124.372549019608,4,2,19.5350140056022,41.3025210084034,49.5350140056022,0.0213620047108754,0.0120202482373775,0.00109838380668445,0,0.0294119844705496,0.0195155419770293,0.000627647889533971,0.000313823944766986,0.00306527757815821,0.00648086003583922,0.00777263674966299,6373,4478.75910364146,7,6.54647665539717,0,0.000156911972383493,6373,1
"2020-04-01","Paraguay",25.2946175637394,0,16.1473087818697,17.1473087818697,29.2946175637394,1,1,303.356940509915,336.682719546742,102.883852691218,97.7365439093484,2,65.4419263456091,4,15.1473087818697,37.2946175637394,1,24.2946175637394,12.1473087818697,12.1473087818697,0,9.14730878186969,0,0,0,0,0,0,0,0,0,0,0.00388430859394032,0,0.00247962358443945,0.0026331862380021,0.00449855920819094,0.000153562653562654,0.000153562653562654,0.0465842967613506,0.0517018918222884,0.0157991174280126,0.0150086830327624,0.000307125307125307,0.0100494358638835,0.000614250614250614,0.00232606093087679,0.00572706043669217,0.000153562653562654,0.00373074594037767,0.00186537297018883,0.00186537297018883,0,0.00140468500950087,0,0,0,0,0,0,0,0,0,0,116.178470254958,49.4419263456091,10,0,124.031161473088,119.178470254958,0,11.1473087818697,29.4419263456091,17.1473087818697,60.5892351274788,0.0178406741792011,0.007592433406881,0.00153562653562654,0,0.0190465542802653,0.018301362139889,0,0.00171181031662618,0.00452118033562793,0.0026331862380021,0.00930424372350718,6512,4922.12181303116,19.1473087818697,8.28612645686815,0,0.00140468500950087,6512,1
"2020-05-01","Paraguay",31.7788778877888,1,45.7788778877888,4,35.7788778877888,12.3894389438944,14.3894389438944,303.620462046205,313.841584158416,38.3894389438944,69.5577557755776,12.3894389438944,117.557755775578,28.7788778877888,56.1683168316832,49.7788778877888,1,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0.00457645130872534,0.000144009216589862,0.00659258034098341,0.000576036866359447,0.00515248817508479,0.00178419339629815,0.00207221182947788,0.0437241448799258,0.0451960806679746,0.00552843302763456,0.0100169579169899,0.00178419339629815,0.0169294003133032,0.00414442365895576,0.00808875530410184,0.00716861720734285,0.000144009216589862,0.000144009216589862,0.000576036866359447,0.00115207373271889,0,0,0,0,0,0,0,0,0,0,0,0,109.336633663366,36.7788778877888,30.3894389438944,0,219.673267326733,111.336633663366,3,23.7788778877888,2,26.3894389438944,53.1683168316832,0.0157454829584341,0.00529649739167465,0.00437635929491567,0,0.031634975133458,0.0160335013916138,0.000432027649769585,0.00342437757600645,0.000288018433179724,0.00380032242855622,0.00765672765433225,6944,5311.28712871287,23.3894389438944,7.16154025167382,0,0,6944,1
"2020-06-01","Paraguay",7,1,39.060773480663,0,16.5303867403315,2,0,343.198895027624,250.895027624309,85.121546961326,56.121546961326,21.060773480663,144.243093922652,18.5303867403315,83.7127071823204,59.6519337016575,12.5303867403315,23.060773480663,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0.0010096639261503,0.000144237703735757,0.00563403627299336,0,0.00238430502528941,0.000288475407471513,0,0.0495022205434335,0.0361885226632496,0.012277736472137,0.00809484306380008,0.00303775760574975,0.0208052926471444,0.00267278043276093,0.0120745286574817,0.00860405794052466,0.00180735421034639,0.00332623301322126,0.000721188518678783,0.000721188518678783,0.000144237703735757,0,0,0,0,0,0,0,0,0,0,0,136.303867403315,35.060773480663,29.5303867403315,3,185.773480662983,107.182320441989,4,15.5303867403315,2,32.060773480663,78.6519337016575,0.0196601568445572,0.00505708545805034,0.00425939517385425,0.00043271311120727,0.0267955402658277,0.0154597317816225,0.000576950814943026,0.00224006732155366,0.000288475407471513,0.00462437234684307,0.011344574311504,6933,5252.37016574586,4,7.14054373415211,0,0.000288475407471513,6933,1
"2020-07-01","Paraguay",18.3041474654378,10.3041474654378,24.3041474654378,10.3041474654378,29.3041474654378,9.30414746543779,1,205.041474654378,365.516129032258,87.2165898617511,31.6082949308756,3,155.345622119816,20.3041474654378,103.041474654378,33.6082949308756,5,20.6082949308756,13.3041474654378,58.8248847926267,0,0,0,0,0,0,0,0,0,0,0,1,0.00252436180739729,0.00142106571030724,0.00335183388021484,0.00142106571030724,0.00404139394089612,0.00128315369817098,0.000137912012136257,0.0282776823409706,0.0504090648230945,0.0120282153994968,0.00435916355411331,0.000413736036408771,0.0214240273231024,0.00280018583166981,0.0142106571030724,0.00463498757838582,0.000689560060681285,0.00284213142061448,0.00183480174671601,0.00811265822543466,0,0,0,0,0,0,0,0,0,0,0,0.000137912012136257,156.258064516129,42.6082949308756,40.6082949308756,3,258.170506912442,92.9124423963134,1,22.6082949308756,12.3041474654378,50.2165898617512,82.8248847926267,0.0215498640899364,0.00587619568761213,0.00560037166333962,0.000413736036408771,0.0356048140825324,0.0128137418833697,0.000137912012136257,0.00311795544488699,0.00169688973457975,0.00692547095045527,0.0114225465167048,7251,5434.98156682028,21.3041474654378,7.25252811758853,0,0.000137912012136257,7251,1
"2020-08-01","Paraguay",12.0877192982456,1,49.2631578947368,4,19.0877192982456,7.08771929824561,8.08771929824561,352.280701754386,251.578947368421,62.4385964912281,49.4385964912281,11.0877192982456,154.052631578947,14.0877192982456,95.9649122807018,48.3508771929825,16.1754385964912,17.1754385964912,13.0877192982456,24.1754385964912,0,0,0,0,0,0,0,0,0,0,0,0,0.00164727709161156,0.000136276914690651,0.00671343116581314,0.000545107658762606,0.00260121549444612,0.000965892518158301,0.00110216943284895,0.0480077271401453,0.0342844027484902,0.00850893928743909,0.00673733939646062,0.00151100017692091,0.0209938173315546,0.00191983092099286,0.013077802164173,0.00658910836644623,0.0022043388656979,0.00234061578038856,0.00178355400630221,0.00329455418322312,0,0,0,0,0,0,0,0,0,0,0,0,115.789473684211,34.1754385964912,38.2631578947368,1,182.964912280702,156.228070175439,14.0877192982456,9.08771929824561,3,39.1754385964912,21,0.0157794322273386,0.00465732333012963,0.00521438510421598,0.000136276914690651,0.0249338937422597,0.0212902793915833,0.00191983092099286,0.0012384463475396,0.000408830744071954,0.00533870790358289,0.00286181520850368,7338,5653.68421052632,33.2631578947368,6.73344736056155,0,0,7338,1
"2020-09-01","Paraguay",22.0841487279843,2,28.0841487279843,2,39.1682974559687,7.54207436399217,2,296.925636007828,219.215264187867,32.5420743639922,40.1682974559687,16.5420743639922,71.7103718199609,7,50.1682974559687,58.252446183953,6.54207436399217,15.0841487279843,46.7103718199609,37.6262230919765,0,0,0,0,0,0,0,0,0,1,0,1,0.00326930403078969,0.000296076980014804,0.0041575349708341,0.000296076980014804,0.00579841561154237,0.00111651730036894,0.000296076980014804,0.0439564227990863,0.0324522966969455,0.00481747955055399,0.00594645410154977,0.00244886371043555,0.0106158951620964,0.00103626943005181,0.00742683900162379,0.00862360417230985,0.000968478810361535,0.00223303460073787,0.0069149329119113,0.00557012925121784,0,0,0,0,0,0,0,0,0,0.000148038490007402,0,0.000148038490007402,68.252446183953,48.1682974559687,45.1682974559687,0,209.215264187867,70.1682974559687,5,31.1682974559687,4,42.0841487279843,52.7103718199609,0.0101039890723839,0.00713076202160898,0.00668664655158678,0,0.0309719117968715,0.0103876088017718,0.00074019245003701,0.00461410769148315,0.000592153960029608,0.00623007383093773,0.00780316385195572,6755,5274.49315068493,3,5.28102860975699,0,0.000296076980014804,6755,1
"2020-10-01","Paraguay",10,3,79.8937198067633,4,31.1787439613527,17.3574879227053,1,334.111111111111,214.966183574879,89.0724637681159,8,11.1787439613527,128.787439613527,23.1787439613527,74.2512077294686,65.7149758454106,0,6,7,8,0,0,0,0,0,0,0,0,0,0,0,1,0.00146520146520147,0.00043956043956044,0.0117060395321265,0.000586080586080586,0.00456831413353152,0.00254322167365646,0.000146520146520147,0.0489540089540089,0.031496876714268,0.0130509104422148,0.00117216117216117,0.00163791120312859,0.0188699545221284,0.00339615296137035,0.0108792978358196,0.00962856788943746,0,0.000879120879120879,0.00102564102564103,0.00117216117216117,0,0,0,0,0,0,0,0,0,0,0,0.000146520146520147,158.323671497585,63.8937198067633,12,0,192.144927536232,111.251207729469,16.1787439613527,8.17874396135266,13.1787439613527,46.536231884058,46.536231884058,0.0231976075454336,0.00936171718780414,0.00175824175824176,0,0.0281531029357116,0.016300543257065,0.00237051193572933,0.00119835076356815,0.00193095149616889,0.00681849551414769,0.00681849551414769,6825,5142.33816425121,15.1787439613527,5.57301869500884,0,0.000146520146520147,6825,1
"2020-11-01","Paraguay",22.0045248868778,2,67.0045248868778,18.0045248868778,30.0045248868778,8.50226244343891,14.5022624434389,260.542986425339,207.036199095023,71.0090497737557,27.0045248868778,27.5067873303167,67.0090497737557,25.0045248868778,130.027149321267,16.5022624434389,1,9.50226244343891,20.5022624434389,49.5113122171946,0,0,0,0,0,0,0,0,0,0,0,0,0.00330100883391507,0.0003000300030003,0.0100516839014218,0.00270094882791447,0.00450112884591627,0.00127546691320716,0.00217555692220806,0.0390853564994508,0.0310585357178252,0.0106524227083342,0.00405108384141582,0.00412643074262177,0.0100523627023336,0.00375105383841552,0.0195060230004901,0.00247558692520836,0.00015001500150015,0.00142548191470731,0.00307564693120896,0.00742743957653684,0,0,0,0,0,0,0,0,0,0,0,0,130.027149321267,44.5067873303167,21.5022624434389,1,198.533936651584,89.0090497737557,10.5022624434389,3,11.5022624434389,20,76.0135746606335,0.0195060230004901,0.00667668576812432,0.00322566193270911,0.00015001500150015,0.029783068804618,0.0133526927353369,0.00157549691620746,0.00045004500450045,0.00172551191770761,0.003000300030003,0.0114031765167467,6666,5048.72850678733,8,5.22091966771579,0,0,6666,1
"2020-12-01","Paraguay",50.7462039045553,0,78.8308026030369,6,50.8308026030369,2,23.3731019522777,293.984815618221,293.90021691974,105.119305856833,14.4577006507592,8.45770065075922,98.2885032537961,11.4577006507592,48.8308026030369,25.4577006507592,1,2,15.4577006507592,12,0,0,0,0,0,0,0,0,0,0,0,0,0.00734600519753262,0,0.0114115232488473,0.000868558193398958,0.00735825167965212,0.000289519397799653,0.00338348320096666,0.0425571533900147,0.0425449069078951,0.0152170390643939,0.00209289239298773,0.00122433419958877,0.0142282141363341,0.00165861329628825,0.00706873228185247,0.00368524908088582,0.000144759698899826,0.000289519397799653,0.00223765209188755,0.00173711638679792,0,0,0,0,0,0,0,0,0,0,0,0,103.119305856833,29.4577006507592,21.9154013015184,3,219.611713665944,129.661605206074,6,11.4577006507592,11.4577006507592,40.9154013015184,55.2885032537961,0.0149275196665942,0.00426428787648512,0.00317246689367667,0.000434279096699479,0.0317909255451569,0.0187697749284994,0.000868558193398958,0.00165861329628825,0.00165861329628825,0.00592290117277337,0.00800354708364159,6908,5249.04121475054,34.3731019522777,7.31423830793813,0,0,6908,1
