"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","twala.info","X24hdz.com","elkhabar.com","el.massa.com","elwatan.dz.com","echaab.dz"
"2013-10-01","Algeria",8,2,33,3,22,6,0,8,11,27,0,1,10,9,33,5,0,3,10,13,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.00481927710843374,0.00120481927710843,0.0198795180722892,0.00180722891566265,0.0132530120481928,0.0036144578313253,0,0.00481927710843374,0.00662650602409639,0.0162650602409639,0,0.000602409638554217,0.00602409638554217,0.00542168674698795,0.0198795180722892,0.00301204819277108,0,0.00180722891566265,0.00602409638554217,0.00783132530120482,0,0,0,0,0,0,0.000602409638554217,0.000602409638554217,0,0,0.000602409638554217,0,0,0,0,0,0,0,0.000602409638554217,0,0,0,9,8,10,2,21,17,5,1,1,8,8,0.00542168674698795,0.00481927710843374,0.00602409638554217,0.00120481927710843,0.0126506024096386,0.0102409638554217,0.00301204819277108,0.000602409638554217,0.000602409638554217,0.00481927710843374,0.00481927710843374,1660,1384,2,12.9810411492751,0.00180722891566265,0.000602409638554217,1660,0,0,0,0,0,0
"2013-11-01","Algeria",15,1,57,2,9,3,0,18,25,14,0,5,10,3,14,4,4,5,18,15,1,0,0,0,2,0,3,0,0,0,2,0,0,0,1,1,0,0,2,0,2,0,0.00866050808314088,0.000577367205542725,0.0329099307159353,0.00115473441108545,0.00519630484988453,0.00173210161662818,0,0.0103926096997691,0.0144341801385681,0.00808314087759815,0,0.00288683602771363,0.00577367205542725,0.00173210161662818,0.00808314087759815,0.0023094688221709,0.0023094688221709,0.00288683602771363,0.0103926096997691,0.00866050808314088,0.000577367205542725,0,0,0,0.00115473441108545,0,0.00173210161662818,0,0,0,0.00115473441108545,0,0,0,0.000577367205542725,0.000577367205542725,0,0,0.00115473441108545,0,0.00115473441108545,0,17,12,6,0,19,11,0,1,4,7,8,0.00981524249422633,0.0069284064665127,0.00346420323325635,0,0.0109699769053118,0.00635103926096998,0,0.000577367205542725,0.0023094688221709,0.00404157043879908,0.0046189376443418,1732,1438,11,10.5248228405447,0.00404157043879908,0.00404157043879908,1732,0,0,0,0,0,0
"2013-12-01","Algeria",13,0,45,3,10,1,1,6,33,25,0,1,24,7,24,11,1,5,9,13,2,0,0,0,2,0,3,1,0,0,0,0,0,1,7,1,0,0,0,0,1,1,0.00678496868475992,0,0.0234864300626305,0.00156576200417537,0.00521920668058455,0.000521920668058455,0.000521920668058455,0.00313152400835073,0.017223382045929,0.0130480167014614,0,0.000521920668058455,0.0125260960334029,0.00365344467640919,0.0125260960334029,0.00574112734864301,0.000521920668058455,0.00260960334029228,0.0046972860125261,0.00678496868475992,0.00104384133611691,0,0,0,0.00104384133611691,0,0.00156576200417537,0.000521920668058455,0,0,0,0,0,0.000521920668058455,0.00365344467640919,0.000521920668058455,0,0,0,0,0.000521920668058455,0.000521920668058455,11,18,10,0,27,11,5,0,2,3,6,0.00574112734864301,0.00939457202505219,0.00521920668058455,0,0.0140918580375783,0.00574112734864301,0.00260960334029228,0,0.00104384133611691,0.00156576200417537,0.00313152400835073,1916,1613,4,13.0954907400184,0.00782881002087683,0.00208768267223382,1916,0,0,0,0,0,0
"2014-01-01","Algeria",7,0,100,11,18,6,0,10,28,9,1,8,15,1,31,9,0,7,12,11,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0.00350877192982456,0,0.050125313283208,0.00551378446115288,0.00902255639097744,0.00300751879699248,0,0.0050125313283208,0.0140350877192982,0.00451127819548872,0.00050125313283208,0.00401002506265664,0.0075187969924812,0.00050125313283208,0.0155388471177945,0.00451127819548872,0,0.00350877192982456,0.00601503759398496,0.00551378446115288,0,0.00050125313283208,0,0,0,0,0.00100250626566416,0,0,0,0,0,0,0,0.00100250626566416,0,0.00050125313283208,0,0,0,0,0.00050125313283208,7,11,13,0,26,18,4,0,7,4,5,0.00350877192982456,0.00551378446115288,0.00651629072681704,0,0.0130325814536341,0.00902255639097744,0.00200501253132832,0,0.00350877192982456,0.00200501253132832,0.0025062656641604,1995,1636,0,11.6453622794613,0.0025062656641604,0.00100250626566416,1995,0,0,0,0,0,0
"2014-02-01","Algeria",6,1,85,12,14,5,2,40,28,3,0,8,10,2,48,6,3,5,6,9,1,0,1,0,1,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0.00326975476839237,0.000544959128065395,0.0463215258855586,0.00653950953678474,0.00762942779291553,0.00272479564032698,0.00108991825613079,0.0217983651226158,0.0152588555858311,0.00163487738419619,0,0.00435967302452316,0.00544959128065395,0.00108991825613079,0.026158038147139,0.00326975476839237,0.00163487738419619,0.00272479564032698,0.00326975476839237,0.00490463215258856,0.000544959128065395,0,0.000544959128065395,0,0.000544959128065395,0,0.000544959128065395,0,0,0,0,0,0,0.000544959128065395,0.00108991825613079,0.00108991825613079,0,0,0,0,0,0.000544959128065395,16,8,1,1,16,12,3,0,4,5,6,0.00871934604904632,0.00435967302452316,0.000544959128065395,0.000544959128065395,0.00871934604904632,0.00653950953678474,0.00163487738419619,0,0.00217983651226158,0.00272479564032698,0.00326975476839237,1835,1482,1,11.5874662097042,0.00381471389645777,0.00163487738419619,1835,0,0,0,0,0,0
"2014-03-01","Algeria",12,5,114,15,17,2,2,14,25,11,1,5,13,7,71,17,2,5,12,11,3,1,0,0,0,0,4,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1,0.00490396403759706,0.00204331834899877,0.046587658357172,0.00612995504699632,0.00694728238659583,0.00081732733959951,0.00081732733959951,0.00572129137719657,0.0102165917449939,0.0044953003677973,0.000408663669799755,0.00204331834899877,0.00531262770739681,0.00286064568859828,0.0290151205557826,0.00694728238659583,0.00081732733959951,0.00204331834899877,0.00490396403759706,0.0044953003677973,0.00122599100939926,0.000408663669799755,0,0,0,0,0.00163465467919902,0,0,0,0.000408663669799755,0,0,0,0.000408663669799755,0.000408663669799755,0,0,0,0,0.00081732733959951,0.000408663669799755,12,8,5,1,20,10,2,0,5,1,8,0.00490396403759706,0.00326930935839804,0.00204331834899877,0.000408663669799755,0.0081732733959951,0.00408663669799755,0.00081732733959951,0,0.00204331834899877,0.000408663669799755,0.00326930935839804,2447,2024,2,12.7427823365877,0.00408663669799755,0.00163465467919902,2447,0,0,0,0,0,0
"2014-04-01","Algeria",3,4,190,24,19,0,0,6,25,12,3,5,16,3,40,6,3,8,23,27,3,0,1,0,0,0,2,0,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0.00137741046831956,0.00183654729109275,0.0872359963269054,0.0110192837465565,0.00872359963269054,0,0,0.00275482093663912,0.0114784205693297,0.00550964187327824,0.00137741046831956,0.00229568411386593,0.00734618916437098,0.00137741046831956,0.0183654729109275,0.00275482093663912,0.00137741046831956,0.00367309458218549,0.0105601469237833,0.012396694214876,0.00137741046831956,0,0.000459136822773186,0,0,0,0.000918273645546373,0,0,0,0.000459136822773186,0.000459136822773186,0,0.000918273645546373,0.00137741046831956,0.000459136822773186,0,0,0,0,0,0,9,11,9,1,13,4,6,0,3,2,6,0.00413223140495868,0.00505050505050505,0.00413223140495868,0.000459136822773186,0.00596877869605142,0.00183654729109275,0.00275482093663912,0,0.00137741046831956,0.000918273645546373,0.00275482093663912,2178,1716,4,10.3760954348448,0.00596877869605142,0.000459136822773186,2178,0,0,0,0,0,0
"2014-05-01","Algeria",3,1,19,4,24,5,0,7,13,43,3,14,5,3,10,10,1,5,22,9,0,0,0,0,1,0,4,4,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0.00165471594043023,0.000551571980143409,0.0104798676227248,0.00220628792057364,0.0132377275234418,0.00275785990071704,0,0.00386100386100386,0.00717043574186431,0.0237175951461666,0.00165471594043023,0.00772200772200772,0.00275785990071704,0.00165471594043023,0.00551571980143409,0.00551571980143409,0.000551571980143409,0.00275785990071704,0.012134583563155,0.00496414782129068,0,0,0,0,0.000551571980143409,0,0.00220628792057364,0.00220628792057364,0,0,0.000551571980143409,0,0,0.00110314396028682,0,0.000551571980143409,0,0,0,0,0,0,9,11,7,0,14,14,2,0,1,3,6,0.00496414782129068,0.0060672917815775,0.00386100386100386,0,0.00772200772200772,0.00772200772200772,0.00110314396028682,0,0.000551571980143409,0.00165471594043023,0.00330943188086045,1813,1553,7,10.3663229523642,0.00551571980143409,0.00165471594043023,1813,0,0,0,0,0,0
"2014-06-01","Algeria",10,2,24,0,21,0,0,13,15,29,0,9,7,2,20,4,0,6,8,14,1,0,0,0,1,0,2,2,0,0,1,2,1,1,8,2,0,0,1,0,0,1,0.00589275191514437,0.00117855038302887,0.0141426045963465,0,0.0123747790218032,0,0,0.00766057748968768,0.00883912787271656,0.0170889805539187,0,0.00530347672362994,0.00412492634060106,0.00117855038302887,0.0117855038302887,0.00235710076605775,0,0.00353565114908662,0.0047142015321155,0.00824985268120212,0.000589275191514437,0,0,0,0.000589275191514437,0,0.00117855038302887,0.00117855038302887,0,0,0.000589275191514437,0.00117855038302887,0.000589275191514437,0.000589275191514437,0.0047142015321155,0.00117855038302887,0,0,0.000589275191514437,0,0,0.000589275191514437,10,7,4,1,16,7,0,0,2,4,5,0.00589275191514437,0.00412492634060106,0.00235710076605775,0.000589275191514437,0.009428403064231,0.00412492634060106,0,0,0.00117855038302887,0.00235710076605775,0.00294637595757219,1697,1466,19,11.0621285802915,0.0135533294048321,0,1697,0,0,0,0,0,0
"2014-07-01","Algeria",2,0,9,1,18,3,0,46,10,12,1,11,2,2,22,1,3,3,33,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0.00129198966408269,0,0.00581395348837209,0.000645994832041344,0.0116279069767442,0.00193798449612403,0,0.0297157622739018,0.00645994832041344,0.00775193798449612,0.000645994832041344,0.00710594315245478,0.00129198966408269,0.00129198966408269,0.0142118863049096,0.000645994832041344,0.00193798449612403,0.00193798449612403,0.0213178294573643,0.0103359173126615,0,0,0,0,0,0,0,0,0,0,0.000645994832041344,0,0,0,0.000645994832041344,0,0,0.00129198966408269,0,0,0,0,11,5,2,0,6,9,3,0,3,0,6,0.00710594315245478,0.00322997416020672,0.00129198966408269,0,0.00387596899224806,0.00581395348837209,0.00193798449612403,0,0.00193798449612403,0,0.00387596899224806,1548,1310,9,8.25940061602583,0.00193798449612403,0.000645994832041344,1548,0,0,0,0,0,0
"2014-08-01","Algeria",5,2,6,0,14,0,0,47,7,9,2,6,5,2,18,4,0,4,15,12,1,0,1,0,0,0,1,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0.00350877192982456,0.00140350877192982,0.00421052631578947,0,0.00982456140350877,0,0,0.0329824561403509,0.00491228070175439,0.00631578947368421,0.00140350877192982,0.00421052631578947,0.00350877192982456,0.00140350877192982,0.0126315789473684,0.00280701754385965,0,0.00280701754385965,0.0105263157894737,0.00842105263157895,0.000701754385964912,0,0.000701754385964912,0,0,0,0.000701754385964912,0.000701754385964912,0,0,0.00140350877192982,0,0,0,0.00210526315789474,0,0,0,0,0,0,0,6,8,2,0,9,11,1,0,5,8,1,0.00421052631578947,0.0056140350877193,0.00140350877192982,0,0.00631578947368421,0.00771929824561404,0.000701754385964912,0,0.00350877192982456,0.0056140350877193,0.000701754385964912,1425,1222,2,10.702373097692,0.00140350877192982,0.00491228070175439,1425,0,0,0,0,0,0
"2014-09-01","Algeria",7,0,12,0,29,2,0,22,24,13,1,17,4,0,20,3,2,9,35,36,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,0,1,0,0,1,4,0,0.00376749192680301,0,0.00645855758880517,0,0.0156081808396125,0.00107642626480086,0,0.0118406889128095,0.0129171151776103,0.0069967707212056,0.000538213132400431,0.00914962325080732,0.00215285252960172,0,0.0107642626480086,0.00161463939720129,0.00107642626480086,0.00484391819160388,0.0188374596340151,0.0193756727664155,0,0,0,0,0,0,0,0,0.000538213132400431,0,0.00161463939720129,0,0,0,0.00161463939720129,0,0.000538213132400431,0,0,0.000538213132400431,0.00215285252960172,0,8,10,6,1,16,17,6,1,6,9,14,0.00430570505920344,0.00538213132400431,0.00322927879440258,0.000538213132400431,0.00861141011840689,0.00914962325080732,0.00322927879440258,0.000538213132400431,0.00322927879440258,0.00484391819160388,0.00753498385360603,1858,1532,4,7.42792402666514,0.00269106566200215,0.00430570505920344,1858,0,0,0,0,0,0
"2014-10-01","Algeria",10,0,15,0,17,4,0,18,27,9,4,21,7,0,43,1,2,4,25,27,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.00615384615384615,0,0.00923076923076923,0,0.0104615384615385,0.00246153846153846,0,0.0110769230769231,0.0166153846153846,0.00553846153846154,0.00246153846153846,0.0129230769230769,0.00430769230769231,0,0.0264615384615385,0.000615384615384615,0.00123076923076923,0.00246153846153846,0.0153846153846154,0.0166153846153846,0,0,0,0,0,0.000615384615384615,0,0,0,0,0.000615384615384615,0,0,0,0.000615384615384615,0.000615384615384615,0,0,0,0,0,0,14,8,2,1,23,16,0,1,12,7,14,0.00861538461538462,0.00492307692307692,0.00123076923076923,0.000615384615384615,0.0141538461538462,0.00984615384615385,0,0.000615384615384615,0.00738461538461538,0.00430769230769231,0.00861538461538462,1625,1299,5,8.35050413042666,0,0.00246153846153846,1625,0,0,0,0,0,0
