"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","azatutyun.am","X168.am","golosarmenii.am"
"2019-11-01","Armenia",9,2,33,3,35,3,0,62,60,21,0,5,39,4,10,12,0,3,7,13,4,3,3,1,2,5,16,6,1,2,8,0,1,3,11,2,2,1,1,0,5,4,0.0016257225433526,0.000361271676300578,0.00596098265895954,0.000541907514450867,0.00632225433526012,0.000541907514450867,0,0.0111994219653179,0.0108381502890173,0.00379335260115607,0,0.000903179190751445,0.00704479768786127,0.000722543352601156,0.00180635838150289,0.00216763005780347,0,0.000541907514450867,0.00126445086705202,0.00234826589595376,0.000722543352601156,0.000541907514450867,0.000541907514450867,0.000180635838150289,0.000361271676300578,0.000903179190751445,0.00289017341040462,0.00108381502890173,0.000180635838150289,0.000361271676300578,0.00144508670520231,0,0.000180635838150289,0.000541907514450867,0.00198699421965318,0.000361271676300578,0.000361271676300578,0.000180635838150289,0.000180635838150289,0,0.000903179190751445,0.000722543352601156,43,37,13,0,72,37,4,2,8,19,34,0.00776734104046243,0.00668352601156069,0.00234826589595376,0,0.0130057803468208,0.00668352601156069,0.000722543352601156,0.000361271676300578,0.00144508670520231,0.00343208092485549,0.00614161849710983,5536,4962,5455,11.2443411306695,0.0167991329479769,0.00379335260115607,5536,1,1,0
"2019-12-01","Armenia",14,1,44,3,43,1,2,40,100,31,0,4,65,7,6,9,1,3,13,21,5,1,5,0,2,1,7,1,1,0,5,0,0,0,16,5,1,1,4,0,6,4,0.00244969378827647,0.000174978127734033,0.00769903762029746,0.0005249343832021,0.00752405949256343,0.000174978127734033,0.000349956255468066,0.00699912510936133,0.0174978127734033,0.00542432195975503,0,0.000699912510936133,0.0113735783027122,0.00122484689413823,0.0010498687664042,0.0015748031496063,0.000174978127734033,0.0005249343832021,0.00227471566054243,0.0036745406824147,0.000874890638670166,0.000174978127734033,0.000874890638670166,0,0.000349956255468066,0.000174978127734033,0.00122484689413823,0.000174978127734033,0.000174978127734033,0,0.000874890638670166,0,0,0,0.00279965004374453,0.000874890638670166,0.000174978127734033,0.000174978127734033,0.000699912510936133,0,0.0010498687664042,0.000699912510936133,49,38,7,0,98,39,2,3,9,27,57,0.00857392825896763,0.00664916885389326,0.00122484689413823,0,0.0171478565179353,0.0068241469816273,0.000349956255468066,0.0005249343832021,0.0015748031496063,0.0047244094488189,0.00997375328083989,5715,5025,5650,12.5076304073837,0.0127734033245844,0.00279965004374453,5715,1,1,0
"2020-01-01","Armenia",8,4,29,3,34,2,1,65,46,12,3,9,31,5,10,13,1,1,16,31,1,0,2,0,1,3,12,6,1,1,2,0,1,0,9,6,0,1,4,1,4,1,0.00151114469210427,0.000755572346052134,0.00547789950887797,0.000566679259539101,0.00642236494144314,0.000377786173026067,0.000188893086513034,0.0122780506233472,0.00868908197959955,0.0022667170381564,0.000566679259539101,0.0017000377786173,0.00585568568190404,0.000944465432565168,0.00188893086513034,0.00245561012466944,0.000188893086513034,0.000188893086513034,0.00302228938420854,0.00585568568190404,0.000188893086513034,0,0.000377786173026067,0,0.000188893086513034,0.000566679259539101,0.0022667170381564,0.0011333585190782,0.000188893086513034,0.000188893086513034,0.000377786173026067,0,0.000188893086513034,0,0.0017000377786173,0.0011333585190782,0,0.000188893086513034,0.000755572346052134,0.000188893086513034,0.000755572346052134,0.000188893086513034,48,38,8,0,75,22,5,1,2,30,54,0.00906686815262561,0.00717793728749528,0.00151114469210427,0,0.0141669814884775,0.00415564790328674,0.000944465432565168,0.000188893086513034,0.000377786173026067,0.00566679259539101,0.0102002266717038,5294,4707,5238,11.9843700126465,0.0105780128447299,0.00415564790328674,5294,1,1,1
"2020-02-01","Armenia",11,4,35,6,26,4,1,115,51,33,9,6,31,9,7,14,3,3,29,24,1,1,3,0,0,6,11,0,0,2,8,0,0,2,4,5,5,0,8,2,8,5,0.00201946025335047,0.000734349183036534,0.00642555535156967,0.0011015237745548,0.00477326968973747,0.000734349183036534,0.000183587295759133,0.0211125390123003,0.00936295208371581,0.0060583807600514,0.0016522856618322,0.0011015237745548,0.00569120616853314,0.0016522856618322,0.00128511107031393,0.00257022214062787,0.0005507618872774,0.0005507618872774,0.00532403157701487,0.0044060950982192,0.000183587295759133,0.000183587295759133,0.0005507618872774,0,0,0.0011015237745548,0.00201946025335047,0,0,0.000367174591518267,0.00146869836607307,0,0,0.000367174591518267,0.000734349183036534,0.000917936478795667,0.000917936478795667,0,0.00146869836607307,0.000367174591518267,0.00146869836607307,0.000917936478795667,31,22,8,0,58,31,2,0,4,16,49,0.00569120616853314,0.00403892050670094,0.00146869836607307,0,0.0106480631540297,0.00569120616853314,0.000367174591518267,0,0.000734349183036534,0.00293739673214614,0.00899577749219754,5447,4827,5376,13.0817100254313,0.0124839361116211,0.00403892050670094,5447,1,1,1
"2020-03-01","Armenia",9,1,32,5,25,2,0,335,44,29,32,6,47,3,6,3,3,2,10,21,2,2,1,1,3,4,3,5,4,2,2,0,3,2,4,9,0,0,5,0,5,4,0.00142000631113916,0.000157778479015462,0.00504891132849479,0.000788892395077311,0.00394446197538656,0.000315556958030925,0,0.0528557904701799,0.00694225307668034,0.00457557589144841,0.00504891132849479,0.000946670874092774,0.00741558851372673,0.000473335437046387,0.000946670874092774,0.000473335437046387,0.000473335437046387,0.000315556958030925,0.00157778479015462,0.00331334805932471,0.000315556958030925,0.000315556958030925,0.000157778479015462,0.000157778479015462,0.000473335437046387,0.000631113916061849,0.000473335437046387,0.000788892395077311,0.000631113916061849,0.000315556958030925,0.000315556958030925,0,0.000473335437046387,0.000315556958030925,0.000631113916061849,0.00142000631113916,0,0,0.000788892395077311,0,0.000788892395077311,0.000631113916061849,27,42,4,0,60,53,2,4,3,18,39,0.00426001893341748,0.00662669611864942,0.000631113916061849,0,0.00946670874092774,0.0083622593878195,0.000315556958030925,0.000631113916061849,0.000473335437046387,0.00284001262227832,0.00615336068160303,6338,5488,6277,11.2883185418521,0.00883559482486589,0.00426001893341748,6338,1,1,1
"2020-04-01","Armenia",5,3,44,0,16,2,0,294,36,31,23,3,36,1,8,5,0,1,9,13,2,1,1,0,0,4,6,3,1,0,7,0,1,1,11,2,2,1,6,0,8,1,0.000819269211863018,0.000491561527117811,0.00720956906439456,0,0.00262166147796166,0.000327707684745207,0,0.0481730296575455,0.00589873832541373,0.00507946911355071,0.00376863837456988,0.000491561527117811,0.00589873832541373,0.000163853842372604,0.00131083073898083,0.000819269211863018,0,0.000163853842372604,0.00147468458135343,0.00213009995084385,0.000327707684745207,0.000163853842372604,0.000163853842372604,0,0,0.000655415369490415,0.000983123054235622,0.000491561527117811,0.000163853842372604,0,0.00114697689660823,0,0.000163853842372604,0.000163853842372604,0.00180239226609864,0.000327707684745207,0.000327707684745207,0.000163853842372604,0.000983123054235622,0,0.00131083073898083,0.000163853842372604,21,26,8,0,37,44,3,1,4,29,39,0.00344093068982468,0.00426019990168769,0.00131083073898083,0,0.00606259216778633,0.00720956906439456,0.000491561527117811,0.000163853842372604,0.000655415369490415,0.00475176142880551,0.00639029985253154,6103,5372,6045,10.4073457432677,0.0106504997542192,0.00294936916270687,6103,1,1,1
"2020-05-01","Armenia",10,0,18,5,20,1,0,297,56,17,18,9,30,8,7,7,0,3,13,23,0,0,3,0,1,4,8,6,0,1,8,0,0,1,9,8,0,1,5,0,7,0,0.00164581961816985,0,0.00296247531270573,0.000822909809084924,0.0032916392363397,0.000164581961816985,0,0.0488808426596445,0.00921658986175115,0.00279789335088874,0.00296247531270573,0.00148123765635286,0.00493745885450955,0.00131665569453588,0.00115207373271889,0.00115207373271889,0,0.000493745885450955,0.0021395655036208,0.00378538512179065,0,0,0.000493745885450955,0,0.000164581961816985,0.000658327847267939,0.00131665569453588,0.000987491770901909,0,0.000164581961816985,0.00131665569453588,0,0,0.000164581961816985,0.00148123765635286,0.00131665569453588,0,0.000164581961816985,0.000822909809084924,0,0.00115207373271889,0,42,28,9,2,67,38,2,3,10,28,52,0.00691244239631336,0.00460829493087558,0.00148123765635286,0.00032916392363397,0.011026991441738,0.00625411454904542,0.00032916392363397,0.000493745885450955,0.00164581961816985,0.00460829493087558,0.00855826201448321,6076,5271,6014,10.7835856084535,0.011026991441738,0.00296247531270573,6076,1,1,1
"2020-06-01","Armenia",8,1,23,2,33,4,0,308,72,37,7,22,23,10,10,14,0,6,12,20,1,0,0,1,0,2,7,2,0,0,3,1,4,1,7,6,2,0,4,0,6,1,0.00115590232625343,0.000144487790781679,0.00332321918797862,0.000288975581563358,0.00476809709579541,0.000577951163126716,0,0.0445022395607571,0.0104031209362809,0.00534604825892212,0.00101141453547175,0.00317873139719694,0.00332321918797862,0.00144487790781679,0.00144487790781679,0.00202282907094351,0,0.000866926744690074,0.00173385348938015,0.00288975581563358,0.000144487790781679,0,0,0.000144487790781679,0,0.000288975581563358,0.00101141453547175,0.000288975581563358,0,0,0.000433463372345037,0.000144487790781679,0.000577951163126716,0.000144487790781679,0.00101141453547175,0.000866926744690074,0.000288975581563358,0,0.000577951163126716,0,0.000866926744690074,0.000144487790781679,35,34,12,0,96,40,5,5,6,19,46,0.00505707267735876,0.00491258488657708,0.00173385348938015,0,0.0138708279150412,0.00577951163126716,0.000722438953908395,0.000722438953908395,0.000866926744690074,0.0027452680248519,0.00664643837595723,6921,6027,6873,11.7523404389176,0.0102586331454992,0.00202282907094351,6921,1,1,1
"2020-07-01","Armenia",12,4,31,6,43,1,0,319,97,33,7,26,29,9,18,14,1,8,53,91,1,2,3,3,4,3,23,4,2,2,4,4,0,3,11,18,10,2,2,0,1,2,0.00152129817444219,0.00050709939148073,0.00393002028397566,0.000760649087221095,0.00545131845841785,0.000126774847870183,0,0.0404411764705882,0.0122971602434077,0.00418356997971602,0.000887423935091278,0.00329614604462475,0.00367647058823529,0.00114097363083164,0.00228194726166329,0.00177484787018256,0.000126774847870183,0.00101419878296146,0.00671906693711968,0.0115365111561866,0.000126774847870183,0.000253549695740365,0.000380324543610548,0.000380324543610548,0.00050709939148073,0.000380324543610548,0.0029158215010142,0.00050709939148073,0.000253549695740365,0.000253549695740365,0.00050709939148073,0.00050709939148073,0,0.000380324543610548,0.00139452332657201,0.00228194726166329,0.00126774847870183,0.000253549695740365,0.000253549695740365,0,0.000126774847870183,0.000253549695740365,42,52,8,0,64,36,5,2,4,23,73,0.00532454361054767,0.00659229208924949,0.00101419878296146,0,0.00811359026369168,0.00456389452332657,0.000633874239350913,0.000253549695740365,0.00050709939148073,0.0029158215010142,0.00925456389452333,7888,6793,7784,13.1112844266273,0.0197768762677485,0.0021551724137931,7888,1,1,1
"2020-08-01","Armenia",14,4,45,2,39,0,0,244,76,23,7,8,48,7,20,14,1,5,11,17,6,0,0,2,3,8,15,4,3,2,2,1,3,0,7,9,2,0,6,1,4,1,0.00215982721382289,0.000617093489663684,0.00694230175871645,0.000308546744831842,0.00601666152422092,0,0,0.0376427028694847,0.01172477630361,0.00354828756556618,0.00107991360691145,0.00123418697932737,0.00740512187596421,0.00107991360691145,0.00308546744831842,0.00215982721382289,0.000154273372415921,0.000771366862079605,0.00169700709657513,0.00262264733107066,0.000925640234495526,0,0,0.000308546744831842,0.000462820117247763,0.00123418697932737,0.00231410058623882,0.000617093489663684,0.000462820117247763,0.000308546744831842,0.000308546744831842,0.000154273372415921,0.000462820117247763,0,0.00107991360691145,0.00138846035174329,0.000308546744831842,0,0.000925640234495526,0.000154273372415921,0.000617093489663684,0.000154273372415921,71,24,11,0,62,34,4,1,6,32,74,0.0109534094415304,0.0037025609379821,0.00169700709657513,0,0.0095649490897871,0.00524529466214131,0.000617093489663684,0.000154273372415921,0.000925640234495526,0.00493674791730947,0.0114162295587782,6482,5606,6403,12.0071176483186,0.0171243443381672,0.0029311940759025,6482,1,1,1
