"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","dailyguidenetwork.com","graphic.com.gh"
"2022-04-01","Ghana",24,3,160,19,31,10,5,102,139,29,1,8,52,20,31,18,1,7,23,16,0,0,0,1,2,0,1,0,0,0,0,3,0,0,0,3,1,2,0,0.00470311581422693,0.000587889476778366,0.0313541054281795,0.00372330001959632,0.00607485792670978,0.00195963158926122,0.000979815794630609,0.0199882422104644,0.0272388790907309,0.00568293160885754,0.000195963158926122,0.00156770527140898,0.0101900842641583,0.00391926317852244,0.00607485792670978,0.00352733686067019,0.000195963158926122,0.00137174211248285,0.0045071526553008,0.00313541054281795,0,0,0,0.000195963158926122,0.000391926317852244,0,0.000195963158926122,0,0,0,0,0.000587889476778366,0,0,0,0.000587889476778366,0.000195963158926122,0.000391926317852244,0,142,88,50,7,120,48,8,4,14,49,19,0.0278267685675093,0.0172447579854987,0.00979815794630609,0.00137174211248285,0.0235155790711346,0.00940623162845385,0.00156770527140898,0.000783852635704488,0.00274348422496571,0.00960219478737997,0.00372330001959632,5103,3958,41,6.08458222464557,0.000979815794630609,0.00156770527140898,5103,1,1
"2022-05-01","Ghana",21,9,278,25,41,8,5,132,144,42,8,19,96,22,30,25,3,14,18,31,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0.00381610030892241,0.00163547156096675,0.0505178993276395,0.00454297655824096,0.00745048155551517,0.00145375249863711,0.000908595311648192,0.0239869162275123,0.0261675449754679,0.00763220061784481,0.00145375249863711,0.00345266218426313,0.0174450299836453,0.00399781937125204,0.00545157186988915,0.00454297655824096,0.000545157186988915,0.00254406687261494,0.00327094312193349,0.00563329093221879,0,0,0,0,0.000363438124659277,0,0,0,0,0,0,0.000181719062329638,0,0,0,0.00145375249863711,0,0,0,130,102,54,1,168,30,7,3,13,45,47,0.023623478102853,0.0185353443576231,0.00981282936580047,0.000181719062329638,0.0305288024713792,0.00545157186988915,0.00127203343630747,0.000545157186988915,0.0023623478102853,0.00817735780483373,0.008540795929493,5503,4070,33,7.06228942294887,0.000363438124659277,0.00163547156096675,5503,1,1
"2022-06-01","Ghana",28,5,159,21,58,11,3,155,110,21,3,22,66,28,94,39,4,20,7,32,0,0,0,1,1,0,0,1,0,0,0,3,1,0,0,2,0,2,0,0.00500178635226867,0.000893176134333691,0.0284030010718114,0.0037513397642015,0.0103608431582708,0.00196498749553412,0.000535905680600214,0.0276884601643444,0.0196498749553412,0.0037513397642015,0.000535905680600214,0.00392997499106824,0.0117899249732047,0.00500178635226867,0.0167917113254734,0.00696677384780279,0.000714540907466952,0.00357270453733476,0.00125044658806717,0.00571632725973562,0,0,0,0.000178635226866738,0.000178635226866738,0,0,0.000178635226866738,0,0,0,0.000535905680600214,0.000178635226866738,0,0,0.000357270453733476,0,0.000357270453733476,0,133,128,62,4,175,40,13,3,14,38,33,0.0237584851732762,0.0228653090389425,0.0110753840657378,0.000714540907466952,0.0312611647016792,0.00714540907466953,0.0023222579492676,0.000535905680600214,0.00250089317613433,0.00678813862093605,0.00589496248660236,5598,4190,43,6.57548677751819,0.00107181136120043,0.000893176134333691,5598,1,1
"2022-07-01","Ghana",11,2,143,29,68,8,4,108,115,14,2,17,88,27,102,68,2,15,5,27,0,0,0,1,4,1,1,1,1,0,1,1,0,0,0,0,0,2,0,0.00206456456456456,0.000375375375375375,0.0268393393393393,0.00544294294294294,0.0127627627627628,0.0015015015015015,0.000750750750750751,0.0202702702702703,0.0215840840840841,0.00262762762762763,0.000375375375375375,0.00319069069069069,0.0165165165165165,0.00506756756756757,0.0191441441441441,0.0127627627627628,0.000375375375375375,0.00281531531531532,0.000938438438438438,0.00506756756756757,0,0,0,0.000187687687687688,0.000750750750750751,0.000187687687687688,0.000187687687687688,0.000187687687687688,0.000187687687687688,0,0.000187687687687688,0.000187687687687688,0,0,0,0,0,0.000375375375375375,0,95,90,43,3,147,45,4,4,10,32,28,0.0178303303303303,0.0168918918918919,0.00807057057057057,0.000563063063063063,0.0275900900900901,0.00844594594594595,0.000750750750750751,0.000750750750750751,0.00187687687687688,0.00600600600600601,0.00525525525525526,5328,4079,29,6.67512526434311,0.00206456456456456,0.000375375375375375,5328,1,1
"2022-08-01","Ghana",20,12,118,22,58,5,7,54,97,30,5,20,98,17,39,79,4,16,8,44,1,0,0,0,2,1,0,3,0,0,0,3,1,0,2,2,0,1,0,0.00380734818199124,0.00228440890919475,0.0224633542737483,0.00418808300019037,0.0110413097277746,0.000951837045497811,0.00133257186369693,0.0102798400913764,0.0184656386826575,0.00571102227298686,0.000951837045497811,0.00380734818199124,0.0186560060917571,0.00323624595469256,0.00742432895488292,0.0150390253188654,0.000761469636398249,0.00304587854559299,0.0015229392727965,0.00837616600038073,0.000190367409099562,0,0,0,0.000380734818199124,0.000190367409099562,0,0.000571102227298686,0,0,0,0.000571102227298686,0.000190367409099562,0,0.000380734818199124,0.000380734818199124,0,0.000190367409099562,0,145,102,48,4,138,39,18,4,18,40,40,0.0276032743194365,0.0194174757281553,0.00913763563677898,0.000761469636398249,0.0262707024557396,0.00742432895488292,0.00342661336379212,0.000761469636398249,0.00342661336379212,0.00761469636398249,0.00761469636398249,5253,4037,31,7.86719867477287,0.00171330668189606,0.00133257186369693,5253,1,1
"2022-09-01","Ghana",18,3,73,7,63,2,1,85,66,27,5,10,56,22,21,33,4,14,5,11,0,0,0,6,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.00400444938820912,0.000667408231368187,0.0162402669632925,0.00155728587319244,0.0140155728587319,0.000444938820912125,0.000222469410456062,0.0189098998887653,0.0146829810901001,0.00600667408231368,0.00111234705228031,0.00222469410456062,0.0124582869855395,0.00489432703003337,0.00467185761957731,0.00734149054505006,0.000889877641824249,0.00311457174638487,0.00111234705228031,0.00244716351501669,0,0,0,0.00133481646273637,0.000444938820912125,0,0,0,0,0,0,0.000667408231368187,0,0,0,0,0,0,0,157,85,30,10,143,25,12,1,9,39,31,0.0349276974416018,0.0189098998887653,0.00667408231368187,0.00222469410456062,0.0318131256952169,0.00556173526140156,0.00266963292547275,0.000222469410456062,0.00200222469410456,0.00867630700778643,0.00689655172413793,4495,3512,79,5.01219697961971,0.000222469410456062,0.00244716351501669,4495,1,1
"2022-10-01","Ghana",23,5,179,26,95,7,8,73,75,21,12,9,75,20,46,78,1,26,1,7,0,4,0,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0.00377482356802889,0.000820613819136714,0.0293779747250944,0.00426719185951091,0.0155916625635976,0.0011488593467914,0.00131298211061874,0.011980961759396,0.0123092072870507,0.0034465780403742,0.00196947316592811,0.00147710487444609,0.0123092072870507,0.00328245527654686,0.00754964713605777,0.0128015755785327,0.000164122763827343,0.00426719185951091,0.000164122763827343,0.0011488593467914,0,0.000656491055309371,0,0.000164122763827343,0.000328245527654686,0,0,0.000164122763827343,0,0,0,0.000164122763827343,0,0,0,0.000164122763827343,0,0,0.000328245527654686,120,117,49,9,144,39,17,0,12,35,28,0.0196947316592811,0.0192023633677991,0.0080420154275398,0.00147710487444609,0.0236336779911374,0.00640078778926637,0.00279008698506483,0,0.00196947316592811,0.005744296733957,0.0045954373871656,6093,4864,59,5.50241551796341,0.000984736582964057,0.000984736582964057,6093,1,1
"2022-11-01","Ghana",15,8,144,16,91,5,7,32,124,27,3,11,123,29,65,110,2,18,12,14,0,0,0,0,2,0,0,1,0,0,0,2,2,0,0,3,0,0,0,0.00260100572221259,0.00138720305184671,0.0249696549332409,0.00277440610369343,0.0157794347147564,0.000867001907404196,0.00121380267036587,0.00554881220738686,0.0215016473036241,0.00468181029998266,0.000520201144442518,0.00190740419628923,0.0213282469221432,0.00502861106294434,0.0112710247962546,0.0190740419628923,0.000346800762961679,0.00312120686665511,0.00208080457777007,0.00242760534073175,0,0,0,0,0.000346800762961679,0,0,0.000173400381480839,0,0,0,0.000346800762961679,0.000346800762961679,0,0,0.000520201144442518,0,0,0,90,122,54,7,140,64,14,6,6,33,22,0.0156060343332755,0.0211548465406624,0.00936362059996532,0.00121380267036587,0.0242760534073175,0.0110976244147737,0.00242760534073175,0.00104040228888504,0.00104040228888504,0.0057222125888677,0.00381480839257846,5767,4531,38,7.49481477441122,0.000867001907404196,0.000867001907404196,5767,1,1
"2022-12-01","Ghana",22,3,144,10,77,4,3,53,59,40,0,15,59,27,30,48,2,15,12,27,1,1,0,2,4,0,0,1,0,0,0,0,0,4,1,0,0,1,0,0.00433497536945813,0.000591133004926108,0.0283743842364532,0.00197044334975369,0.0151724137931034,0.000788177339901478,0.000591133004926108,0.0104433497536946,0.0116256157635468,0.00788177339901478,0,0.00295566502463054,0.0116256157635468,0.00532019704433498,0.00591133004926108,0.00945812807881773,0.000394088669950739,0.00295566502463054,0.00236453201970443,0.00532019704433498,0.000197044334975369,0.000197044334975369,0,0.000394088669950739,0.000788177339901478,0,0,0.000197044334975369,0,0,0,0,0,0.000788177339901478,0.000197044334975369,0,0,0.000197044334975369,0,81,108,43,3,91,58,13,1,9,24,32,0.0159605911330049,0.0212807881773399,0.00847290640394089,0.000591133004926108,0.0179310344827586,0.0114285714285714,0.0025615763546798,0.000197044334975369,0.00177339901477833,0.00472906403940887,0.00630541871921182,5075,4054,30,5.63034882542796,0.00236453201970443,0.000591133004926108,5075,1,1
"2023-01-01","Ghana",15,1,122,12,47,8,6,71,88,10,7,8,69,24,19,113,1,20,3,12,0,7,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,0.00321888412017167,0.000214592274678112,0.0261802575107296,0.00257510729613734,0.0100858369098712,0.00171673819742489,0.00128755364806867,0.0152360515021459,0.0188841201716738,0.00214592274678112,0.00150214592274678,0.00171673819742489,0.0148068669527897,0.00515021459227468,0.00407725321888412,0.0242489270386266,0.000214592274678112,0.00429184549356223,0.000643776824034335,0.00257510729613734,0,0.00150214592274678,0,0.000429184549356223,0,0,0,0.000214592274678112,0,0,0,0,0.000214592274678112,0,0,0,0,0.000858369098712446,0.000214592274678112,113,101,74,5,159,38,20,0,9,35,21,0.0242489270386266,0.0216738197424893,0.0158798283261803,0.00107296137339056,0.0341201716738197,0.00815450643776824,0.00429184549356223,0,0.001931330472103,0.00751072961373391,0.00450643776824034,4660,3563,25,6.77218623228902,0.000429184549356223,0.00300429184549356,4660,1,1
"2023-02-01","Ghana",27,1,228,16,51,8,5,85,111,35,3,9,77,15,36,54,0,17,11,17,0,0,0,0,4,0,3,5,0,0,0,1,0,0,0,1,0,3,0,0.00536139793486894,0.000198570293884035,0.04527402700556,0.00317712470214456,0.0101270849880858,0.00158856235107228,0.000992851469420175,0.016878474980143,0.0220413026211279,0.00694996028594122,0.000595710881652105,0.00178713264495631,0.0152899126290707,0.00297855440826052,0.00714853057982526,0.0107227958697379,0,0.00337569499602859,0.00218427323272438,0.00337569499602859,0,0,0,0,0.00079428117553614,0,0.000595710881652105,0.000992851469420175,0,0,0,0.000198570293884035,0,0,0,0.000198570293884035,0,0.000595710881652105,0,73,78,47,2,145,56,16,4,15,27,26,0.0144956314535346,0.0154884829229547,0.00933280381254964,0.00039714058776807,0.0287926926131851,0.011119936457506,0.00317712470214456,0.00079428117553614,0.00297855440826052,0.00536139793486894,0.00516282764098491,5036,3857,45,6.59409132473345,0.00178713264495631,0.00178713264495631,5036,1,1
"2023-03-01","Ghana",18,2,282,12,71,12,24,103,111,69,5,12,64,26,16,30,6,21,15,27,1,0,0,0,2,5,11,5,0,0,0,0,0,2,0,1,1,3,0,0.00286487346808849,0.000318319274232055,0.0448830176667197,0.00190991564539233,0.0113003342352379,0.00190991564539233,0.00381983129078466,0.0163934426229508,0.017666719719879,0.0109820149610059,0.000795798185580137,0.00190991564539233,0.0101862167754258,0.00413815056501671,0.00254655419385644,0.00477478911348082,0.000954957822696164,0.00334235237943657,0.00238739455674041,0.00429731020213274,0.000159159637116027,0,0,0,0.000318319274232055,0.000795798185580137,0.0017507560082763,0.000795798185580137,0,0,0,0,0,0.000318319274232055,0,0.000159159637116027,0.000159159637116027,0.000477478911348082,0,107,129,44,6,123,48,8,1,10,29,20,0.0170300811714149,0.0205315931879675,0.0070030240331052,0.000954957822696164,0.0195766353652714,0.00763966258156931,0.00127327709692822,0.000159159637116027,0.00159159637116027,0.00461562947636479,0.00318319274232055,6283,4957,68,6.54392784261413,0.00190991564539233,0.0035015120165526,6283,1,1
"2023-04-01","Ghana",11,2,253,15,55,2,8,57,106,49,1,8,65,41,21,28,0,15,7,8,0,0,0,0,0,1,3,2,0,0,0,2,0,0,0,2,0,3,0,0.00225225225225225,0.00040950040950041,0.0518018018018018,0.00307125307125307,0.0112612612612613,0.00040950040950041,0.00163800163800164,0.0116707616707617,0.0217035217035217,0.01003276003276,0.000204750204750205,0.00163800163800164,0.0133087633087633,0.00839475839475839,0.0042997542997543,0.00573300573300573,0,0.00307125307125307,0.00143325143325143,0.00163800163800164,0,0,0,0,0,0.000204750204750205,0.000614250614250614,0.00040950040950041,0,0,0,0.00040950040950041,0,0,0,0.00040950040950041,0,0.000614250614250614,0,111,93,33,5,111,72,10,3,10,24,25,0.0227272727272727,0.019041769041769,0.00675675675675676,0.00102375102375102,0.0227272727272727,0.0147420147420147,0.00204750204750205,0.000614250614250614,0.00204750204750205,0.00491400491400491,0.00511875511875512,4884,3736,21,5.72118193051746,0.00040950040950041,0.00225225225225225,4884,1,1
"2023-05-01","Ghana",16,4,490,48,55,5,12,91,133,27,6,8,71,28,40,25,1,21,5,23,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,1,2,0,0.00282485875706215,0.000706214689265537,0.0865112994350282,0.00847457627118644,0.00971045197740113,0.000882768361581921,0.00211864406779661,0.016066384180791,0.0234816384180791,0.00476694915254237,0.00105932203389831,0.00141242937853107,0.0125353107344633,0.00494350282485876,0.00706214689265537,0.0044138418079096,0.000176553672316384,0.00370762711864407,0.000882768361581921,0.00406073446327684,0,0,0,0,0,0.000176553672316384,0.000706214689265537,0.000353107344632768,0,0,0,0,0,0,0,0,0.000176553672316384,0.000353107344632768,0,95,117,22,2,98,52,7,10,16,28,32,0.0167725988700565,0.0206567796610169,0.00388418079096045,0.000353107344632768,0.0173022598870056,0.00918079096045198,0.00123587570621469,0.00176553672316384,0.00282485875706215,0.00494350282485876,0.00564971751412429,5664,4166,22,6.26205173628675,0.000353107344632768,0.00141242937853107,5664,1,1
