"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","malaymail.com","nst.com.my","thestar.com.my","utusan.com.my","thesun.my"
"2016-07-01","Malaysia",52,21,170,57,167,29,29,231,383,74,11,40,283,42,65,83,5,50,35,91,0,0,0,0,0,3,2,2,0,0,4,3,1,0,2,9,0,0,0,0,2,1,0.00797913150222495,0.00322234156820623,0.0260856222188123,0.0087463556851312,0.0256252877090686,0.00444990026085622,0.00444990026085622,0.0354457572502685,0.0587693724106184,0.0113549179070124,0.00168789320239374,0.00613779346324996,0.0434248887524935,0.00644468313641246,0.00997391437778119,0.0127359214362437,0.000767224182906245,0.00767224182906245,0.00537056928034372,0.0139634801288937,0,0,0,0,0,0.000460334509743747,0.000306889673162498,0.000306889673162498,0,0,0.000613779346324996,0.000460334509743747,0.000153444836581249,0,0.000306889673162498,0.00138100352923124,0,0,0,0,0.000306889673162498,0.000153444836581249,187,76,47,11,246,104,4,10,7,56,81,0.0286941844406936,0.0116618075801749,0.00721190731931871,0.00168789320239374,0.0377474297989873,0.0159582630044499,0.000613779346324996,0.00153444836581249,0.00107411385606874,0.00859291084854995,0.0124290317630812,6517,4097,6488,9.90477952657598,0.000767224182906245,0.00982046954119994,6517,1,1,0,0,1
"2016-08-01","Malaysia",134,9,99,24,109,35,19,220,410,97,10,34,313,44,131,45,3,37,28,31,0,0,0,0,0,2,4,0,0,0,5,0,0,0,14,1,0,0,0,0,0,0,0.0177272125942585,0.00119063368170393,0.0130969704987432,0.00317502315121048,0.0144198968117476,0.00463024209551528,0.00251355999470829,0.029104378886096,0.054239978833179,0.0128323852361423,0.00132292631300437,0.00449794946421484,0.0414075935970366,0.00582087577721921,0.0173303347003572,0.00595316840851965,0.00039687789390131,0.00489482735811615,0.00370419367641222,0.00410107157031353,0,0,0,0,0,0.000264585262600873,0.000529170525201746,0,0,0,0.000661463156502183,0,0,0,0.00185209683820611,0.000132292631300437,0,0,0,0,0,0,314,87,55,15,302,95,4,22,12,39,85,0.0415398862283371,0.011509458923138,0.00727609472152401,0.00198438946950655,0.0399523746527318,0.0125677999735415,0.000529170525201746,0.0029104378886096,0.00158751157560524,0.00515941262071703,0.0112448736605371,7559,5040,7533,8.04281265116369,0.000661463156502183,0.00582087577721921,7559,1,1,1,0,1
"2016-09-01","Malaysia",84,16,193,81,113,16,17,380,328,86,15,25,182,39,53,38,8,33,22,56,1,2,0,0,0,1,5,0,1,2,8,0,0,1,8,9,1,0,1,0,2,0,0.0121739130434783,0.00231884057971014,0.0279710144927536,0.0117391304347826,0.0163768115942029,0.00231884057971014,0.00246376811594203,0.0550724637681159,0.047536231884058,0.012463768115942,0.00217391304347826,0.0036231884057971,0.0263768115942029,0.00565217391304348,0.00768115942028985,0.00550724637681159,0.00115942028985507,0.00478260869565217,0.00318840579710145,0.00811594202898551,0.000144927536231884,0.000289855072463768,0,0,0,0.000144927536231884,0.00072463768115942,0,0.000144927536231884,0.000289855072463768,0.00115942028985507,0,0,0.000144927536231884,0.00115942028985507,0.00130434782608696,0.000144927536231884,0,0.000144927536231884,0,0.000289855072463768,0,216,82,47,8,251,99,11,21,11,71,58,0.031304347826087,0.0118840579710145,0.00681159420289855,0.00115942028985507,0.0363768115942029,0.0143478260869565,0.00159420289855072,0.00304347826086957,0.00159420289855072,0.0102898550724638,0.00840579710144928,6900,4472,6858,7.40941235933819,0.00231884057971014,0.00869565217391304,6900,1,1,0,0,1
"2016-10-01","Malaysia",120,13,117,53,117,28,32,408,390,168,9,31,284,48,98,54,9,46,14,70,0,0,2,0,0,1,2,8,0,0,9,4,0,0,11,7,1,0,0,0,1,1,0.0150602409638554,0.00163152610441767,0.014683734939759,0.00665160642570281,0.014683734939759,0.0035140562248996,0.00401606425702811,0.0512048192771084,0.0489457831325301,0.0210843373493976,0.00112951807228916,0.00389056224899598,0.0356425702811245,0.00602409638554217,0.0122991967871486,0.00677710843373494,0.00112951807228916,0.00577309236947791,0.0017570281124498,0.008785140562249,0,0,0.000251004016064257,0,0,0.000125502008032129,0.000251004016064257,0.00100401606425703,0,0,0.00112951807228916,0.000502008032128514,0,0,0.00138052208835341,0.0008785140562249,0.000125502008032129,0,0,0,0.000125502008032129,0.000125502008032129,239,80,39,12,267,181,10,17,15,49,87,0.0299949799196787,0.0100401606425703,0.00489457831325301,0.00150602409638554,0.0335090361445783,0.0227158634538153,0.00125502008032129,0.00213353413654618,0.00188253012048193,0.0061495983935743,0.0109186746987952,7968,5189,7921,8.57040851629675,0.000753012048192771,0.00865963855421687,7968,1,1,0,0,1
"2016-11-01","Malaysia",200,26,147,20,139,25,32,323,379,165,11,37,234,54,241,48,23,72,14,82,1,1,1,1,3,7,4,10,0,1,38,4,0,0,7,13,0,0,1,4,3,2,0.0250438266967193,0.0032556974705735,0.0184072126220887,0.00250438266967193,0.0174054595542199,0.00313047833708991,0.00400701227147508,0.0404457801152016,0.047458051590283,0.0206611570247934,0.00137741046831956,0.00463310793889306,0.0293012772351615,0.0067618332081142,0.0301778111695467,0.00601051840721262,0.00288004007012271,0.00901577761081893,0.00175306786877035,0.0102679689456549,0.000125219133483596,0.000125219133483596,0.000125219133483596,0.000125219133483596,0.000375657400450789,0.000876533934385174,0.000500876533934385,0.00125219133483596,0,0.000125219133483596,0.00475832707237666,0.000500876533934385,0,0,0.000876533934385174,0.00162784873528675,0,0,0.000125219133483596,0.000500876533934385,0.000375657400450789,0.000250438266967193,218,100,60,10,276,147,7,25,19,45,63,0.027297771099424,0.0125219133483596,0.00751314800901578,0.00125219133483596,0.0345604808414726,0.0184072126220887,0.000876533934385174,0.00313047833708991,0.00237916353618833,0.00563486100676183,0.00788880540946657,7986,5029,7885,10.6527712129233,0.000500876533934385,0.0179063360881543,7986,1,1,1,0,1
"2016-12-01","Malaysia",62,11,114,7,124,26,28,389,325,100,12,13,158,64,56,32,5,32,28,36,0,0,5,0,0,3,3,0,1,0,12,1,0,1,8,3,3,1,1,1,1,2,0.00902737332556785,0.00160163075131043,0.016598718695399,0.00101921956901573,0.0180547466511357,0.00378567268491555,0.0040768782760629,0.0566394874781596,0.0473209085614444,0.0145602795573675,0.0017472335468841,0.00189283634245778,0.0230052417006407,0.0093185789167152,0.0081537565521258,0.0046592894583576,0.000728013977868375,0.0046592894583576,0.0040768782760629,0.0052417006406523,0,0,0.000728013977868375,0,0,0.000436808386721025,0.000436808386721025,0,0.000145602795573675,0,0.0017472335468841,0.000145602795573675,0,0.000145602795573675,0.0011648223645894,0.000436808386721025,0.000436808386721025,0.000145602795573675,0.000145602795573675,0.000145602795573675,0.000145602795573675,0.00029120559114735,208,90,30,10,282,82,4,19,7,52,67,0.0302853814793244,0.0131042516016308,0.00436808386721025,0.00145602795573675,0.0410599883517764,0.0119394292370414,0.0005824111822947,0.00276645311589983,0.00101921956901573,0.0075713453698311,0.00975538730343623,6868,4583,6822,7.55020211849795,0.00087361677344205,0.0113570180547467,6868,1,1,1,0,1
"2017-01-01","Malaysia",111,11,153,34,101,35,33,704,331,66,9,18,302,51,49,35,8,26,22,28,0,0,3,0,1,6,7,7,2,0,19,2,2,1,13,11,1,2,1,1,3,0,0.0152033967949596,0.00150664292562663,0.0209560334200794,0.00465689631557321,0.0138337214080263,0.00479386385426654,0.00451992877687988,0.0964251472401041,0.0453362553074921,0.00903985755375976,0.00123270784823997,0.00246541569647993,0.0413641966853856,0.00698534447335981,0.00671140939597315,0.00479386385426654,0.00109574030954664,0.00356115600602657,0.00301328585125325,0.00383509108341323,0,0,0.000410902616079989,0,0.00013696753869333,0.000821805232159978,0.000958772770853308,0.000958772770853308,0.000273935077386659,0,0.00260238323517326,0.000273935077386659,0.000273935077386659,0.00013696753869333,0.00178057800301329,0.00150664292562663,0.00013696753869333,0.000273935077386659,0.00013696753869333,0.00013696753869333,0.000410902616079989,0,271,88,78,16,295,111,6,28,4,48,85,0.0371182029858923,0.012053143405013,0.0106834680180797,0.00219148061909327,0.0404054239145323,0.0152033967949596,0.000821805232159978,0.00383509108341323,0.000547870154773319,0.00657444185727982,0.011642240788933,7301,4503,7219,7.73954455445335,0.000684837693466648,0.0176688124914395,7301,1,1,0,0,1
"2017-02-01","Malaysia",212,13,216,25,145,31,39,301,391,76,10,35,263,43,65,78,15,28,113,34,0,0,1,0,2,3,0,0,0,1,5,0,0,1,0,2,2,0,0,0,6,2,0.0286680189317106,0.0017579445571332,0.0292089249492901,0.00338066260987153,0.0196078431372549,0.0041920216362407,0.00527383367139959,0.0407031778228533,0.0528735632183908,0.0102772143340095,0.00135226504394861,0.00473292765382015,0.0355645706558485,0.00581473968897904,0.00878972278566599,0.0105476673427992,0.00202839756592292,0.00378634212305612,0.0152805949966193,0.00459770114942529,0,0,0.000135226504394861,0,0.000270453008789723,0.000405679513184584,0,0,0,0.000135226504394861,0.000676132521974307,0,0,0.000135226504394861,0,0.000270453008789723,0.000270453008789723,0,0,0,0.000811359026369168,0.000270453008789723,251,87,62,8,232,68,4,30,12,53,68,0.0339418526031102,0.0117647058823529,0.00838404327248141,0.00108181203515889,0.0313725490196078,0.00919540229885057,0.000540906017579446,0.00405679513184584,0.00162271805273834,0.00716700473292765,0.00919540229885057,7395,4722,7370,10.0495096968537,0.000270453008789723,0.00649087221095335,7395,1,1,0,0,1
"2017-03-01","Malaysia",146,68,114,37,168,13,25,211,393,155,23,25,273,33,38,87,12,35,27,40,0,0,0,1,0,1,3,2,0,0,18,0,1,1,8,10,0,1,0,0,2,0,0.0185443922265972,0.00863711418773022,0.0144798679029595,0.00469960624920615,0.0213387526990982,0.00165121300647784,0.00317540962784199,0.0268004572589864,0.0499174393496761,0.0196875396926203,0.00292137685761463,0.00317540962784199,0.0346754731360346,0.00419154070875143,0.00482662263431983,0.0110504255048901,0.00152419662136416,0.00444557347897879,0.00342944239806935,0.00508065540454719,0,0,0,0.00012701638511368,0,0.00012701638511368,0.000381049155341039,0.000254032770227359,0,0,0.00228629493204623,0,0.00012701638511368,0.00012701638511368,0.00101613108090944,0.0012701638511368,0,0.00012701638511368,0,0,0.000254032770227359,0,199,108,59,6,326,153,5,12,5,50,47,0.0252762606376223,0.0137177695922774,0.0074939667217071,0.000762098310682078,0.0414073415470596,0.019433506922393,0.000635081925568398,0.00152419662136416,0.000635081925568398,0.00635081925568398,0.00596977010034294,7873,5303,7825,8.94118494140464,0.00101613108090944,0.0152419662136416,7873,1,1,1,0,1
"2017-04-01","Malaysia",84,26,124,43,82,7,36,185,395,117,6,14,301,54,32,42,4,29,16,27,0,1,0,0,0,1,3,2,0,0,10,0,0,0,7,6,0,1,3,1,0,0,0.0126258830602736,0.00390801142341801,0.0186382083270705,0.0064632496618067,0.0123252667969337,0.00105215692168946,0.00541109274011724,0.0278070043589358,0.0593717120096197,0.017586051405381,0.00090184879001954,0.00210431384337893,0.0452427476326469,0.00811663911017586,0.00480986021343755,0.00631294153013678,0.000601232526679693,0.00435893581842778,0.00240493010671877,0.00405831955508793,0,0.000150308131669923,0,0,0,0.000150308131669923,0.00045092439500977,0.000300616263339847,0,0,0.00150308131669923,0,0,0,0.00105215692168946,0.00090184879001954,0,0.000150308131669923,0.00045092439500977,0.000150308131669923,0,0,259,91,88,12,271,159,3,9,11,40,62,0.0389298061025101,0.013678039981963,0.0132271155869533,0.00180369758003908,0.0407335036825492,0.0238989929355178,0.00045092439500977,0.00135277318502931,0.00165338944836916,0.00601232526679693,0.00931910416353525,6653,4382,6618,8.45527485059644,0.00150308131669923,0.00977002855854502,6653,1,1,1,0,1
"2017-05-01","Malaysia",128,24,168,29,84,22,21,172,286,44,12,33,280,59,29,56,5,21,46,35,0,0,1,1,0,1,2,7,0,0,37,1,0,0,4,8,0,0,3,1,0,2,0.0193499622071051,0.0036281179138322,0.0253968253968254,0.00438397581254724,0.0126984126984127,0.00332577475434618,0.00317460317460317,0.0260015117157974,0.0432350718065004,0.00665154950869237,0.0018140589569161,0.00498866213151927,0.0423280423280423,0.00891912320483749,0.00438397581254724,0.00846560846560847,0.000755857898715042,0.00317460317460317,0.00695389266817838,0.00529100529100529,0,0,0.000151171579743008,0.000151171579743008,0,0.000151171579743008,0.000302343159486017,0.00105820105820106,0,0,0.00559334845049131,0.000151171579743008,0,0,0.000604686318972033,0.00120937263794407,0,0,0.000453514739229025,0.000151171579743008,0,0.000302343159486017,232,125,88,6,201,83,7,22,4,46,89,0.0350718065003779,0.018896447467876,0.0133030990173847,0.00090702947845805,0.0303854875283447,0.0125472411186697,0.00105820105820106,0.00332577475434618,0.000604686318972033,0.00695389266817838,0.0134542705971277,6615,4479,6547,8.27864329394862,0.000755857898715042,0.0196523053665911,6615,1,1,0,0,1
