"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","assarih.com","jomhouria.com","lapresse.tn"
"2016-03-01","Tunisia",59,4,34,6,42,4,0,27,26,22,6,8,14,3,33,16,6,5,85,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265646105357947,0.00180099054479964,0.0153084196307969,0.00270148581719946,0.0189104007203962,0.00180099054479964,0,0.0121566861773976,0.0117064385411977,0.00990544799639802,0.00270148581719946,0.00360198108959928,0.00630346690679874,0.00135074290859973,0.014858171994597,0.00720396217919856,0.00270148581719946,0.00225123818099955,0.0382710490769923,0.0319675821701936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,3,0,26,10,4,4,4,13,23,0.0157586672669968,0.00945520036019811,0.00135074290859973,0,0.0117064385411977,0.0045024763619991,0.00180099054479964,0.00180099054479964,0.00180099054479964,0.00585321927059883,0.0103556956325979,2221,1618,2221,9.36492119203412,0,0,2221,0,1,0
"2016-04-01","Tunisia",23,2,11,1,31,0,0,26,21,29,4,2,20,1,59,13,0,3,5,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.012914093206064,0.00112296462661426,0.00617630544637844,0.000561482313307131,0.0174059517125211,0,0,0.0145985401459854,0.0117911285794497,0.0162829870859068,0.00224592925322852,0.00112296462661426,0.0112296462661426,0.000561482313307131,0.0331274564851207,0.0072992700729927,0,0.00168444693992139,0.00280741156653565,0.0112296462661426,0,0,0,0,0,0,0,0,0,0.000561482313307131,0,0,0,0,0,23,30,6,0,24,14,7,2,7,8,20,0.012914093206064,0.0168444693992139,0.00336889387984278,0,0.0134755755193711,0.00786075238629983,0.00393037619314992,0.00112296462661426,0.00393037619314992,0.00449185850645705,0.0112296462661426,1781,1384,1780,5.01194375554167,0.000561482313307131,0,1781,0,1,0
"2016-05-01","Tunisia",31,5,34,2,28,4,0,24,27,20,1,6,23,6,43,13,1,2,30,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0153846153846154,0.00248138957816377,0.0168734491315136,0.000992555831265509,0.0138957816377171,0.00198511166253102,0,0.0119106699751861,0.0133995037220844,0.00992555831265509,0.000496277915632754,0.00297766749379653,0.0114143920595534,0.00297766749379653,0.0213399503722084,0.00645161290322581,0.000496277915632754,0.000992555831265509,0.0148883374689826,0.00794044665012407,0,0,0,0,0,0,0,0,0,0.000496277915632754,0,0,0,0,0,25,16,4,0,29,22,3,0,3,20,28,0.0124069478908189,0.00794044665012407,0.00198511166253102,0,0.0143920595533499,0.0109181141439206,0.00148883374689826,0,0.00148883374689826,0.00992555831265509,0.0138957816377171,2015,1562,2014,5.77835585972147,0.000496277915632754,0,2015,0,1,1
"2016-06-01","Tunisia",7,4,23,4,49,4,0,13,35,26,7,5,10,4,21,15,0,5,22,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00403923831506059,0.00230813618003462,0.0132717830351991,0.00230813618003462,0.0282746682054241,0.00230813618003462,0,0.00750144258511252,0.0201961915753029,0.015002885170225,0.00403923831506059,0.00288517022504328,0.00577034045008656,0.00230813618003462,0.0121177149451818,0.00865551067512983,0,0.00288517022504328,0.0126947489901904,0.00865551067512983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7,4,0,28,14,6,2,3,10,9,0.0155799192152337,0.00403923831506059,0.00230813618003462,0,0.0161569532602424,0.00807847663012118,0.00346220427005193,0.00115406809001731,0.00173110213502597,0.00577034045008656,0.0051933064050779,1733,1360,1733,5.69008062857216,0,0,1733,0,1,0
"2016-07-01","Tunisia",11,3,25,2,23,12,0,24,20,21,3,7,17,1,24,19,1,1,23,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00814211695040711,0.00222057735011103,0.0185048112509252,0.00148038490007402,0.0170244263508512,0.00888230940044412,0,0.0177646188008882,0.0148038490007402,0.0155440414507772,0.00222057735011103,0.00518134715025907,0.0125832716506292,0.00074019245003701,0.0177646188008882,0.0140636565507032,0.00074019245003701,0.00074019245003701,0.0170244263508512,0.0133234641006662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,4,0,15,15,3,1,6,12,15,0.0133234641006662,0.00592153960029608,0.00296076980014804,0,0.0111028867505551,0.0111028867505551,0.00222057735011103,0.00074019245003701,0.00444115470022206,0.00888230940044412,0.0111028867505551,1351,1009,1351,6.79377109369381,0,0,1351,0,1,0
"2016-08-01","Tunisia",6,2,25,1,16,4,0,9,31,7,0,4,31,2,21,11,2,7,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00348432055749129,0.00116144018583043,0.0145180023228804,0.000580720092915215,0.00929152148664344,0.00232288037166086,0,0.00522648083623693,0.0180023228803717,0.0040650406504065,0,0.00232288037166086,0.0180023228803717,0.00116144018583043,0.0121951219512195,0.00638792102206736,0.00116144018583043,0.0040650406504065,0.00987224157955865,0.00754936120789779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,4,0,16,7,1,1,1,11,17,0.00871080139372822,0.00174216027874564,0.00232288037166086,0,0.00929152148664344,0.0040650406504065,0.000580720092915215,0.000580720092915215,0.000580720092915215,0.00638792102206736,0.00987224157955865,1722,1459,1722,5.24387005532406,0.000580720092915215,0,1722,0,1,0
"2016-09-01","Tunisia",19,5,23,6,17,6,0,24,27,9,2,8,22,4,29,5,1,7,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117719950433705,0.00309789343246592,0.0142503097893432,0.00371747211895911,0.0105328376703841,0.00371747211895911,0,0.0148698884758364,0.016728624535316,0.00557620817843866,0.00123915737298637,0.00495662949194548,0.0136307311028501,0.00247831474597274,0.0179677819083024,0.00309789343246592,0.000619578686493185,0.00433705080545229,0.00185873605947955,0.00681536555142503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,15,1,1,17,11,5,0,5,18,15,0.0198265179677819,0.00929368029739777,0.000619578686493185,0.000619578686493185,0.0105328376703841,0.00681536555142503,0.00309789343246592,0,0.00309789343246592,0.0111524163568773,0.00929368029739777,1614,1278,1614,5.91809266066645,0,0,1614,0,1,0
"2016-10-01","Tunisia",19,3,34,3,25,2,0,14,21,17,3,7,21,6,52,9,0,3,5,13,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.0107042253521127,0.00169014084507042,0.0191549295774648,0.00169014084507042,0.0140845070422535,0.00112676056338028,0,0.00788732394366197,0.011830985915493,0.00957746478873239,0.00169014084507042,0.00394366197183099,0.011830985915493,0.00338028169014085,0.0292957746478873,0.00507042253521127,0,0.00169014084507042,0.0028169014084507,0.00732394366197183,0,0,0.000563380281690141,0,0,0,0,0.000563380281690141,0,0.000563380281690141,0,0,0,0,0,46,14,2,0,26,21,4,1,6,15,21,0.0259154929577465,0.00788732394366197,0.00112676056338028,0,0.0146478873239437,0.011830985915493,0.00225352112676056,0.000563380281690141,0.00338028169014085,0.00845070422535211,0.011830985915493,1775,1370,1772,5.06568590118656,0.00169014084507042,0,1775,0,1,0
"2016-11-01","Tunisia",18,2,24,3,24,4,0,17,38,21,1,6,21,3,39,11,2,4,5,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0101237345331834,0.00112485939257593,0.0134983127109111,0.00168728908886389,0.0134983127109111,0.00224971878515186,0,0.00956130483689539,0.0213723284589426,0.0118110236220472,0.000562429696287964,0.00337457817772778,0.0118110236220472,0.00168728908886389,0.0219347581552306,0.0061867266591676,0.00112485939257593,0.00224971878515186,0.00281214848143982,0.00337457817772778,0,0,0,0,0,0,0,0.000562429696287964,0,0.000562429696287964,0,0,0,0,0,35,18,7,0,32,21,7,3,2,15,20,0.0196850393700787,0.0101237345331834,0.00393700787401575,0,0.0179977502812148,0.0118110236220472,0.00393700787401575,0.00168728908886389,0.00112485939257593,0.00843644544431946,0.0112485939257593,1778,1382,1776,5.21047013959199,0.000562429696287964,0.000562429696287964,1778,0,1,0
"2016-12-01","Tunisia",57,3,6,2,26,4,0,30,35,26,1,6,13,2,66,17,3,6,14,14,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0.03,0.00157894736842105,0.00315789473684211,0.00105263157894737,0.0136842105263158,0.00210526315789474,0,0.0157894736842105,0.0184210526315789,0.0136842105263158,0.000526315789473684,0.00315789473684211,0.0068421052631579,0.00105263157894737,0.0347368421052632,0.00894736842105263,0.00157894736842105,0.00315789473684211,0.00736842105263158,0.00736842105263158,0,0.000526315789473684,0,0,0,0,0.000526315789473684,0,0,0.000526315789473684,0.00105263157894737,0,0,0,0,46,9,2,0,32,28,6,2,3,10,15,0.0242105263157895,0.00473684210526316,0.00105263157894737,0,0.0168421052631579,0.0147368421052632,0.00315789473684211,0.00105263157894737,0.00157894736842105,0.00526315789473684,0.00789473684210526,1900,1423,1895,7.33285386078271,0.00210526315789474,0.00105263157894737,1900,0,1,1
"2017-01-01","Tunisia",23,0,40,3,39,5,0,18,29,21,5,6,14,6,63,6,1,6,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104119511090991,0,0.0181077410593029,0.00135808057944771,0.0176550475328203,0.00226346763241286,0,0.00814848347668628,0.0131281122679946,0.009506564056134,0.00226346763241286,0.00271616115889543,0.006337709370756,0.00271616115889543,0.028519692168402,0.00271616115889543,0.000452693526482571,0.00271616115889543,0.00407424173834314,0.0117700316885469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,29,7,0,23,23,5,1,4,16,27,0.0162969669533726,0.0131281122679946,0.003168854685378,0,0.0104119511090991,0.0104119511090991,0.00226346763241286,0.000452693526482571,0.00181077410593029,0.00724309642372114,0.0122227252150294,2209,1731,2209,5.48693600225745,0.000452693526482571,0,2209,0,1,0
"2017-02-01","Tunisia",19,1,30,5,47,5,1,24,26,25,2,2,24,4,69,16,2,4,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00949050949050949,0.0004995004995005,0.014985014985015,0.0024975024975025,0.0234765234765235,0.0024975024975025,0.0004995004995005,0.011988011988012,0.012987012987013,0.0124875124875125,0.000999000999000999,0.000999000999000999,0.011988011988012,0.001998001998002,0.0344655344655345,0.00799200799200799,0.000999000999000999,0.001998001998002,0.00549450549450549,0.00699300699300699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,29,7,0,25,19,11,0,1,13,22,0.0224775224775225,0.0144855144855145,0.0034965034965035,0,0.0124875124875125,0.00949050949050949,0.00549450549450549,0,0.0004995004995005,0.00649350649350649,0.010989010989011,2002,1519,2002,5.32970768344732,0,0,2002,0,1,1
"2017-03-01","Tunisia",10,1,28,5,44,3,1,32,57,31,2,6,27,2,73,14,0,4,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00447227191413238,0.000447227191413238,0.0125223613595707,0.00223613595706619,0.0196779964221825,0.00134168157423971,0.000447227191413238,0.0143112701252236,0.0254919499105546,0.0138640429338104,0.000894454382826476,0.00268336314847943,0.0120751341681574,0.000894454382826476,0.0326475849731664,0.00626118067978533,0,0.00178890876565295,0.00491949910554562,0.009391771019678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,36,4,0,33,31,7,2,5,9,19,0.0196779964221825,0.0161001788908766,0.00178890876565295,0,0.0147584973166369,0.0138640429338104,0.00313059033989267,0.000894454382826476,0.00223613595706619,0.00402504472271914,0.00849731663685152,2236,1691,2235,4.90216443352143,0,0.000447227191413238,2236,0,1,0
"2017-04-01","Tunisia",8,10,24,2,27,7,0,16,24,26,2,4,11,2,79,11,0,2,10,14,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.00583941605839416,0.0072992700729927,0.0175182481751825,0.00145985401459854,0.0197080291970803,0.00510948905109489,0,0.0116788321167883,0.0175182481751825,0.018978102189781,0.00145985401459854,0.00291970802919708,0.00802919708029197,0.00145985401459854,0.0576642335766423,0.00802919708029197,0,0.00145985401459854,0.0072992700729927,0.0102189781021898,0,0,0.00145985401459854,0.00072992700729927,0,0,0,0,0,0,0,0,0,0,0,27,15,2,0,27,23,7,0,5,10,11,0.0197080291970803,0.0109489051094891,0.00145985401459854,0,0.0197080291970803,0.0167883211678832,0.00510948905109489,0,0.00364963503649635,0.0072992700729927,0.00802919708029197,1370,976,1367,6.51689761158089,0.00291970802919708,0,1370,0,1,0
"2017-05-01","Tunisia",28,0,29,5,27,6,0,18,49,33,3,4,61,4,75,26,0,1,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171779141104294,0,0.0177914110429448,0.00306748466257669,0.0165644171779141,0.00368098159509202,0,0.0110429447852761,0.0300613496932515,0.0202453987730061,0.00184049079754601,0.00245398773006135,0.0374233128834356,0.00245398773006135,0.0460122699386503,0.0159509202453988,0,0.000613496932515337,0.0098159509202454,0.00674846625766871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,13,0,38,9,11,3,5,8,14,0.0220858895705521,0.00429447852760736,0.00797546012269939,0,0.0233128834355828,0.00552147239263804,0.00674846625766871,0.00184049079754601,0.00306748466257669,0.0049079754601227,0.00858895705521472,1630,1129,1630,5.2915532044922,0.000613496932515337,0,1630,0,1,0
"2017-06-01","Tunisia",10,3,11,2,24,7,0,17,42,18,5,6,35,4,30,11,0,3,16,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.00755857898715042,0.00226757369614512,0.00831443688586546,0.00151171579743008,0.018140589569161,0.00529100529100529,0,0.0128495842781557,0.0317460317460317,0.0136054421768707,0.00377928949357521,0.00453514739229025,0.0264550264550265,0.00302343159486017,0.0226757369614512,0.00831443688586546,0,0.00226757369614512,0.0120937263794407,0.0136054421768707,0,0,0,0,0,0,0,0,0,0.000755857898715042,0,0,0,0,0.000755857898715042,40,10,6,0,24,10,3,2,1,11,11,0.0302343159486017,0.00755857898715042,0.00453514739229025,0,0.018140589569161,0.00755857898715042,0.00226757369614512,0.00151171579743008,0.000755857898715042,0.00831443688586546,0.00831443688586546,1323,968,1321,5.85182102284109,0.00151171579743008,0.000755857898715042,1323,0,1,0
"2017-07-01","Tunisia",14,3,26,6,14,2,1,15,25,47,2,3,26,6,40,9,0,5,9,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00956937799043062,0.00205058099794942,0.0177717019822283,0.00410116199589884,0.00956937799043062,0.00136705399863295,0.000683526999316473,0.0102529049897471,0.0170881749829118,0.0321257689678742,0.00136705399863295,0.00205058099794942,0.0177717019822283,0.00410116199589884,0.0273410799726589,0.00615174299384826,0,0.00341763499658236,0.00615174299384826,0.00546821599453178,0,0,0,0,0,0.000683526999316473,0,0,0,0,0,0,0,0,0,35,19,4,0,17,12,1,1,2,9,16,0.0239234449760766,0.012987012987013,0.00273410799726589,0,0.01161995898838,0.00820232399179768,0.000683526999316473,0.000683526999316473,0.00136705399863295,0.00615174299384826,0.0109364319890636,1463,1102,1462,5.35050288142545,0,0.000683526999316473,1463,0,1,0
"2017-08-01","Tunisia",10,1,38,7,13,2,0,26,23,12,1,4,14,9,21,14,1,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00811688311688312,0.000811688311688312,0.0308441558441558,0.00568181818181818,0.0105519480519481,0.00162337662337662,0,0.0211038961038961,0.0186688311688312,0.00974025974025974,0.000811688311688312,0.00324675324675325,0.0113636363636364,0.00730519480519481,0.0170454545454545,0.0113636363636364,0.000811688311688312,0.000811688311688312,0.00730519480519481,0.00811688311688312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,7,4,0,10,20,8,2,0,11,11,0.0316558441558442,0.00568181818181818,0.00324675324675325,0,0.00811688311688312,0.0162337662337662,0.00649350649350649,0.00162337662337662,0,0.00892857142857143,0.00892857142857143,1232,914,1232,5.20696939257052,0,0,1232,0,1,0
