"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","kyivpost.com","kyivindependent.com"
"2012-11-01","Ukraine",27,8,530,185,126,4,5,112,213,176,4,15,69,5,68,59,1,26,10,29,0,0,0,0,0,0,3,0,0,0,16,0,0,4,5,6,1,1,0,0,8,0,0.00408163265306122,0.00120937263794407,0.0801209372637944,0.0279667422524565,0.019047619047619,0.000604686318972033,0.000755857898715042,0.0169312169312169,0.0321995464852608,0.0266061980347695,0.000604686318972033,0.00226757369614512,0.0104308390022676,0.000755857898715042,0.0102796674225246,0.00891912320483749,0.000151171579743008,0.00393046107331822,0.00151171579743008,0.00438397581254724,0,0,0,0,0,0,0.000453514739229025,0,0,0,0.00241874527588813,0,0,0.000604686318972033,0.000755857898715042,0.00090702947845805,0.000151171579743008,0.000151171579743008,0,0,0.00120937263794407,0,64,64,29,0,144,141,5,1,5,48,98,0.00967498110355253,0.00967498110355253,0.00438397581254724,0,0.0217687074829932,0.0213151927437642,0.000755857898715042,0.000151171579743008,0.000755857898715042,0.0072562358276644,0.0148148148148148,6615,4421,6571,7.01105424478006,0.00831443688586546,0.00136054421768707,6615,1,0
"2012-12-01","Ukraine",20,9,185,12,118,1,1,238,113,107,5,21,36,5,38,78,2,10,25,44,1,0,0,0,0,2,1,5,0,0,12,1,1,1,2,7,1,0,1,0,5,0,0.00323991576219018,0.00145796209298558,0.0299692208002592,0.00194394945731411,0.0191155029969221,0.000161995788109509,0.000161995788109509,0.0385549975700632,0.0183055240563745,0.0173335493277175,0.000809978940547546,0.00340191155029969,0.00583184837194233,0.000809978940547546,0.00615583994816135,0.0126356714725417,0.000323991576219018,0.00161995788109509,0.00404989470273773,0.0071278146768184,0.000161995788109509,0,0,0,0,0.000323991576219018,0.000161995788109509,0.000809978940547546,0,0,0.00194394945731411,0.000161995788109509,0.000161995788109509,0.000161995788109509,0.000323991576219018,0.00113397051676656,0.000161995788109509,0,0.000161995788109509,0,0.000809978940547546,0,49,61,18,0,103,93,8,2,8,76,106,0.00793779361736595,0.00988174307468006,0.00291592418597116,0,0.0166855661752794,0.0150656082941844,0.00129596630487607,0.000323991576219018,0.00129596630487607,0.0123116798963227,0.017171553539608,6173,4619,6133,5.44628226907109,0.00842378098169448,0.000485987364328527,6173,1,0
"2013-01-01","Ukraine",24,6,107,14,124,5,1,135,178,88,3,7,48,16,48,42,10,9,11,41,0,0,0,0,1,3,3,4,0,0,17,0,1,0,2,6,0,0,0,1,7,0,0.00417972831765935,0.00104493207941484,0.0186346220828979,0.00243817485196796,0.0215952629745733,0.000870776732845698,0.00017415534656914,0.0235109717868339,0.0309996516893069,0.0153256704980843,0.000522466039707419,0.00121908742598398,0.00835945663531871,0.00278648554510623,0.00835945663531871,0.00731452455590387,0.0017415534656914,0.00156739811912226,0.00191570881226054,0.00714036920933473,0,0,0,0,0.00017415534656914,0.000522466039707419,0.000522466039707419,0.000696621386276559,0,0,0.00296064089167537,0,0.00017415534656914,0,0.000348310693138279,0.00104493207941484,0,0,0,0.00017415534656914,0.00121908742598398,0,55,51,20,0,125,89,8,5,4,63,106,0.00957854406130268,0.00888192267502612,0.00348310693138279,0,0.0217694183211425,0.0154998258446534,0.00139324277255312,0.000870776732845698,0.000696621386276559,0.0109717868338558,0.0184604667363288,5742,4353,5697,5.97624597484811,0.0120167189132706,0.000870776732845698,5742,1,0
"2013-02-01","Ukraine",42,9,136,24,154,5,0,232,175,108,1,5,45,16,59,45,8,9,18,29,1,1,0,0,0,1,0,2,0,0,14,0,0,0,7,1,0,0,0,1,6,1,0.00667302192564347,0.00142993326978074,0.0216078805211312,0.00381315538608198,0.0244677470606927,0.000794407372100413,0,0.0368605020654592,0.0278042580235145,0.0171591992373689,0.000158881474420083,0.000794407372100413,0.00714966634890372,0.00254210359072132,0.00937400699078487,0.00714966634890372,0.00127105179536066,0.00142993326978074,0.00285986653956149,0.0046075627581824,0.000158881474420083,0.000158881474420083,0,0,0,0.000158881474420083,0,0.000317762948840165,0,0,0.00222434064188116,0,0,0,0.00111217032094058,0.000158881474420083,0,0,0,0.000158881474420083,0.000953288846520496,0.000158881474420083,55,78,25,0,140,70,9,10,2,47,90,0.00873848109310454,0.0123927550047664,0.00397203686050207,0,0.0222434064188116,0.0111217032094058,0.00142993326978074,0.00158881474420083,0.000317762948840165,0.00746742929774388,0.0142993326978074,6294,4700,6259,5.8168188401857,0.0103272958373054,0.000158881474420083,6294,1,0
"2013-03-01","Ukraine",22,3,166,24,153,15,0,237,161,100,6,12,35,11,43,57,2,15,10,38,1,0,0,0,1,2,5,11,4,0,12,5,0,1,3,3,0,0,0,1,8,0,0.00331525015069319,0.000452079566003617,0.0250150693188668,0.00361663652802893,0.0230560578661844,0.00226039783001808,0,0.0357142857142857,0.0242616033755274,0.0150693188667872,0.000904159132007233,0.00180831826401447,0.00527426160337553,0.00165762507534659,0.00647980711271851,0.00858951175406872,0.000301386377335744,0.00226039783001808,0.00150693188667872,0.00572634116937914,0.000150693188667872,0,0,0,0.000150693188667872,0.000301386377335744,0.000753465943339361,0.00165762507534659,0.000602772754671489,0,0.00180831826401447,0.000753465943339361,0,0.000150693188667872,0.000452079566003617,0.000452079566003617,0,0,0,0.000150693188667872,0.00120554550934298,0,54,49,16,0,126,85,9,4,10,51,126,0.0081374321880651,0.00738396624472574,0.00241109101868596,0,0.0189873417721519,0.0128089210367691,0.00135623869801085,0.000602772754671489,0.00150693188667872,0.00768535262206148,0.0189873417721519,6636,5034,6579,5.18331260768682,0.0120554550934298,0.000452079566003617,6636,1,0
"2013-04-01","Ukraine",34,20,138,22,138,13,3,274,194,138,4,12,57,21,87,67,4,8,10,45,5,1,0,0,0,2,2,0,0,0,13,2,0,0,7,8,0,2,0,2,8,1,0.0047752808988764,0.00280898876404494,0.0193820224719101,0.00308988764044944,0.0193820224719101,0.00182584269662921,0.000421348314606742,0.0384831460674157,0.027247191011236,0.0193820224719101,0.000561797752808989,0.00168539325842697,0.00800561797752809,0.00294943820224719,0.0122191011235955,0.00941011235955056,0.000561797752808989,0.00112359550561798,0.00140449438202247,0.00632022471910112,0.000702247191011236,0.000140449438202247,0,0,0,0.000280898876404494,0.000280898876404494,0,0,0,0.00182584269662921,0.000280898876404494,0,0,0.00098314606741573,0.00112359550561798,0,0.000280898876404494,0,0.000280898876404494,0.00112359550561798,0.000140449438202247,75,65,17,0,136,121,6,4,7,60,100,0.0105337078651685,0.00912921348314607,0.0023876404494382,0,0.0191011235955056,0.0169943820224719,0.000842696629213483,0.000561797752808989,0.00098314606741573,0.00842696629213483,0.0140449438202247,7120,5292,7067,6.49193263253725,0.00997191011235955,0.00182584269662921,7120,1,0
"2013-05-01","Ukraine",42,29,134,11,92,2,0,168,115,100,2,13,26,15,103,30,2,12,12,62,0,1,1,0,1,8,2,4,0,0,12,0,0,1,8,6,0,0,0,0,7,0,0.00774479070625115,0.0053475935828877,0.0247095703485156,0.00202839756592292,0.0169647796422644,0.000368799557440531,0,0.0309791628250046,0.0212059745528305,0.0184399778720266,0.000368799557440531,0.00239719712336345,0.0047943942467269,0.00276599668080398,0.0189931772081873,0.00553199336160797,0.000368799557440531,0.00221279734464319,0.00221279734464319,0.0114327862806565,0,0.000184399778720266,0.000184399778720266,0,0.000184399778720266,0.00147519822976212,0.000368799557440531,0.000737599114881062,0,0,0.00221279734464319,0,0,0.000184399778720266,0.00147519822976212,0.00110639867232159,0,0,0,0,0.00129079845104186,0,61,35,22,0,89,77,3,2,4,57,103,0.0112483865019362,0.00645399225520929,0.00405679513184584,0,0.0164115803061036,0.0141987829614604,0.000553199336160797,0.000368799557440531,0.000737599114881062,0.0105107873870551,0.0189931772081873,5423,4034,5372,5.64762203642744,0.0103263876083349,0.00202839756592292,5423,1,0
"2013-06-01","Ukraine",29,9,122,26,125,6,0,240,100,112,2,7,47,10,41,23,2,7,13,35,1,0,0,0,2,0,2,1,0,0,3,0,1,1,6,4,0,0,0,0,3,0,0.00515280739161336,0.00159914712153518,0.0216773276474769,0.00461975835110163,0.0222103766879886,0.00106609808102345,0,0.0426439232409382,0.0177683013503909,0.0199004975124378,0.000355366027007818,0.00124378109452736,0.00835110163468372,0.00177683013503909,0.00728500355366027,0.00408670931058991,0.000355366027007818,0.00124378109452736,0.00230987917555082,0.00621890547263682,0.000177683013503909,0,0,0,0.000355366027007818,0,0.000355366027007818,0.000177683013503909,0,0,0.000533049040511727,0,0.000177683013503909,0.000177683013503909,0.00106609808102345,0.000710732054015636,0,0,0,0,0.000533049040511727,0,48,73,19,0,95,96,4,1,12,44,74,0.00852878464818763,0.0129708599857854,0.00337597725657427,0,0.0168798862828714,0.0170575692963753,0.000710732054015636,0.000177683013503909,0.00213219616204691,0.007818052594172,0.0131485429992893,5628,4256,5604,5.27225863347669,0.00657427149964463,0.000710732054015636,5628,1,0
"2013-07-01","Ukraine",53,7,96,12,100,5,2,171,150,77,3,12,52,32,95,40,12,14,22,89,2,2,0,0,0,7,3,6,0,0,9,0,1,0,2,8,1,2,0,3,26,1,0.00844756136436085,0.00111571565189672,0.0153012432260121,0.00191265540325151,0.015938795027096,0.000796939751354798,0.000318775900541919,0.0272553394963341,0.0239081925406439,0.0122728721708639,0.000478163850812879,0.00191265540325151,0.0082881734140899,0.0051004144086707,0.0151418552757412,0.00637551801083838,0.00191265540325151,0.00223143130379343,0.00350653490596111,0.0141855275741154,0.000318775900541919,0.000318775900541919,0,0,0,0.00111571565189672,0.000478163850812879,0.000956327701625757,0,0,0.00143449155243864,0,0.00015938795027096,0,0.000318775900541919,0.00127510360216768,0.00015938795027096,0.000318775900541919,0,0.000478163850812879,0.00414408670704495,0.00015938795027096,89,83,26,3,155,125,13,8,9,76,143,0.0141855275741154,0.0132291998724896,0.00414408670704495,0.000478163850812879,0.0247051322919987,0.0199234937838699,0.00207204335352247,0.00127510360216768,0.00143449155243864,0.0121134842205929,0.0227924768887472,6274,4567,6201,5.9211381870988,0.0125916480714058,0.00111571565189672,6274,1,0
"2013-08-01","Ukraine",39,12,57,3,106,0,0,188,153,65,3,12,58,25,39,10,9,16,15,51,0,1,0,0,0,7,7,0,0,0,8,1,0,0,12,2,0,2,0,14,106,1,0.0071454745327959,0.00219860754855258,0.0104433858556248,0.000549651887138146,0.0194210333455478,0,0,0.0344448515939905,0.0280322462440454,0.0119091242213265,0.000549651887138146,0.00219860754855258,0.0106266031513375,0.00458043239281788,0.0071454745327959,0.00183217295712715,0.00164895566141444,0.00293147673140344,0.00274825943569073,0.00934408208134848,0,0.000183217295712715,0,0,0,0.00128252106998901,0.00128252106998901,0,0,0,0.00146573836570172,0.000183217295712715,0,0,0.00219860754855258,0.000366434591425431,0,0.000366434591425431,0,0.00256504213997801,0.0194210333455478,0.000183217295712715,75,46,30,0,118,67,4,6,5,61,123,0.0137412971784536,0.0084279956027849,0.00549651887138146,0,0.0216196408941004,0.0122755588127519,0.000732869182850861,0.00109930377427629,0.000916086478563576,0.0111762550384756,0.022535727372664,5458,4131,5297,5.49061364459605,0.0331623305240015,0.00183217295712715,5458,1,0
"2013-09-01","Ukraine",20,8,111,11,100,3,0,147,106,123,1,10,34,16,25,16,4,32,8,35,5,0,0,0,0,5,12,2,0,0,15,1,2,2,4,6,0,0,0,13,31,0,0.00368663594470046,0.00147465437788018,0.0204608294930876,0.00202764976958525,0.0184331797235023,0.000552995391705069,0,0.0270967741935484,0.0195391705069124,0.0226728110599078,0.000184331797235023,0.00184331797235023,0.00626728110599078,0.00294930875576037,0.00460829493087558,0.00294930875576037,0.000737327188940092,0.00589861751152074,0.00147465437788018,0.00645161290322581,0.000921658986175115,0,0,0,0,0.000921658986175115,0.00221198156682028,0.000368663594470046,0,0,0.00276497695852535,0.000184331797235023,0.000368663594470046,0.000368663594470046,0.000737327188940092,0.00110599078341014,0,0,0,0.0023963133640553,0.00571428571428571,0,58,66,13,0,100,111,6,3,12,49,96,0.0106912442396313,0.0121658986175115,0.0023963133640553,0,0.0184331797235023,0.0204608294930876,0.00110599078341014,0.000552995391705069,0.00221198156682028,0.00903225806451613,0.0176958525345622,5425,4135,5327,5.03917105521397,0.0169585253456221,0.00387096774193548,5425,1,0
