"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","intelligence_counterintelligence","investment","joint_security_force_exercise","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","security_force_facility_presence","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","intelligence_counterintelligenceNorm","investmentNorm","joint_security_force_exerciseNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","security_force_facility_presenceNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","bd.pratidin.com","kalerkantho.com","jugantor.com","dailyjanakantha.com"
"2021-11-01","Bangladesh",197,10,929,100,70,27,1,360,202,46,4,14,102,47,549,70,9,31,295,359,1,1,0,0,0,0,5,3,2,0,3,2,0,0,1,6,3,1,2,0,5,0,0.009037111794119,0.000458736639295381,0.0426166337905408,0.00458736639295381,0.00321115647506766,0.00123858892609753,4.5873663929538e-05,0.0165145190146337,0.00926648011376669,0.00211018854075875,0.000183494655718152,0.000642231295013533,0.00467911372081288,0.00215606220468829,0.0251846414973164,0.00321115647506766,0.000412862975365842,0.00142208358181568,0.0135327308592137,0.0164686453507042,4.5873663929538e-05,4.5873663929538e-05,0,0,0,0,0.00022936831964769,0.000137620991788614,9.17473278590761e-05,0,0.000137620991788614,9.17473278590761e-05,0,0,4.5873663929538e-05,0.000275241983577228,0.000137620991788614,4.5873663929538e-05,9.17473278590761e-05,0,0.00022936831964769,0,691,58,85,0,323,70,29,13,23,502,246,0.0316987017753108,0.00266067250791321,0.00389926143401073,0,0.0148171934492408,0.00321115647506766,0.0013303362539566,0.000596357631083995,0.00105509427037938,0.0230285792926281,0.0112849213266664,21799,16477,21764,20.0736955121273,0.000825725950731685,0.00151383090967476,21799,1,1,1,1
"2021-12-01","Bangladesh",158,8,558,52,81,17,5,383,208,34,7,24,101,51,323,92,11,38,248,263,2,0,2,0,0,1,18,1,0,1,2,0,3,0,4,9,2,1,0,0,9,1,0.00780786716742439,0.000395335046451868,0.0275746194900178,0.00256967780193714,0.00400276734532516,0.000840086973710219,0.000247084404032417,0.0189266653488832,0.0102787112077486,0.00168017394742044,0.000345918165645384,0.0011860051393556,0.00499110496145483,0.00252026092113066,0.0159616525004942,0.00454635303419648,0.000543585688871318,0.00187784147064637,0.0122553864400079,0.0129966396521052,9.8833761612967e-05,0,9.8833761612967e-05,0,0,4.94168808064835e-05,0.000889503854516703,4.94168808064835e-05,0,4.94168808064835e-05,9.8833761612967e-05,0,0.00014825064241945,0,0.000197667523225934,0.000444751927258351,9.8833761612967e-05,4.94168808064835e-05,0,0,0.000444751927258351,4.94168808064835e-05,586,54,58,1,262,67,26,10,10,409,210,0.0289582921525993,0.00266851156355011,0.00286617908677604,4.94168808064835e-05,0.0129472227712987,0.00331093101403439,0.00128483890096857,0.000494168808064835,0.000494168808064835,0.0202115042498517,0.0103775449693615,20236,15990,20180,20.161877000918,0.00172959082822692,0.00163075706661396,20236,1,1,1,1
"2022-01-01","Bangladesh",214,7,739,66,91,14,1,448,227,84,17,31,156,48,412,56,12,14,243,273,0,0,1,0,1,3,11,2,0,2,0,0,0,0,2,10,5,5,1,0,7,3,0.00984270076349922,0.000321957501609788,0.0339895133842333,0.00303559930089228,0.00418544752092724,0.000643915003219575,4.59939288013982e-05,0.0206052801030264,0.0104406218379174,0.00386349001931745,0.00078189678962377,0.00142581179284334,0.00717505289301812,0.00220770858246711,0.0189494986661761,0.0025756600128783,0.000551927145616779,0.000643915003219575,0.0111765246987398,0.0125563425627817,0,0,4.59939288013982e-05,0,4.59939288013982e-05,0.000137981786404195,0.00050593321681538,9.19878576027964e-05,0,9.19878576027964e-05,0,0,0,0,9.19878576027964e-05,0.000459939288013982,0.000229969644006991,0.000229969644006991,4.59939288013982e-05,0,0.000321957501609788,0.000137981786404195,751,65,88,2,307,107,18,16,14,464,278,0.0345414405298501,0.00298960537209088,0.00404746573452304,9.19878576027964e-05,0.0141201361420293,0.00492135038174961,0.000827890718425168,0.000735902860822371,0.000643915003219575,0.0213411829638488,0.0127863122067887,21742,16656,21689,19.7927608505123,0.00179376322325453,0.00114984822003496,21742,1,1,1,1
"2022-02-01","Bangladesh",177,8,287,39,56,10,4,288,196,23,13,31,101,26,281,45,7,15,194,216,1,0,2,2,1,10,43,6,1,0,6,1,2,1,2,25,24,6,2,0,16,0,0.00954023608041826,0.000431197110979356,0.0154691963563844,0.00210208591602436,0.0030183797768555,0.000538996388724196,0.000215598555489678,0.0155230959952568,0.0105643292189942,0.00123969169406565,0.000700695305341454,0.00167088880504501,0.00544386352611438,0.00140139061068291,0.0151457985231499,0.00242548374925888,0.000377297472106937,0.000808494583086293,0.0104565299412494,0.0116423219964426,5.38996388724196e-05,0,0.000107799277744839,0.000107799277744839,5.38996388724196e-05,0.000538996388724196,0.00231768447151404,0.000323397833234517,5.38996388724196e-05,0,0.000323397833234517,5.38996388724196e-05,0.000107799277744839,5.38996388724196e-05,0.000107799277744839,0.00134749097181049,0.00129359133293807,0.000323397833234517,0.000107799277744839,0,0.000862394221958713,0,716,50,72,3,256,57,20,11,10,493,224,0.0385921414326524,0.00269498194362098,0.00388077399881421,0.000161698916617259,0.0137983075513394,0.00307227941572791,0.00107799277744839,0.000592896027596615,0.000538996388724196,0.0265725219641028,0.012073519107422,18553,14751,18402,18.9636747718126,0.00830054438635261,0.00113189241632081,18553,1,1,1,1
"2022-03-01","Bangladesh",151,5,265,33,106,26,1,291,180,34,8,36,121,23,562,28,8,13,264,274,8,0,2,6,2,18,60,24,2,3,9,4,13,3,6,41,64,7,3,3,33,0,0.00759557344064386,0.000251509054325956,0.0133299798792757,0.00165995975855131,0.00533199195171026,0.00130784708249497,5.03018108651911e-05,0.0146378269617706,0.00905432595573441,0.0017102615694165,0.000402414486921529,0.00181086519114688,0.00608651911468813,0.0011569416498994,0.0282696177062374,0.00140845070422535,0.000402414486921529,0.000653923541247485,0.0132796780684105,0.0137826961770624,0.000402414486921529,0,0.000100603621730382,0.000301810865191147,0.000100603621730382,0.000905432595573441,0.00301810865191147,0.00120724346076459,0.000100603621730382,0.000150905432595573,0.00045271629778672,0.000201207243460765,0.000653923541247485,0.000150905432595573,0.000301810865191147,0.00206237424547284,0.00321931589537223,0.000352112676056338,0.000150905432595573,0.000150905432595573,0.00165995975855131,0,671,64,69,1,276,52,19,9,13,521,273,0.0337525150905433,0.00321931589537223,0.00347082494969819,5.03018108651911e-05,0.0138832997987928,0.00261569416498994,0.000955734406438632,0.00045271629778672,0.000653923541247485,0.0262072434607646,0.0137323943661972,19880,15603,19569,19.2195507648891,0.0152414486921529,0.00201207243460765,19880,1,1,1,1
"2022-04-01","Bangladesh",243,6,206,11,63,26,1,388,202,52,10,30,127,35,327,32,6,27,258,290,3,0,2,2,1,16,43,10,3,2,7,3,1,0,4,21,30,8,2,1,23,1,0.0117114077786881,0.000289170562436744,0.00992818931032821,0.000530146031134031,0.00303629090558581,0.00125307243722589,4.81950937394573e-05,0.0186996963709094,0.00973540893537038,0.00250614487445178,0.000481950937394573,0.00144585281218372,0.00612077690491108,0.00168682828088101,0.0157597956528025,0.00154224299966263,0.000289170562436744,0.00130126753096535,0.01243433418478,0.0139765771844426,0.000144585281218372,0,9.63901874789147e-05,9.63901874789147e-05,4.81950937394573e-05,0.000771121499831317,0.00207238903079666,0.000481950937394573,0.000144585281218372,9.63901874789147e-05,0.000337365656176201,0.000144585281218372,4.81950937394573e-05,0,0.000192780374957829,0.0010120969685286,0.00144585281218372,0.000385560749915659,9.63901874789147e-05,4.81950937394573e-05,0.00110848715600752,4.81950937394573e-05,857,53,80,0,322,51,26,15,11,502,300,0.0413031953347149,0.00255433996819124,0.00385560749915659,0,0.0155188201841053,0.00245794978071232,0.00125307243722589,0.00072292640609186,0.000530146031134031,0.0241939370572076,0.0144585281218372,20749,16332,20566,19.6115827503057,0.0085787266856234,0.00125307243722589,20749,1,1,1,1
"2022-05-01","Bangladesh",190,5,358,28,76,20,0,504,185,34,10,27,113,36,346,51,4,8,207,284,1,0,0,0,0,1,1,1,0,0,2,1,1,0,0,6,4,0,0,0,9,1,0.00971618511889542,0.000255689082076195,0.0183073382766556,0.00143185885962669,0.00388647404755817,0.00102275632830478,0,0.0257734594732805,0.00946049603681923,0.00173868575811813,0.000511378164152391,0.00138072104321145,0.00577857325492201,0.00184096139094861,0.0176936844796727,0.00260802863717719,0.000204551265660956,0.000409102531321913,0.0105855279979545,0.0145231398619279,5.11378164152391e-05,0,0,0,0,5.11378164152391e-05,5.11378164152391e-05,5.11378164152391e-05,0,0,0.000102275632830478,5.11378164152391e-05,5.11378164152391e-05,0,0,0.000306826898491434,0.000204551265660956,0,0,0,0.000460240347737152,5.11378164152391e-05,777,52,80,1,311,47,12,13,9,479,298,0.0397340833546408,0.00265916645359243,0.00409102531321913,5.11378164152391e-05,0.0159038609051394,0.00240347737151624,0.000613653796982869,0.000664791613398108,0.000460240347737152,0.0244950140628995,0.0152390692917412,19555,15136,19527,19.0002761765663,0.00143185885962669,0.000255689082076195,19555,1,1,1,1
"2022-06-01","Bangladesh",190,13,484,63,109,17,4,1400,203,54,7,26,137,45,442,54,6,14,256,239,1,0,0,0,1,4,1,0,0,0,4,0,1,0,5,7,2,0,1,0,7,0,0.00782214903252367,0.000535199670646357,0.0199258954302182,0.00259365994236311,0.00448744339234253,0.000699876492383697,0.00016467682173734,0.0576368876080692,0.00835734870317003,0.0022231370934541,0.000288184438040346,0.00107039934129271,0.00564018114450391,0.00185261424454508,0.0181967888019761,0.0022231370934541,0.000247015232606011,0.000576368876080692,0.0105393165911898,0.00983944009880609,4.11692054343351e-05,0,0,0,4.11692054343351e-05,0.00016467682173734,4.11692054343351e-05,0,0,0,0.00016467682173734,0,4.11692054343351e-05,0,0.000205846027171676,0.000288184438040346,8.23384108686702e-05,0,4.11692054343351e-05,0,0.000288184438040346,0,843,112,63,3,303,107,22,18,12,547,288,0.0347056401811445,0.00461095100864553,0.00259365994236311,0.000123507616303005,0.0124742692466035,0.00440510498147386,0.000905722519555373,0.000741045697818032,0.000494030465212021,0.0225195553725813,0.0118567311650885,24290,18337,24256,18.6736635971856,0.000699876492383697,0.00102923013585838,24290,1,1,1,1
"2022-07-01","Bangladesh",187,5,238,22,72,20,2,713,163,18,8,28,114,38,353,50,7,9,311,213,0,0,0,0,0,1,0,4,1,0,3,0,0,0,2,2,5,1,0,1,6,0,0.00927119484382747,0.000247892910262766,0.0117997025285077,0.00109072880515617,0.00356965790778384,0.000991571641051066,9.91571641051066e-05,0.0353495290034705,0.00808130887456619,0.000892414476945959,0.000396628656420426,0.00138820029747149,0.00565195835399108,0.00188398611799703,0.0175012394645513,0.00247892910262766,0.000347050074367873,0.00044620723847298,0.0154189390183441,0.0105602379771939,0,0,0,0,0,4.95785820525533e-05,0,0.000198314328210213,4.95785820525533e-05,0,0.00014873574615766,0,0,0,9.91571641051066e-05,9.91571641051066e-05,0.000247892910262766,4.95785820525533e-05,0,4.95785820525533e-05,0.00029747149231532,0,768,52,73,0,227,53,19,11,9,605,233,0.0380763510163609,0.00257808626673277,0.00361923648983639,0,0.0112543381259296,0.00262766484878532,0.000941993058998513,0.000545364402578086,0.00044620723847298,0.0299950421417947,0.0115518096182449,20170,15679,20144,18.8830323934817,0.000842835894893406,0.00059494298463064,20170,1,1,1,1
"2022-08-01","Bangladesh",182,9,215,19,68,33,3,436,215,51,6,38,103,54,667,34,14,21,270,339,0,0,1,0,0,6,3,1,1,1,3,1,0,0,2,4,5,0,0,0,7,0,0.00829232731911791,0.000410060142154183,0.00979588117368325,0.000865682522325497,0.00309823218516494,0.00150355385456534,0.000136686714051394,0.0198651357754693,0.00979588117368325,0.0023236741388737,0.000273373428102788,0.00173136504465099,0.00469291051576453,0.0024603608529251,0.0303900127574266,0.00154911609258247,0.00063787133223984,0.000956806998359759,0.0123018042646255,0.0154455986878075,0,0,4.55622380171314e-05,0,0,0.000273373428102788,0.000136686714051394,4.55622380171314e-05,4.55622380171314e-05,4.55622380171314e-05,0.000136686714051394,4.55622380171314e-05,0,0,9.11244760342628e-05,0.000182248952068526,0.000227811190085657,0,0,0,0.00031893566611992,0,924,77,72,2,375,60,30,19,21,527,308,0.0420995079278294,0.00350829232731912,0.00328048113723346,9.11244760342628e-05,0.0170858392564243,0.00273373428102788,0.00136686714051394,0.000865682522325497,0.000956806998359759,0.0240112994350282,0.0140331693092765,21948,16871,21913,20.1900395281625,0.000820120284308365,0.000865682522325497,21948,1,1,1,1
"2022-09-01","Bangladesh",183,8,410,43,99,30,1,501,237,32,11,30,114,47,479,45,6,14,242,341,1,2,0,0,1,1,3,1,0,0,1,1,0,1,2,2,2,1,1,0,5,1,0.00866108192531592,0.000378626532254248,0.0194046097780302,0.00203511761086658,0.00468550333664632,0.00141984949595343,4.7328316531781e-05,0.0237114865824223,0.0112168110180321,0.00151450612901699,0.000520611481849591,0.00141984949595343,0.00539542808462303,0.00222443087699371,0.0226702636187231,0.00212977424393014,0.000283969899190686,0.000662596431444933,0.011453452600691,0.0161389559373373,4.7328316531781e-05,9.46566330635619e-05,0,0,4.7328316531781e-05,4.7328316531781e-05,0.000141984949595343,4.7328316531781e-05,0,0,4.7328316531781e-05,4.7328316531781e-05,0,4.7328316531781e-05,9.46566330635619e-05,9.46566330635619e-05,9.46566330635619e-05,4.7328316531781e-05,4.7328316531781e-05,0,0.000236641582658905,4.7328316531781e-05,902,72,96,3,334,53,18,17,9,536,255,0.0426901415116664,0.00340763879028823,0.00454351838705097,0.000141984949595343,0.0158076577216148,0.00250840077618439,0.000851909697572057,0.000804581381040276,0.000425954848786029,0.0253679776610346,0.0120687207156041,21129,16106,21103,19.6607218641906,0.000804581381040276,0.000804581381040276,21129,1,1,1,1
