"date","country","arrest","censor","electionactivity","electionirregularities","cooperate","coup","defamationcase","disaster","legalaction","legalchange","martiallaw","mobilizesecurity","corruption","activism","protest","purge","raid","threaten","violencelethal","violencenonlethal","arms_transfer_security_aid_assistance","bribery_economic_corruption","diaspora_activation","diplomatic_mediation","diplomatic_recognition","diplomatic_sanction","diplomatic_statement","diplomatic_visit","economic_aid_assistance","investment","media_campaign_intervention","political_process_policy_intervention","professional_cultural_exchange","security_cooperation","surveillance","tech_transfer_investment","trade_agreement_exchange","trade_financial_sanction","transnational_organization_crime","arrestNorm","censorNorm","electionactivityNorm","electionirregularitiesNorm","cooperateNorm","coupNorm","defamationcaseNorm","disasterNorm","legalactionNorm","legalchangeNorm","martiallawNorm","mobilizesecurityNorm","corruptionNorm","activismNorm","protestNorm","purgeNorm","raidNorm","threatenNorm","violencelethalNorm","violencenonlethalNorm","arms_transfer_security_aid_assistanceNorm","bribery_economic_corruptionNorm","diaspora_activationNorm","diplomatic_mediationNorm","diplomatic_recognitionNorm","diplomatic_sanctionNorm","diplomatic_statementNorm","diplomatic_visitNorm","economic_aid_assistanceNorm","investmentNorm","media_campaign_interventionNorm","political_process_policy_interventionNorm","professional_cultural_exchangeNorm","security_cooperationNorm","surveillanceNorm","tech_transfer_investmentNorm","trade_agreement_exchangeNorm","trade_financial_sanctionNorm","transnational_organization_crimeNorm","ncr_arrest","ncr_cooperate","ncr_corruption","ncr_defamationcase","ncr_legalaction","ncr_legalchange","ncr_purge","ncr_raid","ncr_threaten","ncr_violencelethal","ncr_violencenonlethal","ncr_arrestNorm","ncr_cooperateNorm","ncr_corruptionNorm","ncr_defamationcaseNorm","ncr_legalactionNorm","ncr_legalchangeNorm","ncr_purgeNorm","ncr_raidNorm","ncr_threatenNorm","ncr_violencelethalNorm","ncr_violencenonlethalNorm","article_total","cs_999","rai_999","f1","rus_influence","chn_influence","total_articles","times.mw","faceofmalawi.com","malawivoice.com"
"2018-11-01","Malawi",2,0,71,16,20,2,1,36,41,20,0,3,22,16,6,18,2,7,28,7,1,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,0,0,2,0.00148588410104012,0,0.0527488855869242,0.011887072808321,0.0148588410104012,0.00148588410104012,0.000742942050520059,0.0267459138187221,0.0304606240713224,0.0148588410104012,0,0.00222882615156018,0.0163447251114413,0.011887072808321,0.00445765230312036,0.0133729569093611,0.00148588410104012,0.00520059435364042,0.0208023774145617,0.00520059435364042,0.000742942050520059,0,0,0,0,0.000742942050520059,0.000742942050520059,0,0.000742942050520059,0,0,0,0.00222882615156018,0,0,0,0,0,0.00148588410104012,35,14,10,0,21,20,4,1,5,10,10,0.0260029717682021,0.0104011887072808,0.00742942050520059,0,0.0156017830609212,0.0148588410104012,0.00297176820208024,0.000742942050520059,0.0037147102526003,0.00742942050520059,0.00742942050520059,1346,926,0,6.59059809217003,0.00148588410104012,0.00520059435364042,1346,1,1,0
"2018-12-01","Malawi",6,0,69,6,12,3,1,40,34,27,0,4,28,13,10,8,1,1,4,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0.00561797752808989,0,0.0646067415730337,0.00561797752808989,0.0112359550561798,0.00280898876404494,0.000936329588014981,0.0374531835205993,0.0318352059925094,0.0252808988764045,0,0.00374531835205993,0.0262172284644195,0.0121722846441948,0.00936329588014981,0.00749063670411985,0.000936329588014981,0.000936329588014981,0.00374531835205993,0.00468164794007491,0,0,0,0,0,0,0.000936329588014981,0,0,0.000936329588014981,0,0,0,0,0,0,0.000936329588014981,0,0.000936329588014981,42,9,18,0,21,15,1,1,0,8,4,0.0393258426966292,0.00842696629213483,0.0168539325842697,0,0.0196629213483146,0.0140449438202247,0.000936329588014981,0.000936329588014981,0,0.00749063670411985,0.00374531835205993,1068,722,1,6.25254969696204,0,0.00374531835205993,1068,1,1,0
"2019-01-01","Malawi",16,1,88,18,21,0,12,44,51,5,2,1,27,9,12,12,1,7,1,21,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0.0129975629569456,0.000812347684809098,0.0714865962632007,0.0146222583265638,0.0170593013809911,0,0.00974817221770918,0.0357432981316003,0.041429731925264,0.00406173842404549,0.0016246953696182,0.000812347684809098,0.0219333874898457,0.00731112916328188,0.00974817221770918,0.00974817221770918,0.000812347684809098,0.00568643379366369,0.000812347684809098,0.0170593013809911,0,0,0,0,0,0,0,0,0.0016246953696182,0.0016246953696182,0,0,0.000812347684809098,0,0,0.000812347684809098,0,0,0,67,8,16,8,31,10,3,1,7,10,7,0.0544272948822096,0.00649878147847279,0.0129975629569456,0.00649878147847279,0.025182778229082,0.00812347684809098,0.00243704305442729,0.000812347684809098,0.00568643379366369,0.00812347684809098,0.00568643379366369,1231,775,0,7.56817241868222,0,0.00487408610885459,1231,1,1,0
"2019-02-01","Malawi",9,4,124,7,16,0,2,22,27,8,1,3,19,14,9,16,2,7,1,8,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,1,0.00654545454545455,0.00290909090909091,0.0901818181818182,0.00509090909090909,0.0116363636363636,0,0.00145454545454545,0.016,0.0196363636363636,0.00581818181818182,0.000727272727272727,0.00218181818181818,0.0138181818181818,0.0101818181818182,0.00654545454545455,0.0116363636363636,0.00145454545454545,0.00509090909090909,0.000727272727272727,0.00581818181818182,0,0,0,0,0,0,0.000727272727272727,0.000727272727272727,0,0,0,0,0.00218181818181818,0,0,0,0,0.000727272727272727,0.000727272727272727,41,15,16,1,47,16,3,1,3,9,12,0.0298181818181818,0.0109090909090909,0.0116363636363636,0.000727272727272727,0.0341818181818182,0.0116363636363636,0.00218181818181818,0.000727272727272727,0.00218181818181818,0.00654545454545455,0.00872727272727273,1375,947,0,6.85481897407534,0,0.00509090909090909,1375,1,1,0
"2019-03-01","Malawi",10,1,77,12,18,0,0,290,30,14,1,4,15,20,15,7,0,10,4,9,0,0,0,0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0.00588928150765607,0.000588928150765607,0.0453474676089517,0.00706713780918728,0.0106007067137809,0,0,0.170789163722026,0.0176678445229682,0.00824499411071849,0.000588928150765607,0.00235571260306243,0.0088339222614841,0.0117785630153121,0.0088339222614841,0.00412249705535925,0,0.00588928150765607,0.00235571260306243,0.00530035335689046,0,0,0,0,0,0.000588928150765607,0,0,0.00235571260306243,0.000588928150765607,0.000588928150765607,0,0,0,0,0,0,0,0,42,15,16,0,33,17,4,0,1,7,8,0.0247349823321555,0.0088339222614841,0.0094228504122497,0,0.019434628975265,0.0100117785630153,0.00235571260306243,0,0.000588928150765607,0.00412249705535925,0.00471142520612485,1698,1048,1,6.16544091424494,0,0.00412249705535925,1698,1,1,0
"2019-04-01","Malawi",14,3,100,12,19,0,3,108,43,14,0,6,21,25,11,14,3,13,1,28,0,0,0,0,0,1,1,2,9,3,0,0,2,0,0,2,0,1,0,0.0083184789067142,0.0017825311942959,0.05941770647653,0.0071301247771836,0.0112893642305407,0,0.0017825311942959,0.0641711229946524,0.0255496137849079,0.0083184789067142,0,0.0035650623885918,0.0124777183600713,0.0148544266191325,0.0065359477124183,0.0083184789067142,0.0017825311942959,0.0077243018419489,0.0005941770647653,0.0166369578134284,0,0,0,0,0,0.0005941770647653,0.0005941770647653,0.0011883541295306,0.0053475935828877,0.0017825311942959,0,0,0.0011883541295306,0,0,0.0011883541295306,0,0.0005941770647653,0,30,13,13,3,36,18,3,0,2,10,8,0.017825311942959,0.0077243018419489,0.0077243018419489,0.0017825311942959,0.0213903743315508,0.0106951871657754,0.0017825311942959,0,0.0011883541295306,0.005941770647653,0.0047534165181224,1683,1147,0,8.66585830264434,0.0035650623885918,0.0089126559714795,1683,1,1,0
"2019-05-01","Malawi",20,2,290,71,11,3,1,33,35,9,1,10,24,15,13,20,1,17,12,28,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,1,0.0116822429906542,0.00116822429906542,0.169392523364486,0.0414719626168224,0.00642523364485981,0.00175233644859813,0.00058411214953271,0.0192757009345794,0.0204439252336449,0.00525700934579439,0.00058411214953271,0.0058411214953271,0.014018691588785,0.00876168224299065,0.00759345794392523,0.0116822429906542,0.00058411214953271,0.00992990654205607,0.00700934579439252,0.0163551401869159,0,0,0,0,0,0,0.00058411214953271,0,0,0,0,0,0.00116822429906542,0.00058411214953271,0,0.00058411214953271,0,0,0.00058411214953271,27,11,8,3,24,7,5,0,3,11,15,0.0157710280373832,0.00642523364485981,0.00467289719626168,0.00175233644859813,0.014018691588785,0.00408878504672897,0.00292056074766355,0,0.00175233644859813,0.00642523364485981,0.00876168224299065,1712,1017,1,8.9135095827802,0.00116822429906542,0.00233644859813084,1712,1,1,0
"2019-06-01","Malawi",11,6,60,33,21,4,2,15,61,13,1,3,46,13,66,18,7,18,1,14,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,1,0,1,0.00815418828762046,0.0044477390659748,0.044477390659748,0.0244625648628614,0.0155670867309118,0.00296515937731653,0.00148257968865827,0.011119347664937,0.0452186805040771,0.00963676797627873,0.000741289844329133,0.0022238695329874,0.0340993328391401,0.00963676797627873,0.0489251297257228,0.0133432171979244,0.00518902891030393,0.0133432171979244,0.000741289844329133,0.0103780578206079,0,0,0,0,0,0.000741289844329133,0,0,0,0.0022238695329874,0,0,0.00148257968865827,0,0,0,0.000741289844329133,0,0.000741289844329133,30,19,19,0,37,15,0,0,3,4,6,0.022238695329874,0.0140845070422535,0.0140845070422535,0,0.0274277242401779,0.011119347664937,0,0,0.0022238695329874,0.00296515937731653,0.0044477390659748,1349,868,4,12.0840741773363,0,0.00593031875463306,1349,1,1,0
"2019-07-01","Malawi",21,7,40,9,30,1,5,23,69,6,1,8,56,25,98,11,1,24,2,24,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,1,2,0.0137795275590551,0.00459317585301837,0.026246719160105,0.00590551181102362,0.0196850393700787,0.000656167979002625,0.00328083989501312,0.0150918635170604,0.0452755905511811,0.00393700787401575,0.000656167979002625,0.005249343832021,0.036745406824147,0.0164041994750656,0.0643044619422572,0.00721784776902887,0.000656167979002625,0.015748031496063,0.00131233595800525,0.015748031496063,0,0,0,0,0.00131233595800525,0,0.000656167979002625,0,0,0.00131233595800525,0,0,0,0,0,0,0,0.000656167979002625,0.00131233595800525,42,29,25,3,43,18,2,0,3,7,6,0.0275590551181102,0.0190288713910761,0.0164041994750656,0.00196850393700787,0.0282152230971129,0.0118110236220472,0.00131233595800525,0,0.00196850393700787,0.00459317585301837,0.00393700787401575,1524,972,0,13.5113053850516,0,0.005249343832021,1524,1,1,0
"2019-08-01","Malawi",8,3,22,31,32,2,1,25,85,7,4,10,48,14,49,9,1,7,2,25,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.00589970501474926,0.00221238938053097,0.0162241887905605,0.0228613569321534,0.023598820058997,0.00147492625368732,0.000737463126843658,0.0184365781710914,0.0626843657817109,0.0051622418879056,0.00294985250737463,0.00737463126843658,0.0353982300884956,0.0103244837758112,0.0361356932153392,0.00663716814159292,0.000737463126843658,0.0051622418879056,0.00147492625368732,0.0184365781710914,0.000737463126843658,0.000737463126843658,0,0,0,0,0,0,0.000737463126843658,0,0,0,0.000737463126843658,0,0,0,0,0,0.000737463126843658,31,20,15,1,30,18,2,0,0,12,10,0.0228613569321534,0.0147492625368732,0.0110619469026549,0.000737463126843658,0.0221238938053097,0.0132743362831858,0.00147492625368732,0,0,0.00884955752212389,0.00737463126843658,1356,892,0,10.4829784473156,0,0.00368731563421829,1356,1,1,0
"2019-09-01","Malawi",7,2,23,23,26,2,1,19,73,17,1,8,43,18,51,7,1,9,11,16,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,3,0.00432632880098887,0.00123609394313968,0.0142150803461063,0.0142150803461063,0.0160692212608158,0.00123609394313968,0.000618046971569839,0.0117428924598269,0.0451174289245983,0.0105067985166873,0.000618046971569839,0.00494437577255871,0.0265760197775031,0.0111248454882571,0.0315203955500618,0.00432632880098887,0.000618046971569839,0.00556242274412855,0.00679851668726823,0.00988875154511743,0.000618046971569839,0.000618046971569839,0,0,0,0,0,0.000618046971569839,0.000618046971569839,0,0,0,0.000618046971569839,0,0,0.000618046971569839,0,0.000618046971569839,0.00185414091470952,32,34,22,1,43,14,3,1,5,7,8,0.0197775030902349,0.0210135970333745,0.0135970333745365,0.000618046971569839,0.0265760197775031,0.00865265760197775,0.00185414091470952,0.000618046971569839,0.0030902348578492,0.00432632880098887,0.00494437577255871,1618,1154,1,8.70098762564802,0,0.00679851668726823,1618,1,1,0
"2019-10-01","Malawi",15,5,47,22,25,6,0,53,65,11,3,8,46,19,54,8,1,14,16,29,1,0,0,2,0,1,1,7,1,7,0,0,3,0,0,1,0,0,2,0.00878734622144113,0.00292911540714704,0.0275336848271822,0.012888107791447,0.0146455770357352,0.00351493848857645,0,0.0310486233157586,0.0380785002929115,0.00644405389572349,0.00175746924428822,0.00468658465143527,0.0269478617457528,0.0111306385471588,0.031634446397188,0.00468658465143527,0.000585823081429408,0.00820152314001172,0.00937316930287053,0.0169888693614528,0.000585823081429408,0,0,0.00117164616285882,0,0.000585823081429408,0.000585823081429408,0.00410076157000586,0.000585823081429408,0.00410076157000586,0,0,0.00175746924428822,0,0,0.000585823081429408,0,0,0.00117164616285882,36,31,16,0,49,16,0,3,4,15,21,0.0210896309314587,0.0181605155243117,0.00937316930287053,0,0.028705330990041,0.00937316930287053,0,0.00175746924428822,0.00234329232571763,0.00878734622144113,0.0123022847100176,1707,1127,0,10.3823885720471,0.00937316930287053,0.00585823081429408,1707,1,1,0
"2019-11-01","Malawi",5,5,29,27,12,4,1,29,69,10,1,6,45,16,30,9,2,9,8,5,0,0,0,0,1,1,1,1,0,1,1,0,3,0,0,4,0,2,4,0.00322164948453608,0.00322164948453608,0.0186855670103093,0.0173969072164948,0.0077319587628866,0.00257731958762887,0.000644329896907216,0.0186855670103093,0.0444587628865979,0.00644329896907216,0.000644329896907216,0.0038659793814433,0.0289948453608247,0.0103092783505155,0.0193298969072165,0.00579896907216495,0.00128865979381443,0.00579896907216495,0.00515463917525773,0.00322164948453608,0,0,0,0,0.000644329896907216,0.000644329896907216,0.000644329896907216,0.000644329896907216,0,0.000644329896907216,0.000644329896907216,0,0.00193298969072165,0,0,0.00257731958762887,0,0.00128865979381443,0.00257731958762887,37,37,24,0,54,19,2,2,4,14,14,0.023840206185567,0.023840206185567,0.0154639175257732,0,0.0347938144329897,0.0122422680412371,0.00128865979381443,0.00128865979381443,0.00257731958762887,0.00902061855670103,0.00902061855670103,1552,1091,0,7.95294639493409,0.00193298969072165,0.0103092783505155,1552,1,1,0
"2019-12-01","Malawi",7,1,20,25,23,0,0,24,48,8,0,4,32,8,11,19,0,4,2,8,0,0,0,0,0,2,1,1,4,2,0,0,0,0,0,3,0,0,6,0.00559552358113509,0.000799360511590727,0.0159872102318145,0.0199840127897682,0.0183852917665867,0,0,0.0191846522781775,0.0383693045563549,0.00639488409272582,0,0.00319744204636291,0.0255795363709033,0.00639488409272582,0.008792965627498,0.0151878497202238,0,0.00319744204636291,0.00159872102318145,0.00639488409272582,0,0,0,0,0,0.00159872102318145,0.000799360511590727,0.000799360511590727,0.00319744204636291,0.00159872102318145,0,0,0,0,0,0.00239808153477218,0,0,0.00479616306954436,30,25,9,0,28,8,5,1,3,12,19,0.0239808153477218,0.0199840127897682,0.00719424460431655,0,0.0223820943245404,0.00639488409272582,0.00399680255795364,0.000799360511590727,0.00239808153477218,0.00959232613908873,0.0151878497202238,1251,907,1,5.81784620693096,0,0.0151878497202238,1251,1,1,0
